# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:33:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad6bf0f466.json
# init = 2 (Default)
# random
#   seed = 545498306
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201033-1-3b0803.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201033-1-8ff15a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-22.789937,0.001109488,1,1,1,0,23.206687,0.81342707,0.62825791,0.51104199,0.11721592,-1.6413322,-1.6322313,-1.6245904,-1.5625408,-2.512637,-2.046048,-1.3542436,-1.3314024,-1.6856738,-2.512637,3,7,7,6,6,2,6,1,5,4,3,2,7,6,7,7,2,2,7,7,-2.5363637,0.47785262,2.5653365,1.2258528,1.3394837
-22.789937,0,2.33978,0,1,1,23.34204,0.81342707,0.62825791,0.51104199,0.11721592,-1.6413322,-1.6322313,-1.6245904,-1.5625408,-2.512637,-2.046048,-1.3542436,-1.3314024,-1.6856738,-2.512637,2,1,4,5,7,6,3,3,5,7,3,5,6,4,6,3,4,2,7,7,-2.5363637,0.88084971,0.77887567,0.68607241,0.09280326
-22.077788,1,0.23083872,3,7,0,23.310485,0.84052507,0.83412923,0.70110653,0.1330227,-1.6132285,-1.5654255,-1.6220758,-1.5594717,-2.6736699,-2.1824847,-1.2809672,-1.2629224,-1.6610968,-2.6736699,1,8,7,7,4,2,3,2,8,4,3,7,6,6,6,6,3,2,4,7,-1.7918119,0.15663453,0.82102073,0.1286002,0.69242054
-21.452354,0.96544688,0.24050138,3,7,0,24.160278,0.79238237,4.4987194,3.564706,0.93401347,-1.4347227,-1.3132159,-1.5270301,-1.4050083,-3.1437712,-2.5389545,-1.0843767,-1.0371231,-1.4665189,-3.1437712,3,4,8,6,6,5,2,4,4,7,2,5,4,6,7,4,2,3,6,6,-3.0568857,0.75555613,2.7806739,2.1009552,0.6797187
-20.716657,1,0.29477599,1,1,0,21.495262,0.76540357,4.2932255,3.2860501,1.0071754,-1.4097936,-1.3197585,-1.4945713,-1.3624858,-3.0126364,-2.4705021,-1.1113863,-1.0508145,-1.4364993,-3.0126364,3,7,7,6,6,1,6,4,6,5,2,6,5,4,6,5,4,2,4,6,-2.7753701,0.095484976,3.9710859,0.37917905,3.5919069
-16.535845,1,0.45907186,2,3,0,20.35313,0.50023241,2.1827307,1.0918726,1.0908581,-1.3231023,-1.5345914,-1.2679491,-1.1240656,-2.0840634,-1.820936,-1.4914978,-1.2676011,-1.3160663,-2.0840634,1,6,6,8,6,4,3,2,8,7,4,5,5,5,6,2,5,6,4,5,-0.61619103,0.45269662,6.3854047,2.8906511,3.4947536
-16.775989,0.57768404,0.77934268,2,3,0,17.465868,0.3353905,1.4694486,0.4928391,0.97660953,-1.3682998,-1.7629207,-1.2147052,-1.14903,-1.7951426,-1.4841177,-1.7661564,-1.4337113,-1.3806516,-1.7951426,2,7,7,7,3,2,5,2,7,7,2,7,8,6,5,4,7,3,5,7,-0.50998289,0.18243982,3.5531782,0.64824119,2.904937
-16.696318,0.98988184,0.37395362,2,7,0,17.033568,0.30990826,3.1646703,0.98075746,2.1839128,-1.2648841,-1.7934042,-1.111277,-1.0598971,-1.7359668,-1.5002857,-1.8471979,-1.4165215,-1.2908843,-1.7359668,6,7,5,8,5,2,3,2,8,4,1,6,6,8,4,3,7,3,6,6,-1.549672,0.0019631801,2.4339003,0.0047781846,2.4291221
-17.0768,0.76162412,0.65796329,2,3,0,17.911313,0.2539093,1.5430721,0.39180037,1.1512718,-1.367119,-1.893859,-1.1736221,-1.1799323,-1.6915128,-1.3541877,-1.9172128,-1.5030248,-1.4088651,-1.6915128,4,5,5,7,6,3,3,4,6,7,7,7,8,7,3,2,6,4,7,5,-0.66604098,0.57793113,3.5017148,2.02375,1.4779648
-16.631935,0.95347311,0.57524877,2,3,0,18.114737,0.29266179,2.8144057,0.82366899,1.9907367,-1.27915,-1.8272395,-1.1138114,-1.0812765,-1.711922,-1.4606243,-1.8783653,-1.438607,-1.3116308,-1.711922,6,6,6,6,6,1,3,5,5,6,6,5,6,8,7,1,2,4,7,3,-1.2771535,0.2367987,2.340022,0.55411418,1.7859078
-16.631935,0.017355225,0.93091122,2,3,0,18.275387,0.29266179,2.8144057,0.82366899,1.9907367,-1.27915,-1.8272395,-1.1138114,-1.0812765,-1.711922,-1.4606243,-1.8783653,-1.438607,-1.3116308,-1.711922,4,8,8,8,5,2,1,6,4,4,6,5,7,8,5,4,2,5,7,5,-1.2771535,0.19293503,4.364749,0.84211299,3.522636
-16.996898,0.98840472,0.078785172,4,19,0,20.052784,0.36141183,1.3003992,0.46997967,0.83041956,-1.38958,-1.7349312,-1.2456447,-1.166377,-1.8348401,-1.5143275,-1.720546,-1.4231442,-1.3955514,-1.8348401,4,7,4,4,4,3,4,4,6,5,1,7,6,7,7,5,7,4,6,4,-0.53355483,0.27408001,1.1042264,0.30264637,0.80157999
-16.82967,0.99961764,0.14469442,2,3,0,17.049259,0.35856632,1.3981806,0.50134046,0.89684009,-1.3765285,-1.7338354,-1.2332194,-1.1540956,-1.8284706,-1.5172926,-1.7259626,-1.4187557,-1.3833325,-1.8284706,3,6,7,8,5,3,5,2,8,2,5,6,6,7,3,2,2,2,2,4,-0.49518756,0.34785779,1.8617436,0.64762201,1.2141216
-17.03957,0.99667989,0.27566935,3,7,0,17.266134,0.51810773,3.3921012,1.7574739,1.6346273,-1.2789806,-1.4816008,-1.2495859,-1.0888321,-2.160223,-1.9121506,-1.4497917,-1.2198512,-1.270879,-2.160223,2,7,5,5,6,4,7,2,5,5,2,7,7,7,6,2,3,3,3,6,-1.601295,0.60801374,1.2041644,0.73214852,0.47201591
-19.378595,0.38164128,0.51914154,2,3,0,23.664491,0.62298294,0.83208191,0.51837284,0.31370907,-1.5164617,-1.5986487,-1.4630351,-1.3562225,-2.22243,-1.8476154,-1.4272241,-1.3301165,-1.5248193,-2.22243,1,5,4,6,6,2,6,4,5,7,2,7,3,3,7,7,3,3,6,5,-1.2370668,0.33595007,1.5452188,0.51911635,1.0261024
-23.736113,0.96579692,0.14468985,3,7,0,24.161142,0.74707439,0.461811,0.34500718,0.11680383,-1.6748756,-1.714483,-1.6206985,-1.5549695,-2.3280784,-1.8665359,-1.4560764,-1.419904,-1.7090533,-2.3280784,4,6,8,8,4,2,2,1,6,7,6,3,2,7,8,3,6,4,6,6,-3.6245097,0.17952407,2.0212523,0.36286343,1.6583888
-23.077523,1,0.2481614,3,7,0,23.841975,0.73276814,0.49906646,0.3657,0.13336646,-1.6544154,-1.6952514,-1.6014679,-1.5304728,-2.3206818,-1.869842,-1.4458565,-1.4045643,-1.6851341,-2.3206818,1,7,7,6,5,4,1,2,5,6,1,6,7,3,5,5,2,1,4,6,-3.2235745,0.82688979,2.5644371,2.1205069,0.44393025
