# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:33:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad6d7b7e84.json
# init = 2 (Default)
# random
#   seed = 1952431446
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201033-2-47f051.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201033-2-58a90c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-33.253081,0.0001086366,1,1,1,0,33.263354,0.47093838,0.15075256,0.070995166,0.079757393,-1.9243438,-2.0437325,-1.7477911,-1.69842,-2.1395543,-1.4581723,-1.8291289,-1.7607964,-1.9310329,-2.1395543,2,4,6,7,3,3,7,2,5,8,2,4,8,8,2,7,4,8,1,5,-11.298761,0.5849821,1.1832774,0.6921961,0.4910813
-33.253081,0,2.3355261,0,1,1,33.454496,0.47093838,0.15075256,0.070995166,0.079757393,-1.9243438,-2.0437325,-1.7477911,-1.69842,-2.1395543,-1.4581723,-1.8291289,-1.7607964,-1.9310329,-2.1395543,4,6,7,6,7,4,4,3,6,7,7,8,5,4,7,6,1,4,5,5,-11.298761,0.36955004,2.6255917,0.97028752,1.6553042
-22.096149,1,0.23029481,2,3,0,32.876913,0.55433036,0.48203503,0.26720665,0.21482838,-1.6247633,-1.7453075,-1.5158025,-1.4308605,-2.0917973,-1.6437953,-1.571673,-1.4701783,-1.6305919,-2.0917973,1,5,5,5,8,4,1,1,2,6,4,4,5,5,8,2,2,3,4,7,-3.1516725,0.77243546,0.73081892,0.56451045,0.16630847
-21.604051,1,0.23986083,3,7,0,22.305583,0.57797429,0.52594724,0.30398398,0.22196326,-1.6070502,-1.7166043,-1.5105338,-1.422187,-2.1200631,-1.6884072,-1.5385363,-1.442182,-1.6143652,-2.1200631,4,5,8,8,7,1,4,2,6,3,1,6,4,7,8,1,3,2,7,3,-2.7705897,0.3677271,1.4028935,0.51588195,0.8870115
-20.994376,0.9882296,0.32443309,2,7,0,22.545228,0.48036644,0.54822036,0.26334666,0.2848737,-1.5849959,-1.7502813,-1.4573358,-1.3707652,-2.0102225,-1.5739575,-1.6170208,-1.4749212,-1.5849094,-2.0102225,4,5,5,6,7,1,2,3,5,6,4,6,8,7,2,2,2,4,4,5,-2.5708288,0.58114799,1.339839,0.77864475,0.56119427
-17.799202,1,0.48987377,1,1,0,20.207476,0.43470301,1.0046363,0.43671841,0.56791785,-1.4428547,-1.6822982,-1.3238646,-1.2232398,-1.9408054,-1.5976955,-1.6179811,-1.4002637,-1.4402451,-1.9408054,2,7,6,6,6,2,6,3,6,3,3,7,5,8,8,5,4,4,7,7,-0.79027777,0.29973329,3.4075733,1.0213632,2.3862101
-17.616506,1,0.83309187,2,3,0,17.788984,0.51382706,4.3502514,2.2352769,2.1149745,-1.256582,-1.4710551,-1.232389,-1.0657462,-2.1683077,-1.9298865,-1.4518249,-1.2087629,-1.2477667,-2.1683077,3,2,8,6,6,2,1,4,7,5,2,8,7,6,4,3,1,4,7,6,-2.4990516,0.31218469,2.066999,0.64528546,1.4217136
-17.616506,2.9514073e-60,1.4898821,1,1,0,19.641679,0.51382706,4.3502514,2.2352769,2.1149745,-1.256582,-1.4710551,-1.232389,-1.0657462,-2.1683077,-1.9298865,-1.4518249,-1.2087629,-1.2477667,-2.1683077,2,6,8,7,3,4,4,4,6,3,4,8,5,7,5,1,3,4,5,7,-2.4990516,0.12859328,1.0962901,0.14097553,0.95531453
-16.393529,0.99999984,0.11838186,3,7,0,17.753299,0.37525559,2.8147727,1.0562592,1.7585135,-1.2759172,-1.6780884,-1.1591244,-1.055846,-1.8476981,-1.6146409,-1.7088881,-1.3560373,-1.2808729,-1.8476981,2,8,5,7,6,2,4,3,6,8,1,5,6,8,5,3,4,3,8,6,-1.1530387,0.60784993,2.407356,1.4633112,0.94404483
-16.743255,0.99092679,0.21790073,2,7,0,16.893112,0.30520711,3.2197077,0.98267768,2.23703,-1.2634991,-1.8029432,-1.1072904,-1.0607193,-1.7281461,-1.4925206,-1.8582159,-1.4209216,-1.2915834,-1.7281461,1,6,6,5,7,5,3,3,4,6,3,5,7,6,5,1,3,4,6,4,-1.6076537,0.61799454,1.9057293,1.1777303,0.727999
-22.337273,0.56480206,0.39642722,3,7,0,24.016707,0.87406911,2.9514551,2.5797757,0.37167938,-1.5441065,-1.3588182,-1.6291879,-1.5529531,-3.3748961,-2.637068,-1.0687404,-1.0549681,-1.5914938,-3.3748961,6,7,7,8,4,2,4,2,7,3,1,4,7,6,8,5,1,2,4,4,-2.0258252,0.13368861,3.3201528,0.44386662,2.8762862
-23.108642,0.99851968,0.18928178,5,31,0,23.248465,0.91574751,1.9925111,1.8246371,0.16787403,-1.6086263,-1.4178578,-1.6769569,-1.6281406,-3.367391,-2.6167046,-1.1032858,-1.0993413,-1.6649835,-3.367391,3,4,7,8,7,3,2,1,4,7,2,5,6,4,7,5,3,2,4,6,-1.6854074,0.70705489,2.1055645,1.4887496,0.61681481
-18.007141,0.98953278,0.35793514,3,7,0,23.087579,0.15416094,2.619318,0.40379651,2.2155214,-1.3157084,-2.1599203,-1.073278,-1.2849809,-1.5418703,-1.2078368,-2.1905603,-1.5948055,-1.4423617,-1.5418703,1,6,6,6,4,1,5,5,4,7,4,4,6,8,4,3,5,2,6,3,-1.5796784,0.68888789,1.4031536,0.96661554,0.43653808
-16.597004,0.99376487,0.65806737,2,3,0,18.094722,0.30914141,1.7417812,0.53845669,1.2033245,-1.3418236,-1.797982,-1.1783133,-1.1310154,-1.7525132,-1.4550127,-1.8198433,-1.444888,-1.363294,-1.7525132,1,7,3,7,3,2,4,2,4,6,5,3,7,6,4,2,5,1,3,7,-0.57093673,0.51723279,3.4072036,1.7623174,1.6448862
-16.597004,0.051008058,1.2222092,1,3,0,17.610011,0.30914141,1.7417812,0.53845669,1.2033245,-1.3418236,-1.797982,-1.1783133,-1.1310154,-1.7525132,-1.4550127,-1.8198433,-1.444888,-1.363294,-1.7525132,4,6,4,6,5,4,2,2,3,4,4,4,8,8,5,2,5,4,7,5,-0.57093673,0.78777467,1.6106095,1.2687974,0.34181213
-17.259927,0.99065965,0.1216323,3,7,0,17.497043,0.3300546,1.2104541,0.39951595,0.81093818,-1.4036386,-1.7799678,-1.2428166,-1.1828576,-1.7980778,-1.457385,-1.7701373,-1.454595,-1.4159168,-1.7980778,2,8,4,7,5,2,6,1,3,8,3,7,7,7,4,2,2,6,6,2,-0.63839615,0.58872247,4.3971909,2.5887251,1.8084658
-16.493273,0.99934469,0.22547124,3,7,0,17.436422,0.29984522,2.3812792,0.7140152,1.6672641,-1.2984602,-1.8121178,-1.1350119,-1.0951752,-1.7275678,-1.4625033,-1.8540716,-1.4376602,-1.3263259,-1.7275678,4,6,6,8,7,2,3,1,7,7,1,4,7,6,2,1,2,2,7,5,-0.92350644,0.60508833,1.1616209,0.70288327,0.45873766
-16.420264,0.98723185,0.42627533,2,5,0,16.632961,0.38012423,2.8962008,1.1009161,1.7952847,-1.2728805,-1.6694446,-1.1595815,-1.0526859,-1.8567324,-1.6263167,-1.6999511,-1.3499604,-1.2767852,-1.8567324,5,6,8,7,7,2,4,2,4,5,3,6,6,8,6,3,2,2,6,6,-1.217099,0.33499467,2.6707802,0.89469715,1.7760831
-16.571729,0.70768243,0.77044069,2,3,0,17.102293,0.50236746,1.9822375,0.9958116,0.98642586,-1.336459,-1.5417349,-1.278448,-1.1376491,-2.0814423,-1.811127,-1.491804,-1.2749886,-1.3298089,-2.0814423,5,6,8,8,3,1,5,6,4,5,3,6,5,5,6,4,5,4,4,4,-0.50473407,0.33275372,2.2699283,0.75532709,1.5146012
-16.76306,0.43312794,0.59586572,2,3,0,19.432439,0.2974742,1.6004879,0.47610385,1.124384,-1.35622,-1.8185538,-1.1851678,-1.148194,-1.7414628,-1.4286326,-1.8374108,-1.4607738,-1.3808331,-1.7414628,4,6,8,7,8,1,6,2,4,6,3,7,7,8,7,3,1,5,8,8,-0.56915548,0.46718302,1.2053482,0.56311823,0.64222999
-16.303741,0.99859636,0.20426126,2,7,0,16.944834,0.39495149,2.5049217,0.98932255,1.5155992,-1.29051,-1.6524386,-1.1823256,-1.0700782,-1.8820968,-1.6408057,-1.6694668,-1.3442842,-1.2913792,-1.8820968,2,4,7,5,8,3,2,2,4,8,2,6,5,6,7,1,2,3,6,4,-0.88507764,0.90437444,1.5874256,1.4356271,0.15179846
-16.36945,0.99318611,0.37958435,2,3,0,16.399298,0.36154534,2.6932337,0.97372608,1.7195076,-1.2807693,-1.7015733,-1.1550088,-1.0616641,-1.8234646,-1.5851479,-1.7347266,-1.3713635,-1.2889649,-1.8234646,2,6,6,7,6,4,4,1,5,6,3,8,5,8,4,5,2,1,6,4,-1.067973,0.30849679,1.426784,0.44015829,0.98662573
-16.618813,0.85623574,0.68749532,2,3,0,16.826866,0.49288041,1.763625,0.86925623,0.89436881,-1.3511738,-1.5626126,-1.2834426,-1.1486113,-2.0542007,-1.7767016,-1.5107667,-1.2935198,-1.3449183,-2.0542007,2,5,6,7,5,4,3,2,6,5,6,7,7,8,7,3,4,1,8,4,-0.4195395,0.45809177,2.1589477,0.98899618,1.1699516
-16.969832,0.67721014,0.82822913,2,3,0,17.333976,0.24910956,1.7005615,0.42362614,1.2769354,-1.3521971,-1.9047165,-1.1573267,-1.1713375,-1.6787173,-1.352227,-1.9342563,-1.5027759,-1.3982027,-1.6787173,2,8,6,6,4,2,3,5,4,6,3,6,8,8,5,2,5,2,7,6,-0.69395872,0.23655605,1.6462225,0.3894239,1.2567986
-17.48156,0.73248321,0.59389629,1,3,0,18.734624,0.49632137,1.1541571,0.57283283,0.58132425,-1.4232084,-1.611976,-1.3376723,-1.2191332,-2.0362986,-1.7153919,-1.5291486,-1.3422123,-1.4189822,-2.0362986,1,6,6,8,7,3,6,2,7,5,2,7,7,8,5,4,2,4,6,6,-0.56825993,0.19680827,1.3492457,0.26554272,1.083703
-16.432193,1,0.50165522,2,3,0,17.497173,0.46501651,2.5292656,1.1761503,1.3531154,-1.2975705,-1.5603335,-1.2290227,-1.0883003,-2.0188827,-1.7735942,-1.5449788,-1.2832163,-1.2907314,-2.0188827,1,4,7,7,8,3,4,4,5,7,4,5,8,6,3,3,3,5,6,8,-0.86340766,0.76078728,2.1363517,1.6253092,0.51104251
-16.660905,0.85656847,0.90685103,1,1,0,16.722471,0.48914799,1.6780201,0.82080014,0.85721992,-1.3579723,-1.5714072,-1.2862552,-1.153988,-2.0438812,-1.7626403,-1.518378,-1.3013967,-1.3519185,-2.0438812,3,5,6,8,8,4,1,5,4,7,4,7,7,6,5,3,2,3,7,8,-0.40003538,0.71719974,2.6161424,1.8762967,0.73984576
-16.660905,0.009765865,1.0849064,1,3,0,17.497196,0.48914799,1.6780201,0.82080014,0.85721992,-1.3579723,-1.5714072,-1.2862552,-1.153988,-2.0438812,-1.7626403,-1.518378,-1.3013967,-1.3519185,-2.0438812,2,4,5,6,5,3,3,4,4,6,1,6,7,7,4,4,4,1,5,7,-0.40003538,0.5769475,2.0382168,1.1759441,0.86227273
-20.115408,0.97670002,0.12238977,4,23,0,20.976418,0.087048096,3.5840517,0.31198487,3.2720668,-1.3092979,-2.4278236,-1.031679,-1.5414091,-1.4546627,-1.094019,-2.4088786,-1.6814472,-1.5321759,-1.4546627,5,5,7,7,5,1,6,5,3,6,3,8,8,7,2,2,7,5,6,5,-2.9234792,0.25451839,4.0970041,1.0427629,3.0542413
-18.57163,1,0.20688255,3,7,0,20.378399,0.14430962,1.3488622,0.1946538,1.1542084,-1.4118434,-2.1079752,-1.1670343,-1.3329626,-1.599939,-1.1743669,-2.1197441,-1.6145034,-1.5157165,-1.599939,3,6,7,6,5,4,6,1,7,6,2,8,7,8,3,4,2,3,7,2,-1.1352261,0.36910704,2.8155031,1.039222,1.7762811
-18.16317,1,0.36951354,2,3,0,18.586504,0.16436195,1.4166102,0.23283682,1.1837734,-1.3985239,-2.0684559,-1.1623469,-1.2947094,-1.6105811,-1.2068203,-2.0856601,-1.5931589,-1.4899282,-1.6105811,4,6,5,7,7,3,5,3,7,8,5,5,8,8,4,4,5,5,5,7,-1.0054276,0.23547,1.9217387,0.45251182,1.4692269
-16.709035,0.38421138,0.65369296,2,3,0,21.055211,0.39052452,3.5055169,1.3689903,2.1365266,-1.2536519,-1.6470362,-1.150698,-1.0336971,-1.8788519,-1.6623025,-1.6827733,-1.3309328,-1.2554949,-1.8788519,6,8,8,5,5,3,4,6,7,5,4,6,5,5,4,2,3,3,4,5,-1.7536612,0.055770425,2.1269383,0.11862025,2.008318
-16.748317,0.99974195,0.21809914,3,7,0,16.81092,0.34790799,1.4677214,0.510632,0.9570894,-1.3681785,-1.745397,-1.2208368,-1.1471297,-1.8121562,-1.5046637,-1.7446688,-1.4233276,-1.3774959,-1.8121562,4,6,7,7,7,4,6,6,6,6,4,6,8,7,5,2,4,6,7,2,-0.49263119,0.3215111,1.2159478,0.39094071,0.82500707
-17.304592,0.94629655,0.38362602,2,3,0,17.574495,0.26975675,3.8654752,1.042738,2.8227372,-1.2502662,-1.8834127,-1.074343,-1.0710404,-1.6688969,-1.4353555,-1.9481455,-1.4551648,-1.2974167,-1.6688969,7,2,7,8,4,2,6,1,7,7,2,6,6,8,4,1,2,2,7,7,-2.2791259,0.3336411,1.8119557,0.60454288,1.2074128
-16.703795,1,0.58033327,2,3,0,17.63428,0.41223614,1.4672863,0.60486845,0.86241787,-1.3698723,-1.664425,-1.2547087,-1.1490182,-1.906564,-1.6117786,-1.6393741,-1.3720199,-1.3683918,-1.906564,2,8,5,8,6,6,2,2,4,8,1,6,3,6,2,1,4,4,5,6,-0.42690396,0.55938027,1.9820227,1.1087044,0.87331828
-16.703795,0.010443942,1.0043545,1,1,0,18.597752,0.41223614,1.4672863,0.60486845,0.86241787,-1.3698723,-1.664425,-1.2547087,-1.1490182,-1.906564,-1.6117786,-1.6393741,-1.3720199,-1.3683918,-1.906564,2,6,6,7,3,2,4,4,8,6,2,6,7,6,6,1,6,3,6,4,-0.42690396,0.22047299,2.6774543,0.59030636,2.0871479
-17.45298,0.99627504,0.13038068,4,15,0,17.939961,0.62310855,1.8791274,1.1709003,0.70822705,-1.3836476,-1.4595127,-1.3795051,-1.2375402,-2.3528933,-2.0260155,-1.3315571,-1.2028713,-1.3870743,-2.3528933,2,5,7,4,7,4,1,3,6,7,1,4,6,7,4,4,2,4,6,7,-0.52144446,0.78078848,2.4027291,1.8760232,0.52670591
-16.557015,0.9964949,0.22413466,3,7,0,17.988775,0.4657733,1.7116143,0.79722423,0.91439006,-1.3508571,-1.5921923,-1.2683037,-1.1404149,-2.0011253,-1.7242738,-1.5527486,-1.3163218,-1.3451466,-2.0011253,3,6,4,4,6,5,4,1,6,3,2,5,6,8,6,3,2,4,7,6,-0.41095143,0.48010011,4.7482008,2.2796117,2.4685891
-16.47558,0.99415425,0.38227912,2,7,0,16.867205,0.30225831,2.2398478,0.67701261,1.5628352,-1.3061859,-1.8076218,-1.1431791,-1.1011358,-1.7330912,-1.4624309,-1.8458895,-1.4379832,-1.3325247,-1.7330912,4,7,3,6,8,1,2,3,5,7,5,6,4,7,8,2,4,1,5,6,-0.82247541,0.68819133,0.7295812,0.50209146,0.22748974
-16.291748,0.91491401,0.64281829,2,3,0,16.664956,0.38119126,2.4143748,0.92033856,1.4940362,-1.2944385,-1.6743514,-1.1774959,-1.07377,-1.8573024,-1.6117764,-1.6946304,-1.359007,-1.2979074,-1.8573024,4,3,5,7,8,6,2,2,7,7,4,6,7,7,5,4,3,3,7,5,-0.83079395,0.55687499,2.3185207,1.2911262,1.0273945
-16.312234,0.94526969,0.87760798,2,3,0,16.388342,0.39407952,1.9974303,0.78714639,1.2102839,-1.320446,-1.6651153,-1.2056115,-1.0993671,-1.8783515,-1.6160176,-1.668897,-1.3602353,-1.3213873,-1.8783515,3,4,6,5,8,2,1,2,3,6,2,5,4,6,8,4,4,3,6,6,-0.55810579,0.55852153,2.1735041,1.2139488,0.95955526
-16.312234,1.9618886e-20,1.2869769,1,1,0,20.059326,0.39407952,1.9974303,0.78714639,1.2102839,-1.320446,-1.6651153,-1.2056115,-1.0993671,-1.8783515,-1.6160176,-1.668897,-1.3602353,-1.3213873,-1.8783515,4,7,6,7,7,3,1,5,4,6,2,7,8,8,4,2,3,3,5,4,-0.55810579,0.36457222,2.9118089,1.0615646,1.8502442
-16.498882,0.99566619,0.17786607,3,7,0,16.612804,0.35630182,1.691565,0.60270767,1.0888573,-1.3446151,-1.7265163,-1.2051687,-1.1237868,-1.8200124,-1.5328111,-1.7331285,-1.405047,-1.352639,-1.8200124,2,4,7,6,6,5,2,3,5,7,2,6,8,6,2,3,2,2,6,4,-0.48829628,0.43767345,1.8816922,0.82356673,1.0581255
-16.709723,0.97201617,0.29721224,3,7,0,17.418064,0.30124066,3.1100791,0.93688228,2.1731968,-1.2674425,-1.8107491,-1.1084175,-1.0662393,-1.7225856,-1.4828915,-1.865127,-1.4262399,-1.2969779,-1.7225856,1,3,4,8,7,5,1,2,2,3,4,6,7,7,5,3,3,3,8,7,-1.5168209,0.8318462,1.36479,1.1352953,0.22949462
-16.351065,1,0.46510498,3,7,0,16.653795,0.3614618,1.9464906,0.70358201,1.2429086,-1.3232759,-1.7127083,-1.1900744,-1.102808,-1.8254035,-1.5555065,-1.7269252,-1.3905151,-1.3305969,-1.8254035,2,6,6,8,6,1,5,2,3,6,3,4,6,7,4,6,4,4,3,3,-0.56770354,0.41759979,1.6447314,0.6868395,0.95789194
-16.711443,0.71288932,0.77423655,2,3,0,17.620241,0.50367831,1.6913781,0.85191046,0.83946763,-1.3597191,-1.5573105,-1.2954788,-1.1604409,-2.0725409,-1.7895752,-1.4968438,-1.2903345,-1.353748,-2.0725409,4,5,5,6,5,3,4,3,6,8,1,7,6,7,5,3,6,2,7,3,-0.4021059,0.49144727,3.2505269,1.5974626,1.6530643
