# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:33:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad76845628.json
# init = 2 (Default)
# random
#   seed = 427856677
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201033-2-72a87e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201033-2-76854e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-16.864477,0.33659155,1,1,3,0,17.231663,0.25784673,2.8499637,0.73485382,2.1151099,-1.2823048,-1.9016765,-1.096858,-1.1078411,-1.6613703,-1.3973968,-1.9556177,-1.4754506,-1.3325233,-1.6613703,4,6,6,8,5,4,3,3,6,4,4,8,5,8,6,2,6,4,8,7,-1.3857849,0.28964096,2.9482963,0.85394736,2.0943489
-16.864477,0,4.3060641,0,1,1,17.087891,0.25784673,2.8499637,0.73485382,2.1151099,-1.2823048,-1.9016765,-1.096858,-1.1078411,-1.6613703,-1.3973968,-1.9556177,-1.4754506,-1.3325233,-1.6613703,2,6,5,8,2,5,2,4,8,8,5,6,6,8,5,2,4,2,7,3,-1.3857849,0.52376958,1.0814755,0.56644399,0.51503154
-17.277194,0.96121795,0.50900513,2,3,0,17.904812,0.59433443,2.6864588,1.596655,1.0898038,-1.3297949,-1.435758,-1.3303973,-1.1735385,-2.3334653,-2.0333233,-1.3433337,-1.1826535,-1.3282138,-2.3334653,4,6,8,8,6,2,2,3,6,6,4,6,6,8,7,2,3,3,7,5,-1.0189356,0.13171508,6.2225883,0.81960869,5.4029796
-16.576557,0.99359108,0.53024568,3,7,0,17.324469,0.50562198,2.0313764,1.0271086,1.0042678,-1.3338674,-1.5362498,-1.2785343,-1.1363217,-2.0900939,-1.8206915,-1.4859091,-1.2702668,-1.32717,-2.0900939,3,6,8,5,3,1,7,4,7,8,2,6,6,7,5,3,2,3,6,5,-0.52965089,0.37962548,1.1064005,0.42001782,0.68638267
-16.576557,0.31200878,0.74571392,2,3,0,18.323097,0.50562198,2.0313764,1.0271086,1.0042678,-1.3338674,-1.5362498,-1.2785343,-1.1363217,-2.0900939,-1.8206915,-1.4859091,-1.2702668,-1.32717,-2.0900939,4,6,6,8,4,3,2,2,7,6,2,7,8,5,5,2,4,4,7,8,-0.52965089,0.21511452,2.8199603,0.60661442,2.2133459
-16.749763,0.99290168,0.15547914,3,15,0,17.227401,0.31810274,1.5337939,0.48790404,1.0458898,-1.3618058,-1.7868434,-1.2004389,-1.146691,-1.7703108,-1.4594027,-1.7979567,-1.445315,-1.3792646,-1.7703108,2,7,5,8,7,3,3,2,5,2,4,3,7,7,2,1,5,1,7,6,-0.5309107,0.35050168,1.5883438,0.55671715,1.0316266
-17.032561,0.98541514,0.25083884,2,3,0,17.164414,0.33630265,1.3087718,0.44014343,0.8686284,-1.388826,-1.7673311,-1.2328973,-1.1681024,-1.8016442,-1.4746482,-1.7616624,-1.442595,-1.400182,-1.8016442,3,8,7,8,7,4,1,2,8,5,1,7,8,8,5,1,3,3,6,4,-0.56244427,0.38125902,1.2726318,0.48520237,0.78742947
-18.663515,0.93881305,0.42023403,2,7,0,19.008513,0.14906367,3.71387,0.5536031,3.1602669,-1.2829241,-2.2147264,-1.0365194,-1.2914883,-1.5134098,-1.2076195,-2.2451166,-1.6009573,-1.4275702,-1.5134098,3,5,5,7,4,3,2,5,2,8,3,6,7,8,7,5,5,2,7,5,-2.5770481,0.41323863,1.6941222,0.70007674,0.99404546
-16.934392,0.95806978,0.63046763,2,3,0,18.693389,0.52916704,1.5726828,0.83221188,0.74047087,-1.3768591,-1.5447335,-1.3213988,-1.186174,-2.1173028,-1.8228073,-1.4652489,-1.2814906,-1.3720861,-2.1173028,2,5,5,3,6,4,1,3,4,6,2,6,4,5,8,5,1,6,5,4,-0.39206779,0.90998791,3.9503469,3.5947679,0.35557897
-16.934392,0.051980793,1.0248111,1,1,0,17.436484,0.52916704,1.5726828,0.83221188,0.74047087,-1.3768591,-1.5447335,-1.3213988,-1.186174,-2.1173028,-1.8228073,-1.4652489,-1.2814906,-1.3720861,-2.1173028,3,6,7,7,6,2,3,3,8,5,3,4,7,8,8,1,1,1,3,7,-0.39206779,0.2716471,1.8872671,0.51267063,1.3745964
