# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:34:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad4d2e15ba.json
# init = 2 (Default)
# random
#   seed = 248779723
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201034-1-7c1724.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201034-1-25fb6d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.020918,0.35571701,1,2,3,0,20.948276,0.80461524,0.96942472,0.7800139,0.18941082,-1.6040805,-1.5729457,-1.5313206,-0.6894214,-1.2679043,-1.5342424,-1.5729457,-1.6431079,-1.4495855,-1.9720506,2,8,6,8,6,5,6,3,4,8,5,1,7,7,5,8,1,4,5,6,-1.3020853,0.22783474,2.4282742,0.55324522,1.875029
-18.020918,0,4.4584351,0,1,1,19.685489,0.80461524,0.96942472,0.7800139,0.18941082,-1.6040805,-1.5729457,-1.5313206,-0.6894214,-1.2679043,-1.5342424,-1.5729457,-1.6431079,-1.4495855,-1.9720506,5,3,6,2,8,4,4,5,4,8,5,1,6,7,5,6,2,3,1,4,-1.3020853,0.45293751,0.90261241,0.40882702,0.49378539
-16.298151,0.97991335,0.53247569,1,3,0,17.827413,0.74027206,2.5140954,1.8611146,0.65298082,-1.5545963,-1.6473892,-1.3724689,-0.75877392,-1.1786218,-1.3912651,-1.6473892,-1.4732138,-1.2997469,-2.1382701,5,4,3,8,8,4,3,4,2,7,6,5,5,7,8,5,6,5,4,8,-1.1094707,0.47668507,4.4267737,2.1101769,2.3165968
-17.534258,0.81003626,0.58646997,2,3,0,18.009622,0.61376754,1.4632564,0.89809925,0.56515711,-1.691621,-1.8638221,-1.467778,-1.074647,-1.365899,-1.5246129,-1.8638221,-1.4749471,-1.4069449,-2.2919316,3,6,6,6,3,3,4,3,3,8,3,4,4,8,5,5,2,4,2,8,-0.44944216,0.030612549,2.7282913,0.08351995,2.6447713
-16.133615,1,0.49174452,2,3,0,17.463886,0.79888712,2.255485,1.8018779,0.45360709,-1.5163701,-1.5461248,-1.3851015,-0.62298689,-1.1420884,-1.3899261,-1.5461248,-1.5330653,-1.3055628,-2.0264782,4,2,2,8,8,5,1,5,2,4,6,5,3,8,7,4,2,4,3,5,-1.1047261,0.9440203,1.5401704,1.4539521,0.086218282
-16.896583,0.76772987,0.78306083,2,3,0,16.975517,0.88940151,3.7780639,3.3602158,0.41784815,-1.4161133,-1.3852375,-1.3354308,-0.36950433,-1.0388396,-1.3292801,-1.3852375,-1.6022373,-1.2466094,-1.9067949,4,4,5,8,6,4,2,2,4,5,6,4,2,7,7,4,4,5,2,6,-2.8914551,0.64635724,1.1639543,0.7523303,0.41162402
-16.400861,0.748129,0.66227617,2,3,0,17.367154,0.80608198,1.6852658,1.3584624,0.32680341,-1.5366399,-1.5426565,-1.427913,-0.62847866,-1.1749305,-1.4311853,-1.5426565,-1.5690561,-1.3472267,-1.9956711,5,2,6,8,8,5,3,4,4,7,6,2,5,8,8,5,4,4,4,8,-0.87048004,0.72508287,2.8238848,2.0475505,0.77633431
-16.47301,0.76878793,0.53872166,2,3,0,17.938072,0.88659434,2.1507142,1.906811,0.24390316,-1.4613254,-1.4133469,-1.3978605,-0.42289803,-1.1011084,-1.392637,-1.4133469,-1.6282113,-1.3097934,-1.8935898,7,5,4,8,7,3,2,4,2,6,4,4,6,7,8,5,4,6,3,6,-1.5075404,0.62338729,3.4232872,2.1340337,1.2892535
-16.415637,0.99118727,0.47480752,2,3,0,16.756497,0.87980551,2.776513,2.4427914,0.33372155,-1.4437533,-1.4112335,-1.3652617,-0.41540562,-1.0729084,-1.3600194,-1.4112335,-1.6043249,-1.277616,-1.9112203,8,6,4,6,6,3,6,4,6,8,5,2,4,7,8,3,3,5,6,5,-1.9171581,0.316843,1.3629691,0.43184722,0.93112187
-16.415637,0.62377454,0.85570144,1,1,0,16.794263,0.87980551,2.776513,2.4427914,0.33372155,-1.4437533,-1.4112335,-1.3652617,-0.41540562,-1.0729084,-1.3600194,-1.4112335,-1.6043249,-1.277616,-1.9112203,7,4,4,7,7,4,3,6,2,7,6,1,4,7,8,4,4,7,3,6,-1.9171581,0.70339416,3.3853173,2.3812125,1.0041049
-16.818137,0.98182303,0.48844925,2,3,0,16.982774,0.91693265,2.5813206,2.3668971,0.21442346,-1.4260196,-1.360503,-1.3793988,-0.33474697,-1.0698144,-1.373209,-1.360503,-1.6554306,-1.2885672,-1.856056,3,3,8,4,4,5,3,5,1,7,3,2,2,8,7,6,6,1,1,5,-2.0873649,0.38651742,0.62724424,0.24244083,0.38480342
-16.129246,0.92872884,0.87042639,1,3,0,16.741421,0.81143173,2.2830271,1.8525206,0.43050645,-1.5063518,-1.5253326,-1.3838012,-0.5924604,-1.1320562,-1.3864476,-1.5253326,-1.5437533,-1.3029535,-2.0071887,4,5,4,6,5,3,5,4,1,8,3,2,1,8,6,8,2,3,2,6,-1.17182,0.40380347,2.4175029,0.97619604,1.4413068
-16.129246,0.53579408,1.3151709,1,1,0,16.217027,0.81143173,2.2830271,1.8525206,0.43050645,-1.5063518,-1.5253326,-1.3838012,-0.5924604,-1.1320562,-1.3864476,-1.5253326,-1.5437533,-1.3029535,-2.0071887,5,6,7,6,5,2,4,5,4,8,8,6,3,8,7,4,5,7,3,6,-1.17182,0.47130424,1.1402108,0.53738619,0.60282462
-17.805082,0.60207872,0.57959805,2,3,0,18.29927,0.83938034,5.6436188,4.7371427,0.90647617,-1.4345227,-1.4619688,-1.2985542,-0.4750754,-1.0348443,-1.2968749,-1.4619688,-1.5221176,-1.2148802,-2.0103209,6,2,6,8,7,4,5,2,5,8,4,3,3,7,8,6,3,6,3,7,-4.3206723,0.69853274,1.8493586,1.2918375,0.55752107
