# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:34:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad10b4a0.json
# init = 2 (Default)
# random
#   seed = 1269809775
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201034-1-8a9a9a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201034-1-3b0059.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-16.879705,0.99665629,0.25,2,3,0,16.900092,0.72503334,1.422697,1.0315028,0.39119424,-1.60834,-1.6721809,-1.4583246,-0.82220305,-1.2590724,-1.4778304,-1.6721809,-1.5320532,-1.3852926,-2.1009024,5,7,6,7,7,4,4,4,2,8,7,1,3,7,6,2,4,3,4,7,-0.63123625,0.38932291,5.6767742,2.2100982,3.4666759
-16.879705,0,14.298319,0,1,1,21.675179,0.72503334,1.422697,1.0315028,0.39119424,-1.60834,-1.6721809,-1.4583246,-0.82220305,-1.2590724,-1.4778304,-1.6721809,-1.5320532,-1.3852926,-2.1009024,3,6,4,3,5,1,5,2,2,6,4,1,3,7,7,3,4,5,4,7,-0.63123625,0.54921865,0.83621371,0.45926417,0.37694954
-16.879705,0,2.4120821,0,1,1,18.810869,0.72503334,1.422697,1.0315028,0.39119424,-1.60834,-1.6721809,-1.4583246,-0.82220305,-1.2590724,-1.4778304,-1.6721809,-1.5320532,-1.3852926,-2.1009024,4,5,6,5,7,2,3,3,4,8,3,3,5,8,5,4,5,4,2,7,-0.63123625,0.26070992,2.5221314,0.65754468,1.8645867
-17.295142,0.9819979,0.23766436,2,3,0,17.363028,0.72878354,1.2072029,0.87978959,0.32741328,-1.6219792,-1.6678641,-1.4883351,-0.82442282,-1.2800499,-1.5057415,-1.6678641,-1.5597751,-1.4141914,-2.0787246,1,5,4,7,7,5,5,2,6,8,5,4,4,5,6,4,1,3,3,7,-0.75328367,0.43703777,1.571228,0.68668599,0.88454202
-16.702512,0.98588923,0.30514312,2,7,0,17.794671,0.82375345,1.4631175,1.2052481,0.25786941,-1.5402773,-1.5229366,-1.4520733,-0.60281281,-1.1856977,-1.4527678,-1.5229366,-1.6004855,-1.3695273,-1.9640446,7,6,6,8,4,4,4,3,4,8,5,2,5,7,7,6,6,6,1,7,-0.93976644,0.63783922,1.1114434,0.70892217,0.40252119
-16.958861,0.98373352,0.45632502,2,7,0,17.252039,0.77143345,1.3115833,1.0117992,0.29978406,-1.5852811,-1.6026652,-1.4710553,-0.72637766,-1.2355464,-1.4798419,-1.6026652,-1.5741755,-1.3931292,-2.027206,2,5,6,5,3,5,2,2,8,8,3,2,4,8,7,1,2,6,5,5,-0.7967194,0.23386234,1.580681,0.36966175,1.2110192
-16.242595,0.70988851,0.73692178,2,3,0,17.020174,0.80442545,2.9825103,2.3992072,0.5833031,-1.4931641,-1.5321232,-1.3514632,-0.5927782,-1.1084538,-1.3555476,-1.5321232,-1.5156551,-1.2716188,-2.0373649,6,6,6,6,7,3,5,1,2,7,4,2,4,7,7,4,4,5,3,7,-1.6956272,0.39759967,6.9086536,2.7468784,4.1617752
-16.946749,0.75961831,0.53311672,3,7,0,18.094812,0.70294533,1.4438302,1.0149337,0.42889648,-1.6229489,-1.7080668,-1.457507,-0.87089649,-1.2763808,-1.4831314,-1.7080668,-1.5170183,-1.386847,-2.1368696,6,6,7,7,6,6,3,6,3,7,5,3,5,8,7,4,3,5,7,7,-0.58000008,0.59438605,3.6182308,2.1506259,1.4676049
-16.946749,0.78108327,0.45647437,2,7,0,18.539424,0.70294533,1.4438302,1.0149337,0.42889648,-1.6229489,-1.7080668,-1.457507,-0.87089649,-1.2763808,-1.4831314,-1.7080668,-1.5170183,-1.386847,-2.1368696,5,5,4,6,8,4,4,2,5,6,4,3,7,6,6,3,4,3,1,6,-0.58000008,0.48361673,2.0939263,1.0126578,1.0812685
-16.430301,0.95403642,0.42363315,3,7,0,17.975041,0.85679986,1.8095797,1.5504477,0.25913207,-1.4969225,-1.4650427,-1.4195115,-0.50795373,-1.1369332,-1.4165279,-1.4650427,-1.6093663,-1.3341334,-1.9286883,5,5,2,8,8,6,5,6,4,7,8,2,8,7,8,8,5,7,6,7,-1.1452105,0.47582757,4.7923577,2.2803359,2.5120218
