# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:34:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad28e546d1.json
# init = 2 (Default)
# random
#   seed = 905334970
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201034-1-960501.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201034-1-665459.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.832067,1,0.5,1,1,0,23.931585,0.65120189,0.87254849,0.56820522,0.30434326,-1.7076638,-1.7832139,-1.5624677,-1.0037969,-1.3950905,-1.5964181,-1.7832139,-1.5848356,-1.4936494,-2.1472018,5,3,5,6,6,6,7,5,4,7,7,2,7,8,7,2,6,4,5,8,-1.1559806,0.7543799,1.8050813,1.3617171,0.44336426
-18.832067,0,14.38551,0,1,1,19.454504,0.65120189,0.87254849,0.56820522,0.30434326,-1.7076638,-1.7832139,-1.5624677,-1.0037969,-1.3950905,-1.5964181,-1.7832139,-1.5848356,-1.4936494,-2.1472018,6,7,3,6,2,2,5,7,1,8,3,3,4,6,7,2,5,4,3,6,-1.1559806,0.35312911,1.5953225,0.56335482,1.0319677
-18.832067,0,2.4311673,0,1,1,19.128729,0.65120189,0.87254849,0.56820522,0.30434326,-1.7076638,-1.7832139,-1.5624677,-1.0037969,-1.3950905,-1.5964181,-1.7832139,-1.5848356,-1.4936494,-2.1472018,6,5,3,8,3,3,2,4,3,8,2,3,5,6,8,4,2,4,3,8,-1.1559806,0.41998838,1.7423583,0.73177025,1.0105881
-16.741511,0.97375494,0.23979141,3,7,0,20.336827,0.86615736,3.8014786,3.2926787,0.50879992,-1.4323392,-1.4225932,-1.3317361,-0.42637782,-1.048322,-1.3271567,-1.4225932,-1.5716138,-1.2452355,-1.9450017,6,1,5,8,6,3,4,6,4,5,3,2,2,8,5,5,2,7,4,7,-2.7491531,0.50011533,1.0271031,0.51367,0.51343309
-16.639372,0.97420162,0.30090153,3,7,0,17.723294,0.7251323,3.2747256,2.3746093,0.90011632,-1.5544023,-1.6791713,-1.3439667,-0.78807541,-1.1706147,-1.3686897,-1.6791713,-1.4379239,-1.2738124,-2.19751,2,4,4,8,6,4,3,7,2,8,6,3,4,7,8,4,3,6,4,7,-1.7194019,0.70642789,1.4300379,1.0102186,0.41981923
-16.558702,0.99487884,0.43430752,2,7,0,16.868508,0.7777278,3.5801624,2.7843918,0.79577058,-1.5048633,-1.5788916,-1.3326473,-0.65099969,-1.1136632,-1.3427201,-1.5788916,-1.4767934,-1.2561203,-2.100562,4,4,4,6,4,6,3,2,4,7,5,5,3,7,6,6,4,8,1,8,-2.1427269,0.60224707,1.1563653,0.69641763,0.45994769
-17.231896,0.63541858,0.72474546,2,3,0,17.557233,0.78884022,1.1924534,0.94065523,0.25179821,-1.5855203,-1.5816714,-1.4889581,-0.69826573,-1.2396996,-1.494463,-1.5816714,-1.6002614,-1.4091482,-1.9986857,6,5,3,5,6,2,4,5,5,8,4,2,4,5,6,3,1,7,6,8,-0.93723218,0.10337144,0.84508377,0.08735753,0.75772624
-16.88681,0.99828688,0.41571671,2,7,0,17.345586,0.748193,1.3726052,1.0269736,0.34563159,-1.5957817,-1.6363332,-1.4634401,-0.77332994,-1.2455647,-1.477188,-1.6363332,-1.5519045,-1.3879234,-2.0631973,4,4,5,6,7,4,2,5,4,8,5,2,2,8,6,5,3,4,5,7,-0.70333819,0.39322695,2.9576002,1.1630081,1.7945921
-17.533775,0.64984214,0.7517907,2,3,0,18.23314,0.72737496,4.7728573,3.4716569,1.3012004,-1.538995,-1.6804317,-1.310712,-0.77372586,-1.1433414,-1.3363893,-1.6804317,-1.4133818,-1.2411237,-2.2321719,5,4,5,5,8,4,5,5,4,7,5,4,4,7,8,5,4,3,2,6,-3.1280451,0.41990841,3.2805683,1.3775382,1.9030301
-16.79207,1,0.46209031,1,1,0,17.393725,0.74075886,3.7262663,2.7602647,0.96600151,-1.535142,-1.6500404,-1.3303228,-0.7443431,-1.1451116,-1.3506647,-1.6500404,-1.4407292,-1.2584759,-2.1786009,6,4,7,7,5,3,3,2,4,8,4,6,3,7,6,4,3,2,1,8,-2.1739292,0.28639545,2.1883445,0.6267319,1.5616126
