# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:34:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad13cf411e.json
# init = 2 (Default)
# random
#   seed = 231994144
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201034-2-190fa3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201034-2-0f904f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.995533,0.00024464453,1,1,3,0,20.500733,0.70036043,4.220673,2.9559923,1.2646806,-1.4196054,-2.003262,-2.7496385,-1.0824799,-1.4524229,-2.049663,-1.4524229,-1.4790503,-1.8173618,-1.8173618,4,8,5,1,4,1,2,6,4,5,5,6,3,2,3,7,7,4,4,5,-2.5509237,0.19995819,1.6653159,0.33299354,1.3323223
-19.995533,3.7720039e-182,2.3361037,1,2,1,20.291603,0.70036043,4.220673,2.9559923,1.2646806,-1.4196054,-2.003262,-2.7496385,-1.0824799,-1.4524229,-2.049663,-1.4524229,-1.4790503,-1.8173618,-1.8173618,2,8,3,1,4,5,5,4,6,4,3,6,8,2,5,7,7,2,1,4,-2.5509237,0.12341951,2.1509115,0.26546444,1.885447
-17.566811,0.99992852,0.23036865,3,7,0,21.889745,0.061880199,1.6460848,0.10186006,1.5442248,-1.1270356,-0.34132084,-1.5136657,-1.7009838,-1.4604355,-1.5008443,-1.4604355,-1.3532547,-1.4530422,-1.4530422,2,8,7,1,3,7,6,4,1,8,1,8,4,5,5,7,4,7,6,4,-1.8547174,0.74005821,1.289532,0.95432871,0.33520325
-17.206685,0.99537168,0.23990208,3,7,0,18.196416,0.058695605,2.4227676,0.14220581,2.2805618,-1.0734047,-0.28523749,-1.4657927,-1.7111518,-1.4091211,-1.4522496,-1.4091211,-1.2990952,-1.4010874,-1.4010874,2,8,7,1,6,6,7,6,4,5,2,8,7,2,4,4,7,7,3,4,-2.2883679,0.36430183,1.5659069,0.57046273,0.99544413
-16.488964,0.93876302,0.32023014,2,7,0,19.027646,0.16961238,1.3461982,0.22833189,1.1178663,-1.1721237,-0.59754943,-1.6212192,-1.5896522,-1.4735096,-1.576397,-1.4735096,-1.3839176,-1.4667175,-1.4667175,1,8,5,4,1,5,4,6,3,4,1,8,5,4,4,4,5,8,5,2,-1.0048331,0.20511662,5.0439621,1.0346004,4.0093617
-16.443961,0.99116784,0.41698918,2,7,0,16.716929,0.27708624,5.2016144,1.4412958,3.7603187,-1.0567407,-0.78413662,-1.6745328,-1.44153,-1.3019294,-1.5402381,-1.3019294,-1.2360652,-1.314926,-1.314926,2,3,5,1,4,8,4,5,3,7,3,8,4,2,6,5,6,6,5,4,-3.5180836,0.38497307,1.6300959,0.62754303,1.0025529
-15.267304,0.97020561,0.68722894,2,3,0,15.891154,0.28934587,2.8759061,0.83213156,2.0437745,-1.1100691,-0.82834078,-1.706351,-1.4413708,-1.355263,-1.5780278,-1.355263,-1.2904125,-1.3704559,-1.3704559,2,8,5,1,4,7,5,4,5,6,1,6,5,3,6,6,8,6,4,5,-1.33596,0.20650474,6.7332205,1.3904419,5.3427785
-15.267304,0.0018986676,1.1166002,1,1,0,16.450213,0.28934587,2.8759061,0.83213156,2.0437745,-1.1100691,-0.82834078,-1.706351,-1.4413708,-1.355263,-1.5780278,-1.355263,-1.2904125,-1.3704559,-1.3704559,6,3,7,2,3,8,5,3,5,4,1,8,4,3,5,4,4,8,6,6,-1.33596,0.63933089,1.2058973,0.77096742,0.43492991
-15.27646,0.99987207,0.089004752,4,31,0,15.370093,0.23618216,2.8288725,0.6681292,2.1607433,-1.0889767,-0.69568252,-1.6325549,-1.4995005,-1.3588021,-1.5396804,-1.3588021,-1.2822172,-1.3603057,-1.3603057,5,8,3,4,4,7,2,2,5,6,1,8,4,4,5,5,8,7,5,5,-1.4269328,0.25003523,0.78392799,0.19600962,0.58791837
-15.990167,0.98102879,0.16353566,2,5,0,16.395713,0.21214935,1.4834733,0.31471788,1.1687554,-1.1664274,-0.68002541,-1.6503058,-1.5446403,-1.4520201,-1.58566,-1.4520201,-1.3697534,-1.4494715,-1.4494715,1,8,4,1,4,5,6,7,3,3,1,8,6,3,1,8,6,5,5,2,-0.79584586,0.37295372,1.8061907,0.67362555,1.1325652
-16.728446,0.99280493,0.28823767,3,7,0,16.89666,0.11824125,4.4622191,0.52761839,3.9346007,-1.0158125,-0.37827662,-1.4706424,-1.6424566,-1.3340935,-1.4330306,-1.3340935,-1.232099,-1.3220852,-1.3220852,5,7,7,4,5,7,3,8,6,8,3,8,5,4,2,6,6,8,3,4,-3.4785524,0.43269722,1.24023,0.53664409,0.70358594
