# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:35:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad24051b3d.json
# init = 2 (Default)
# random
#   seed = 1121375667
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201035-1-199223.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201035-1-75aa2f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-15.443621,1,1,1,3,0,16.697209,0.19770296,3.0494681,0.60288886,2.4465792,-1.0679901,-0.59683433,-1.5803653,-1.5422666,-1.3541932,-1.5081195,-1.3541932,-1.2694249,-1.3489028,-1.3489028,2,7,7,3,3,7,5,4,7,7,3,8,5,3,5,5,5,5,7,5,-1.7461292,0.22745029,1.374532,0.3126377,1.0618943
-15.443621,0,14.38551,0,1,1,16.433071,0.19770296,3.0494681,0.60288886,2.4465792,-1.0679901,-0.59683433,-1.5803653,-1.5422666,-1.3541932,-1.5081195,-1.3541932,-1.2694249,-1.3489028,-1.3489028,1,6,6,2,5,6,8,6,4,4,2,8,3,3,2,5,4,7,5,2,-1.7461292,0.56185367,3.0446796,1.7106644,1.3340152
-15.443621,1.9648395e-145,2.4311673,1,1,0,16.719417,0.19770296,3.0494681,0.60288886,2.4465792,-1.0679901,-0.59683433,-1.5803653,-1.5422666,-1.3541932,-1.5081195,-1.3541932,-1.2694249,-1.3489028,-1.3489028,3,8,3,2,5,7,4,8,6,7,3,8,7,1,5,4,7,8,1,3,-1.7461292,0.42866315,1.6538034,0.70892455,0.9448788
-15.374472,0.96569135,0.23979141,3,7,0,16.761314,0.26137778,3.2600669,0.85210905,2.4079579,-1.0852673,-0.75374659,-1.661432,-1.4682517,-1.3422558,-1.5490587,-1.3422558,-1.2715342,-1.3498316,-1.3498316,3,8,5,2,6,6,7,5,4,6,1,7,7,7,3,6,2,6,3,5,-1.7379978,0.39193286,1.4488252,0.56784221,0.88098302
-15.495651,0.99494137,0.29404835,3,7,0,15.734349,0.17803097,2.8506656,0.50750678,2.3431589,-1.0694424,-0.55249898,-1.5615368,-1.5660617,-1.3641442,-1.5005745,-1.3641442,-1.2753242,-1.3564928,-1.3564928,3,6,6,2,3,7,8,3,2,5,1,8,3,7,6,4,4,7,3,5,-1.654641,0.6022157,2.2781729,1.3719515,0.90622139
-16.772946,0.89223519,0.4510354,2,7,0,17.080005,0.54589469,1.9797792,1.080751,0.89902825,-1.3116334,-1.4821792,-2.1754448,-1.2446288,-1.4458914,-1.8290887,-1.4458914,-1.431364,-1.5915374,-1.5915374,4,5,3,3,4,4,2,8,5,8,2,5,7,3,2,5,5,4,3,5,-0.51197909,0.21619457,1.3829008,0.29897564,1.0839252
-16.048378,1,0.55023883,2,3,0,16.835348,0.45840175,2.9191664,1.338151,1.5810154,-1.2124892,-1.2708405,-2.0121179,-1.2788821,-1.374349,-1.7307611,-1.374349,-1.347672,-1.4702045,-1.4702045,5,8,4,1,3,7,8,6,1,8,2,6,3,2,4,3,7,3,3,6,-1.1845663,0.86445841,1.4726967,1.2730851,0.19961166
-16.048378,0.033622283,0.97728731,1,3,0,19.272516,0.45840175,2.9191664,1.338151,1.5810154,-1.2124892,-1.2708405,-2.0121179,-1.2788821,-1.374349,-1.7307611,-1.374349,-1.347672,-1.4702045,-1.4702045,1,8,5,6,3,2,4,5,4,7,4,7,3,3,3,4,4,6,1,4,-1.1845663,0.13925674,1.0884402,0.15157263,0.93686756
-15.795386,0.99779562,0.085956203,4,15,0,16.826635,0.43702788,2.3494523,1.0267762,1.3226762,-1.2159911,-1.2071909,-1.9593997,-1.3118563,-1.3946415,-1.7158082,-1.3946415,-1.3607078,-1.4723429,-1.4723429,2,5,8,3,2,7,5,6,3,5,2,8,6,2,3,6,6,6,4,7,-0.74236218,0.81328232,3.3131326,2.6945122,0.61862044
-16.287511,0.97784173,0.15687565,3,11,0,17.736257,0.15424344,1.5092474,0.23279152,1.2764559,-1.1498739,-0.55171221,-1.5943997,-1.6016668,-1.4557584,-1.5534734,-1.4557584,-1.3634551,-1.4476811,-1.4476811,2,8,7,3,3,4,3,5,4,6,1,8,2,4,4,5,6,4,4,7,-1.040915,0.30281219,1.8620724,0.56385823,1.2982142
-16.573828,0.99989341,0.2737107,3,7,0,17.095383,0.1188566,1.5620188,0.18565625,1.3763626,-1.1388367,-0.47102213,-1.5611899,-1.6381056,-1.4560295,-1.5322481,-1.4560295,-1.3578199,-1.4467927,-1.4467927,5,2,8,5,5,7,4,5,5,5,3,8,5,4,5,2,4,6,6,7,-1.2585675,0.67865872,2.2535309,1.5293784,0.72415251
-16.415273,0.9903097,0.51674786,3,7,0,18.137088,0.48385033,1.6587418,0.80258278,0.85615906,-1.2839406,-1.3121309,-2.0331744,-1.3063966,-1.4533422,-1.7727893,-1.4533422,-1.4238781,-1.5487834,-1.5487834,4,7,5,5,5,4,6,4,2,4,3,8,5,2,5,6,8,6,5,6,-0.39743311,0.61148665,4.1609877,2.5443884,1.6165993
-16.415273,0.10135376,0.94936424,1,1,0,17.13035,0.48385033,1.6587418,0.80258278,0.85615906,-1.2839406,-1.3121309,-2.0331744,-1.3063966,-1.4533422,-1.7727893,-1.4533422,-1.4238781,-1.5487834,-1.5487834,4,5,6,3,4,4,7,5,4,5,1,4,5,4,6,2,5,4,3,4,-0.39743311,0.81692142,0.68756989,0.56169057,0.12587932
-16.417225,0.99733337,0.10731432,4,31,0,17.389364,0.16087353,4.6422876,0.74682119,3.8954664,-1.0208817,-0.48379753,-1.5154924,-1.5863205,-1.3218862,-1.4574537,-1.3218862,-1.2287832,-1.3117502,-1.3117502,3,7,3,4,6,7,8,6,3,5,3,8,7,1,3,5,2,6,6,6,-3.3899001,0.64632683,2.7025861,1.7467539,0.95583217
-15.374802,0.99968915,0.20355863,3,7,0,16.700292,0.30491772,1.956667,0.59662245,1.3600446,-1.1609653,-0.87755642,-1.7418369,-1.4421471,-1.4050361,-1.6165173,-1.4050361,-1.3415958,-1.4231213,-1.4231213,1,7,6,4,5,6,2,4,2,6,8,8,6,2,8,6,7,6,1,5,-0.65767242,0.2327528,2.8646461,0.66675439,2.1978917
-15.603782,0.95291983,0.38730972,1,3,0,16.173844,0.40502649,2.5198076,1.0205888,1.4992188,-1.1881689,-1.1256728,-1.9006478,-1.3348662,-1.3802654,-1.6831932,-1.3802654,-1.3402019,-1.4418156,-1.4418156,4,7,3,4,7,4,2,6,4,2,1,6,4,6,4,5,5,4,2,3,-0.88801033,0.32889245,2.9213308,0.96080365,1.9605272
-15.324904,1,0.63413943,2,3,0,15.591005,0.32410107,2.857535,0.92613013,1.9314049,-1.1282844,-0.91702265,-1.7604811,-1.4056174,-1.356968,-1.6063765,-1.356968,-1.2998852,-1.3839078,-1.3839078,3,6,6,4,6,5,4,5,6,4,2,5,6,2,5,6,7,5,3,3,-1.2570327,0.43267728,1.7259711,0.74678847,0.97918259
-15.324904,3.6024528e-05,1.1921461,1,1,0,16.035244,0.32410107,2.857535,0.92613013,1.9314049,-1.1282844,-0.91702265,-1.7604811,-1.4056174,-1.356968,-1.6063765,-1.356968,-1.2998852,-1.3839078,-1.3839078,3,6,4,2,3,4,3,5,4,5,3,5,6,3,3,6,4,6,4,6,-1.2570327,0.51861715,2.0157287,1.0453914,0.97033722
-15.877622,0.99536459,0.10731343,4,31,0,16.652894,0.13142821,2.2782882,0.29943134,1.9788568,-1.0861348,-0.4588377,-1.5314188,-1.6219794,-1.3989292,-1.4939591,-1.3989292,-1.3015791,-1.3887396,-1.3887396,1,7,7,3,2,8,7,7,2,8,1,7,4,5,5,7,3,8,5,3,-1.4616001,0.87485742,1.204725,1.0539626,0.1507624
-15.610315,0.99774664,0.20022428,3,13,0,16.060369,0.19044784,3.4322265,0.65366012,2.7785663,-1.0542598,-0.57274816,-1.5653061,-1.5498351,-1.3431134,-1.4951646,-1.3431134,-1.2567522,-1.336677,-1.336677,3,5,6,2,1,5,3,3,3,5,1,5,5,5,2,6,4,7,2,5,-2.1202259,0.49858911,4.055452,2.0220042,2.0334478
-15.407922,0.95393014,0.37284246,3,7,0,16.131886,0.34557708,2.0685237,0.71483438,1.3536893,-1.1742746,-0.97508867,-1.7997748,-1.4009659,-1.3990578,-1.6431119,-1.3990578,-1.3444275,-1.4313897,-1.4313897,4,5,6,5,2,7,5,5,4,8,1,8,4,3,3,5,4,6,4,6,-0.64967784,0.79771714,1.0106952,0.80624885,0.20444631
-15.325324,0.76885386,0.60410425,2,3,0,16.007388,0.20756697,2.5779441,0.53509605,2.0428481,-1.0891849,-0.63021418,-1.6019469,-1.5333468,-1.3720965,-1.5273758,-1.3720965,-1.2893792,-1.3684396,-1.3684396,2,8,8,3,7,6,2,8,5,5,2,8,8,4,5,6,6,6,2,7,-1.3148473,0.15580985,1.3926436,0.21698759,1.175656
-15.530767,0.76097825,0.56462684,2,3,0,16.280935,0.30690966,1.752507,0.53786131,1.2146456,-1.1764629,-0.88584337,-1.7492372,-1.446562,-1.4217404,-1.6271638,-1.4217404,-1.3580232,-1.4397339,-1.4397339,4,7,7,4,5,7,4,4,3,5,2,8,5,5,4,5,6,6,1,7,-0.57777672,0.21404179,2.4807083,0.53097524,1.949733
-15.315031,0.90664237,0.51656608,2,3,0,16.116628,0.21721073,2.7921759,0.60649056,2.1856854,-1.0835289,-0.64945818,-1.6090404,-1.5210522,-1.3618047,-1.5275667,-1.3618047,-1.2811472,-1.3596809,-1.3596809,1,8,7,5,2,4,7,7,4,5,3,7,3,1,5,5,5,5,4,5,-1.4553088,0.18279635,2.2414677,0.40973212,1.8317356
-15.246983,0.93714948,0.72040605,2,3,0,15.374978,0.30522408,2.6291893,0.80249189,1.8266974,-1.1268992,-0.87056039,-1.7326791,-1.4281414,-1.3658893,-1.5959074,-1.3658893,-1.3041474,-1.3857262,-1.3857262,2,8,4,4,4,5,7,4,5,5,2,8,2,1,4,6,5,6,3,4,-1.1012179,0.30607595,2.4972863,0.76435925,1.732927
