# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:35:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad135a5a5b.json
# init = 2 (Default)
# random
#   seed = 1790041298
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201035-1-854815.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201035-1-11dadf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.343748,1,0.5,2,3,0,24.676734,0.30866518,7.0826026,2.1861528,4.8964498,-1.0031681,-1.8822014,-1.0571053,-2.2725734,-1.3348945,-1.0031681,-1.3999229,-1.3033227,-1.2349353,-1.1312742,6,2,6,6,5,7,2,5,2,7,5,5,5,4,8,7,5,7,6,8,-5.1341939,0.22061887,0.91850812,0.20264023,0.71586789
-18.343748,0,14.38551,0,1,1,18.407239,0.30866518,7.0826026,2.1861528,4.8964498,-1.0031681,-1.8822014,-1.0571053,-2.2725734,-1.3348945,-1.0031681,-1.3999229,-1.3033227,-1.2349353,-1.1312742,8,5,5,7,8,8,2,7,8,8,8,1,7,7,8,7,1,8,7,8,-5.1341939,0.7035032,3.2774474,2.3056948,0.97175266
-18.343748,0,2.4311673,0,1,1,20.747453,0.30866518,7.0826026,2.1861528,4.8964498,-1.0031681,-1.8822014,-1.0571053,-2.2725734,-1.3348945,-1.0031681,-1.3999229,-1.3033227,-1.2349353,-1.1312742,8,5,5,6,6,7,7,7,8,5,8,6,6,6,6,7,7,5,7,7,-5.1341939,0.83262122,1.031365,0.85873639,0.17262862
-16.114884,0.96723436,0.23979141,3,7,0,20.076092,0.52050766,0.9826594,0.51148174,0.47117766,-1.2233284,-1.5125202,-1.3754394,-2.359427,-1.448624,-1.2233284,-1.3516297,-0.93885035,-1.2422791,-1.2194511,7,4,6,6,5,8,3,6,7,8,7,2,5,8,6,6,2,4,6,7,-0.81453531,0.415726,2.0722648,0.86149436,1.2107704
-17.897642,0.92964267,0.29534756,2,7,0,18.40782,0.46296317,8.0675473,3.7349773,4.3325701,-0.97766414,-1.5425382,-1.1635833,-2.6258672,-1.2188269,-0.97766414,-1.2313672,-1.0058131,-1.0495927,-0.9967109,8,3,6,8,6,6,2,8,7,6,8,1,4,5,5,7,2,8,5,8,-5.804067,0.69498974,1.9200703,1.3344291,0.58564114
-15.46834,1,0.372957,3,7,0,17.878952,0.63621134,4.3931291,2.7949585,1.5981705,-1.0923963,-1.2605098,-1.3493175,-2.9847965,-1.2414435,-1.0923963,-1.1174009,-0.69632525,-1.014621,-1.0198814,7,2,4,7,4,6,2,5,7,8,8,4,4,7,6,7,2,8,8,8,-2.6158864,0.29348163,2.1645261,0.63524866,1.5292775
-14.681198,1,0.6296111,1,1,0,15.219785,0.62209934,3.1079868,1.9334765,1.1745102,-1.1063034,-1.2971866,-1.3486456,-2.8571649,-1.2696669,-1.1063034,-1.1520928,-0.73138023,-1.0452115,-1.0489931,7,2,7,5,7,7,1,8,4,8,8,3,3,6,7,7,5,7,8,5,-1.4044451,0.13195314,1.2089917,0.15953025,1.0494614
-14.681198,0.0090360899,1.1207638,1,1,0,14.873111,0.62209934,3.1079868,1.9334765,1.1745102,-1.1063034,-1.2971866,-1.3486456,-2.8571649,-1.2696669,-1.1063034,-1.1520928,-0.73138023,-1.0452115,-1.0489931,6,3,7,7,6,6,2,8,7,8,7,4,7,8,5,7,3,8,8,7,-1.4044451,0.35794341,2.0948243,0.74982857,1.3449957
-16.789705,0.98704724,0.091366449,4,31,0,17.897615,0.43686738,6.28414,2.7453358,3.5388042,-0.98914644,-1.5947704,-1.151158,-2.5368323,-1.2440662,-0.98914644,-1.2639358,-1.0543396,-1.0848205,-1.0212177,7,4,8,2,4,5,1,5,5,7,6,3,5,5,8,8,2,8,8,5,-4.2959354,0.24221687,1.9683922,0.47677779,1.4916144
-19.484356,0.95945669,0.1612324,3,7,0,21.648723,0.72857491,9.1476815,6.6647712,2.4829103,-1.1837903,-1.1140229,-1.4424351,-3.4454261,-1.248202,-1.1837903,-1.0258008,-0.5145254,-1.0223411,-1.0055739,2,4,6,8,4,8,5,8,5,8,8,2,6,7,6,8,4,7,8,7,-6.8912144,0.3387802,0.49547495,0.1678571,0.32761785
