# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:35:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad336d7198.json
# init = 2 (Default)
# random
#   seed = 1786791465
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201035-1-9808f2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201035-1-8e67a5.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-15.325371,0.39984848,1,2,3,0,15.637762,0.33573717,2.7249693,0.91487349,1.8100958,-1.0709975,-1.7867313,-1.1392017,-2.2376414,-1.3726318,-1.0709975,-1.3959633,-1.2268319,-1.2467209,-1.1512685,8,4,5,8,4,4,3,6,8,3,8,6,7,5,7,8,3,7,7,7,-1.1283384,0.81462904,2.0007704,1.6298857,0.37088473
-15.325371,0,4.8309198,0,1,1,15.362982,0.33573717,2.7249693,0.91487349,1.8100958,-1.0709975,-1.7867313,-1.1392017,-2.2376414,-1.3726318,-1.0709975,-1.3959633,-1.2268319,-1.2467209,-1.1512685,8,7,5,5,4,5,5,6,5,8,7,1,8,8,6,7,1,6,7,8,-1.1283384,0.32710536,1.6520531,0.54039543,1.1116577
-14.66683,0.98906472,0.59084642,2,3,0,15.549794,0.49283303,1.6765126,0.82624079,0.85027181,-1.1279322,-1.5130097,-1.2888859,-2.4306001,-1.3559594,-1.1279322,-1.2988832,-0.96049042,-1.1636723,-1.1301763,4,4,8,6,3,6,3,6,5,8,6,4,7,7,8,8,4,7,5,8,-0.39950359,0.34157045,2.0890328,0.71355186,1.3754809
-14.639601,0.4879181,0.67593972,2,3,0,16.127313,0.50189177,3.2399612,1.6261099,1.6138513,-1.0484466,-1.4779453,-1.2389683,-2.5845005,-1.2695877,-1.0484466,-1.2358871,-0.93625461,-1.0798235,-1.047645,7,2,7,4,4,6,2,6,8,6,6,5,6,5,4,8,3,8,5,8,-1.4613488,0.38977631,0.65493752,0.25527913,0.39965839
-14.597022,0.99950035,0.22811694,3,15,0,14.853164,0.54110747,3.2325005,1.7491302,1.4833703,-1.0599539,-1.4139699,-1.2721824,-2.6719179,-1.2625667,-1.0599539,-1.2052858,-0.86831336,-1.0593723,-1.0423121,7,1,5,6,7,8,2,8,6,7,7,4,5,7,7,7,5,5,2,6,-1.4613734,0.6070089,1.2206723,0.74095894,0.47971334
-14.481586,1,0.35079732,2,3,0,14.603134,0.5233014,2.922721,1.529464,1.393257,-1.0641586,-1.4455134,-1.2634059,-2.6104543,-1.275808,-1.0641586,-1.2261949,-0.90053759,-1.0779713,-1.0545741,6,4,7,7,6,8,2,8,7,8,7,2,6,4,5,6,2,8,7,8,-1.1828554,0.39622136,3.2803771,1.2997555,1.9806216
-15.238293,0.75790013,0.59122413,1,1,0,15.257299,0.47334148,4.1954225,1.9858675,2.209555,-1.0203069,-1.5245642,-1.2001586,-2.5662029,-1.2551106,-1.0203069,-1.2454627,-0.98575629,-1.0779059,-1.0324955,4,4,6,5,6,6,3,6,4,7,8,4,6,6,5,7,2,8,7,8,-2.3548752,0.042832293,1.7366748,0.074385766,1.6622891
-16.538172,0.82422207,0.49484436,2,3,0,16.610613,0.44484578,0.92639561,0.41210318,0.51429243,-1.2306111,-1.6091249,-1.3426294,-2.2497689,-1.4777555,-1.2306111,-1.405133,-1.0449877,-1.2914705,-1.2404024,8,5,7,8,8,7,3,8,7,8,7,5,6,6,3,8,3,6,4,8,-0.94068659,0.67305806,1.0203696,0.68676799,0.33360163
-15.563951,1,0.5187107,1,1,0,16.455868,0.46269679,1.1828735,0.54731175,0.63556171,-1.183494,-1.5722018,-1.3140607,-2.313878,-1.4241088,-1.183494,-1.3604929,-1.0137243,-1.2366969,-1.1923447,8,3,8,6,6,6,2,6,8,7,7,4,8,5,6,3,3,5,5,8,-0.5455258,0.57821776,3.4041794,1.968357,1.4358224
-14.857926,0.82148118,0.96161647,2,3,0,16.107626,0.68640317,1.9487179,1.3376062,0.61111177,-1.200342,-1.2573748,-1.4341719,-2.8634045,-1.3455985,-1.200342,-1.1655422,-0.6516745,-1.1137784,-1.1184415,5,4,6,5,4,6,3,8,7,8,8,3,8,4,5,7,4,7,6,7,-0.63849023,0.072184932,1.8804698,0.13574158,1.7447282
-14.466266,1,1.0258687,1,1,0,14.728121,0.61187146,2.1227031,1.2988214,0.82388166,-1.1368657,-1.3355406,-1.3610678,-2.7234231,-1.3136561,-1.1368657,-1.1952595,-0.76374078,-1.0905968,-1.092824,8,2,8,6,6,8,2,7,8,7,8,4,8,8,8,7,3,7,8,7,-0.63146473,0.75111319,2.2728565,1.7071725,0.56568401
-14.466266,0.0048430523,1.9345233,1,1,0,14.685232,0.61187146,2.1227031,1.2988214,0.82388166,-1.1368657,-1.3355406,-1.3610678,-2.7234231,-1.3136561,-1.1368657,-1.1952595,-0.76374078,-1.0905968,-1.092824,7,4,8,5,5,7,2,8,7,8,8,3,7,5,7,7,2,7,8,6,-0.63146473,0.56033428,2.6530561,1.4865983,1.1664578
-14.434107,0.99675219,0.15893026,4,15,0,15.002852,0.48874563,2.4910901,1.2175094,1.2735807,-1.0742437,-1.5058489,-1.2479323,-2.5053407,-1.3021692,-1.0742437,-1.2653131,-0.96125768,-1.115114,-1.0785851,7,2,5,5,5,8,6,8,7,7,8,6,5,6,7,7,5,6,6,5,-0.8299782,0.6524275,1.8637679,1.2159734,0.64779446
-15.224861,0.93961155,0.29995869,2,3,0,15.282964,0.50552416,4.2967469,2.1721094,2.1246375,-1.024542,-1.466514,-1.2258018,-2.6440814,-1.2431558,-1.024542,-1.2163792,-0.92772125,-1.0536767,-1.0220163,8,2,6,8,4,8,1,6,5,5,5,6,7,7,5,7,2,8,6,8,-2.4478724,0.63111515,1.6790474,1.0596723,0.61937516
-14.928547,0.85553992,0.47258318,1,3,0,16.899862,0.63921594,1.53057,0.97836475,0.55220528,-1.1920848,-1.3329635,-1.4091732,-2.6777103,-1.3676166,-1.1920848,-1.2211876,-0.74057383,-1.1390403,-1.144983,7,3,6,8,6,8,1,7,8,6,4,2,4,7,4,8,3,7,8,5,-0.46978066,0.8536809,1.8903439,1.6137505,0.27659342
-15.043209,0.98684824,0.57223136,2,3,0,15.365278,0.65712856,3.5120293,2.3078548,1.2041746,-1.125854,-1.2443058,-1.3785669,-2.9833676,-1.2671559,-1.125854,-1.1206952,-0.66775959,-1.0376495,-1.0433745,8,2,3,8,7,8,1,7,8,8,8,4,8,3,6,6,4,8,6,5,-1.8145447,0.75907364,2.4238871,1.8399088,0.58397831
-15.043209,0.00026302917,1.0371987,1,1,0,15.612781,0.65712856,3.5120293,2.3078548,1.2041746,-1.125854,-1.2443058,-1.3785669,-2.9833676,-1.2671559,-1.125854,-1.1206952,-0.66775959,-1.0376495,-1.0433745,7,1,5,7,6,8,2,8,8,7,8,3,7,5,7,5,3,6,6,6,-1.8145447,0.80983514,2.3164931,1.8759775,0.44051558
-15.205984,0.9978479,0.091700722,3,7,0,15.419088,0.65440726,3.8238708,2.5023688,1.321502,-1.1176409,-1.2429924,-1.3727982,-2.9997269,-1.2585696,-1.1176409,-1.1157365,-0.6692802,-1.0293347,-1.0350842,8,2,6,8,7,7,5,7,8,8,5,2,7,6,7,8,2,8,8,8,-2.1019236,0.64864075,2.3116548,1.4994335,0.81222132
-15.103824,1,0.17320916,3,7,0,15.331692,0.63196378,3.8410565,2.4274086,1.4136479,-1.0976293,-1.2726192,-1.3495597,-2.9393786,-1.2515418,-1.0976293,-1.1293163,-0.70760921,-1.025419,-1.0303207,8,1,5,6,4,6,3,6,7,5,8,4,8,8,6,6,3,8,8,7,-2.0900507,0.70366051,1.1375842,0.80047304,0.33711111
-15.66315,0.98566301,0.32644999,3,7,0,16.252825,0.71350875,1.3162284,0.93914048,0.37708793,-1.2628059,-1.2797591,-1.4837465,-2.7713985,-1.4168364,-1.2628059,-1.211087,-0.64552448,-1.1831127,-1.1867476,8,2,8,5,7,8,2,8,4,8,5,4,5,8,4,5,3,8,4,8,-0.64648841,0.23613235,1.3071626,0.30866338,0.99849925
-15.163769,0.92802792,0.58402831,1,3,0,16.073527,0.57582528,1.29764,0.74721391,0.55042608,-1.1871548,-1.4215239,-1.3760505,-2.5115904,-1.3899711,-1.1871548,-1.2786672,-0.84484074,-1.172551,-1.1668259,6,4,4,5,5,7,4,6,6,8,7,4,7,5,6,7,4,8,7,8,-0.47842539,0.13139992,1.4668925,0.19274956,1.274143
-15.877291,0.43778468,0.87323841,2,3,0,16.203098,0.7446734,3.6537787,2.7208718,0.93290687,-1.2343571,-1.1426425,-1.472717,-3.2509183,-1.3126185,-1.2343571,-1.0725081,-0.51902448,-1.0897924,-1.0679916,7,3,8,6,6,8,1,7,7,8,8,5,7,6,8,6,2,6,8,8,-2.1161041,0.34380993,2.1855908,0.75142782,1.434163
-14.868911,1,0.30827116,3,7,0,16.473204,0.38713404,2.3024052,0.89133942,1.4110658,-1.0823198,-1.6828759,-1.1859633,-2.3039083,-1.3559111,-1.0823198,-1.3565698,-1.1333897,-1.2061715,-1.12861,8,7,8,6,4,6,1,6,5,8,6,2,4,6,6,8,1,7,6,7,-0.74623279,0.37127369,2.145808,0.79668206,1.349126
-14.754762,0.7759983,0.56787417,2,3,0,15.71353,0.57275569,3.5157191,2.0136481,1.502071,-1.0660085,-1.3619237,-1.2959957,-2.7655957,-1.2524552,-1.0660085,-1.1759382,-0.81202356,-1.039924,-1.0330557,7,6,4,6,7,8,1,8,6,6,7,2,8,6,4,7,3,7,7,8,-1.7353819,0.67116402,2.6039022,1.7476454,0.85625673
-14.824333,1,0.54305976,2,3,0,14.990338,0.65059035,1.6753884,1.0899915,0.58539687,-1.1881785,-1.311082,-1.4116997,-2.731056,-1.3558119,-1.1881785,-1.2029343,-0.71713741,-1.126081,-1.1326411,7,3,6,5,6,7,4,8,7,7,6,3,2,6,5,8,1,8,7,7,-0.49419262,0.40558889,3.6714712,1.4891079,2.1823633
-16.884172,0.10611228,0.9858711,1,1,0,17.446177,0.68373718,6.0131301,4.1114006,1.9017295,-1.126992,-1.1838991,-1.3936742,-3.2022417,-1.238652,-1.126992,-1.0696485,-0.60439378,-1.0075699,-1.0098364,7,3,8,5,5,6,4,7,5,8,7,2,7,8,7,7,3,8,6,8,-4.1828542,0.47535713,1.7256354,0.8202931,0.90534234
-15.004485,0.99964801,0.14084174,3,7,0,17.052598,0.60417601,1.4061462,0.84955978,0.55658638,-1.1857589,-1.3808225,-1.3888181,-2.5844535,-1.376848,-1.1857589,-1.251575,-0.7983031,-1.1538471,-1.1546942,8,4,8,6,5,5,4,7,6,8,6,3,6,8,5,7,3,8,6,4,-0.45378272,0.15617303,1.9060063,0.29766678,1.6083395
