# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:35:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad68556a66.json
# init = 2 (Default)
# random
#   seed = 1851702152
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201035-2-07e5ce.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201035-2-34b4ac.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-15.974153,0.93276813,0.5,2,5,0,16.295919,0.21585822,4.3438294,0.93765129,3.4061781,-1.0427161,-0.62743424,-1.5877666,-1.5171386,-1.3191647,-1.4993173,-1.3191647,-1.238448,-1.316617,-1.316617,4,6,7,2,7,8,8,6,2,7,3,8,6,3,3,4,4,4,3,5,-2.8822261,0.62286668,1.1776709,0.73353196,0.44413893
-15.974153,0,12.730258,0,1,1,17.061691,0.21585822,4.3438294,0.93765129,3.4061781,-1.0427161,-0.62743424,-1.5877666,-1.5171386,-1.3191647,-1.4993173,-1.3191647,-1.238448,-1.316617,-1.316617,5,5,5,2,3,6,6,1,2,6,7,8,4,6,4,7,5,7,5,5,-2.8822261,0.75673313,5.7579575,4.3572372,1.4007203
-15.974153,9.9046274e-88,2.0748824,1,3,1,16.804353,0.21585822,4.3438294,0.93765129,3.4061781,-1.0427161,-0.62743424,-1.5877666,-1.5171386,-1.3191647,-1.4993173,-1.3191647,-1.238448,-1.316617,-1.316617,1,6,8,4,2,6,5,4,2,6,1,8,4,3,4,5,4,5,5,4,-2.8822261,0.70353663,1.1153294,0.78467509,0.33065431
-15.788439,0.99963986,0.20046047,3,7,0,16.137515,0.25305469,4.1234982,1.0434706,3.0800276,-1.0616866,-0.72552017,-1.6421395,-1.4732738,-1.320673,-1.5301929,-1.320673,-1.2485446,-1.3264072,-1.3264072,3,8,2,7,4,6,7,7,4,4,1,8,4,2,6,7,3,3,3,7,-2.5637095,0.13207704,3.4961556,0.46176187,3.0343937
-15.424358,0.99225939,0.26737413,2,3,0,16.047841,0.21872931,3.2213244,0.70459805,2.5167263,-1.0695128,-0.64647063,-1.603764,-1.517017,-1.3462133,-1.5186466,-1.3462133,-1.2659844,-1.3443071,-1.3443071,5,4,6,5,5,4,6,7,3,6,2,7,5,2,3,6,6,6,3,6,-1.82496,0.48572043,1.7652774,0.8574313,0.9078461
-16.137327,0.89953131,0.40517454,2,3,0,18.150291,0.41945222,3.7517062,1.5736615,2.1780447,-1.1658428,-1.1713101,-1.9390195,-1.3001637,-1.3413125,-1.6847752,-1.3413125,-1.308317,-1.4173113,-1.4173113,5,6,7,1,4,6,7,7,3,6,4,6,8,4,3,7,5,7,2,8,-1.9602733,0.87481939,0.69952252,0.61195587,0.087566658
-16.935213,0.81427925,0.50399747,1,1,0,17.020346,0.45921167,4.5731286,2.100034,2.4730945,-1.1840874,-1.287477,-2.0352172,-1.2542467,-1.3343842,-1.7247258,-1.3343842,-1.31257,-1.4400608,-1.4400608,2,7,6,5,4,7,6,6,3,6,3,6,7,4,3,8,3,7,3,6,-2.7152254,0.37138708,2.1224941,0.78826688,1.3342272
-18.260404,0.7299771,0.50142803,2,7,0,20.928173,0.042597669,1.6467997,0.07014983,1.5766499,-1.1274287,-0.30001861,-1.5015865,-1.723121,-1.4655252,-1.4933444,-1.4655252,-1.3556238,-1.4598544,-1.4598544,2,5,2,2,4,7,6,6,6,2,7,7,4,5,4,4,3,7,7,4,-2.2078684,0.4303621,1.4630295,0.62963245,0.83339704
-16.363465,0.93072526,0.39092172,3,7,0,19.151662,0.29473291,5.0397713,1.4853864,3.5543848,-1.0678459,-0.8320709,-1.7042679,-1.4215352,-1.3041854,-1.5566495,-1.3041854,-1.2425855,-1.3230186,-1.3230186,3,7,6,3,3,5,7,7,2,8,1,8,5,2,4,6,5,6,7,5,-3.3305983,0.32777008,1.2548428,0.41129991,0.84354284
-19.077425,0.77018148,0.58152072,2,3,0,19.960149,0.03263978,1.4494969,0.04731126,1.4021856,-1.1483698,-0.29942376,-1.5144174,-1.7322858,-1.4882544,-1.5086084,-1.4882544,-1.377915,-1.483885,-1.483885,2,3,6,2,3,5,7,5,2,8,4,8,5,4,5,4,5,7,4,6,-2.4679349,0.80912773,4.2469856,3.4363538,0.81063177
