# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:35:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad5ff0ee0b.json
# init = 2 (Default)
# random
#   seed = 140919988
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201035-2-579993.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201035-2-48e699.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-22.064717,1,0.5,2,3,0,23.133976,0.84858172,1.3639267,1.1574033,0.20652344,-1.60713,-2.225015,-2.9114893,-1.1663369,-1.6473756,-2.1763179,-1.6473756,-1.6662339,-2.0932871,-2.0932871,2,5,7,1,2,7,3,2,1,8,3,6,8,3,3,7,5,4,5,7,-1.0893379,0.71795249,1.1885168,0.85329861,0.33521821
-22.064717,0,14.38551,0,1,1,22.739013,0.84858172,1.3639267,1.1574033,0.20652344,-1.60713,-2.225015,-2.9114893,-1.1663369,-1.6473756,-2.1763179,-1.6473756,-1.6662339,-2.0932871,-2.0932871,1,6,4,3,3,5,5,5,5,5,1,3,7,2,3,4,8,7,3,7,-1.0893379,0.3717754,0.75734813,0.28156341,0.47578472
-22.064717,5.275186e-08,2.4311673,1,3,1,23.488774,0.84858172,1.3639267,1.1574033,0.20652344,-1.60713,-2.225015,-2.9114893,-1.1663369,-1.6473756,-2.1763179,-1.6473756,-1.6662339,-2.0932871,-2.0932871,3,6,4,3,4,6,5,6,4,3,4,7,7,2,2,7,7,3,2,7,-1.0893379,0.22830072,4.614922,1.05359,3.561332
-15.255496,0.95064612,0.23979144,3,7,0,24.025272,0.27783773,2.8596287,0.79451276,2.0651159,-1.1052687,-0.7994187,-1.6895771,-1.4537759,-1.355939,-1.569489,-1.355939,-1.2885054,-1.3677138,-1.3677138,2,5,6,2,3,3,4,6,5,7,2,8,4,2,6,4,6,3,2,7,-1.3466234,0.35717816,2.8073427,1.0027215,1.8046212
-16.37421,0.81460337,0.28167615,2,7,0,19.687573,0.32254516,1.2525435,0.40400185,0.84854168,-1.2339345,-0.93372802,-1.7868836,-1.4575811,-1.4801894,-1.6706544,-1.4801894,-1.4169806,-1.5000972,-1.5000972,4,6,6,3,2,4,7,5,1,8,1,5,6,2,4,5,5,5,2,4,-0.61812617,0.82725633,5.5338177,4.5778857,0.95593201
-16.200743,0.99804226,0.25189839,3,7,0,17.368383,0.47483218,1.85176,0.87927523,0.97248474,-1.2657616,-1.2950597,-2.0220307,-1.3018667,-1.4348746,-1.7601747,-1.4348746,-1.4054193,-1.5285626,-1.5285626,2,5,6,1,4,4,7,5,4,5,1,8,6,3,3,6,5,7,2,5,-0.45086094,0.69807059,2.0491059,1.4304206,0.61868534
-15.961475,0.99922294,0.41825143,3,7,0,16.330321,0.1553018,3.7287867,0.57908727,3.1496994,-1.0375057,-0.48074625,-1.5200512,-1.5930537,-1.341004,-1.4669553,-1.341004,-1.247082,-1.3308109,-1.3308109,1,7,6,5,3,5,3,6,4,6,4,8,6,4,4,5,4,6,4,5,-2.5573735,0.32307161,1.7449855,0.56375528,1.1812302
-16.374269,0.77156023,0.7377043,1,3,0,17.162948,0.29769433,5.0484098,1.502883,3.5455268,-1.0693236,-0.84003779,-1.7092758,-1.4181056,-1.3041086,-1.5592022,-1.3041086,-1.243245,-1.3240009,-1.3240009,5,5,8,2,3,6,5,7,3,6,2,7,5,3,2,5,4,6,5,6,-3.3328581,0.62372596,2.6705524,1.6656928,1.0048595
-15.931402,0.94700908,0.65786554,2,3,0,17.129961,0.31506589,4.2625533,1.3429851,2.9195682,-1.0901479,-0.88863496,-1.7407077,-1.4022924,-1.3177306,-1.5806401,-1.3177306,-1.2605075,-1.3434563,-1.3434563,5,8,4,2,6,1,6,7,6,4,1,7,7,4,4,4,5,5,5,3,-2.5625602,0.19032028,3.5751679,0.68042696,2.8947409
-16.803434,0.43633988,1.0328523,2,3,0,16.837433,0.49877033,1.4354762,0.71597293,0.71950327,-1.3108319,-1.3404199,-2.0523474,-1.3124673,-1.4799469,-1.7923441,-1.4799469,-1.4507634,-1.5788745,-1.5788745,4,6,6,3,5,7,6,5,1,5,5,8,4,7,3,6,6,6,6,8,-0.4018131,0.71352761,3.948109,2.8170848,1.1310242
-16.657083,0.94682778,0.32601202,2,7,0,19.472707,0.080397656,2.8089595,0.22583376,2.5831257,-1.0562412,-0.32043203,-1.4683414,-1.686221,-1.3862987,-1.4476198,-1.3862987,-1.2790354,-1.3763237,-1.3763237,3,5,6,1,6,4,7,7,3,7,1,8,3,3,2,1,3,6,6,6,-2.3021775,0.59744805,1.3262333,0.7923555,0.5338778
-16.810753,0.91895887,0.52040186,2,3,0,17.504937,0.081693384,3.4290257,0.28012871,3.1488969,-1.0356352,-0.30635781,-1.4532392,-1.6878547,-1.3660296,-1.4311378,-1.3660296,-1.2580378,-1.3555337,-1.3555337,6,7,7,2,5,5,4,5,1,4,2,8,5,6,2,7,7,5,6,7,-2.8376343,0.75315653,1.0852227,0.81734257,0.26788014
-16.596551,1,0.76365854,1,1,0,16.852509,0.083436949,2.3097962,0.19272235,2.1170739,-1.0796266,-0.34697638,-1.489273,-1.6795637,-1.4080915,-1.4686232,-1.4080915,-1.3023355,-1.3984407,-1.3984407,1,7,6,5,4,4,7,7,5,6,1,8,6,4,5,4,6,7,4,6,-1.8834586,0.30023988,1.2251321,0.36783352,0.85729857
-15.300944,1,1.445982,1,1,0,15.724315,0.31689676,2.1764697,0.68971621,1.4867535,-1.1536111,-0.90378993,-1.7553076,-1.4251171,-1.3903973,-1.6173946,-1.3903973,-1.330098,-1.4129614,-1.4129614,4,7,5,2,2,6,3,6,6,5,2,6,7,4,4,6,3,6,3,4,-0.75632432,0.2400986,2.7229236,0.65377014,2.0691534
-15.300944,1.7508658e-218,2.7264918,1,1,0,16.159214,0.31689676,2.1764697,0.68971621,1.4867535,-1.1536111,-0.90378993,-1.7553076,-1.4251171,-1.3903973,-1.6173946,-1.3903973,-1.330098,-1.4129614,-1.4129614,1,5,5,3,5,6,5,6,6,6,2,8,4,4,3,6,5,1,6,6,-0.75632432,0.32418997,1.8749713,0.60784689,1.2671244
