# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:35:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad5dd02190.json
# init = 2 (Default)
# random
#   seed = 885614435
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201035-2-7698ca.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201035-2-7ff731.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.011086,1,0.5,1,1,0,22.407142,0.5105116,0.67309228,0.34362142,0.32947086,-1.300324,-1.5631859,-1.4320809,-2.2775822,-1.5352511,-1.300324,-1.4217011,-0.97552706,-1.3262769,-1.2993988,8,4,3,5,8,8,2,8,8,6,7,4,5,4,6,8,3,8,8,8,-1.7968247,0.75594965,2.529114,1.9118828,0.61723114
-18.011086,0,14.38551,0,1,1,18.688295,0.5105116,0.67309228,0.34362142,0.32947086,-1.300324,-1.5631859,-1.4320809,-2.2775822,-1.5352511,-1.300324,-1.4217011,-0.97552706,-1.3262769,-1.2993988,8,1,5,6,6,8,2,8,8,6,6,1,5,8,5,8,2,8,8,8,-1.7968247,0.69161285,4.0626653,2.8097915,1.2528738
-18.011086,0,2.4311673,0,1,1,18.5363,0.5105116,0.67309228,0.34362142,0.32947086,-1.300324,-1.5631859,-1.4320809,-2.2775822,-1.5352511,-1.300324,-1.4217011,-0.97552706,-1.3262769,-1.2993988,7,5,7,7,3,8,2,8,3,8,7,3,4,6,6,7,8,8,5,5,-1.7968247,0.71765404,1.2179629,0.87407599,0.3438869
-18.354586,0.96013399,0.23979141,2,3,0,19.615489,0.58949383,0.63424601,0.37388411,0.2603619,-1.3224637,-1.4984823,-1.4838677,-2.3554185,-1.5445837,-1.3224637,-1.3980493,-0.88616186,-1.3180274,-1.3153789,7,4,8,8,5,7,3,7,4,7,5,4,6,4,8,8,3,8,7,5,-2.0355151,0.46666803,2.7968431,1.3051972,1.4916458
-19.833694,0.94424467,0.28941627,3,7,0,22.285418,0.77653705,0.57157693,0.44385066,0.12772627,-1.4046359,-1.3927639,-1.6101861,-2.5547165,-1.6063595,-1.4046359,-1.3614914,-0.68897372,-1.3605752,-1.3749529,4,3,8,8,8,6,2,6,6,6,6,2,5,4,6,8,4,8,7,5,-2.7636257,0.58294866,1.2303687,0.71724176,0.5131269
-17.294796,0.8698857,0.38139235,2,7,0,22.860467,0.86575137,1.8733589,1.621863,0.25149585,-1.4793072,-1.1280381,-1.619652,-3.3091922,-1.4941789,-1.4793072,-1.1131982,-0.38445006,-1.3433566,-1.1970875,7,5,4,8,6,7,4,7,4,6,7,2,8,8,8,8,1,8,8,7,-1.2225422,0.42816401,2.321991,0.99419299,1.327798
-17.456608,0.99817731,0.43254189,1,1,0,17.564861,0.87231126,1.8493853,1.6132397,0.23614568,-1.4945956,-1.127165,-1.6270459,-3.3207249,-1.5035738,-1.4945956,-1.1140959,-0.37635784,-1.3603488,-1.2022758,8,3,6,7,7,8,2,7,4,6,7,4,4,5,6,8,1,7,7,7,-1.2559138,0.50103347,2.0433045,1.023764,1.0195406
-14.564616,0.9330101,0.76085443,2,3,0,17.217267,0.61526173,2.8677817,1.7644363,1.1033454,-1.108608,-1.3110297,-1.3460996,-2.8180137,-1.2770727,-1.108608,-1.1633551,-0.7457213,-1.0538622,-1.0566507,8,2,5,7,5,8,4,8,8,7,6,4,8,6,8,8,2,3,6,5,-1.1882344,0.70640688,2.0544535,1.4512801,0.60317341
-14.564616,0.0041682119,1.1273058,2,3,0,17.943307,0.61526173,2.8677817,1.7644363,1.1033454,-1.108608,-1.3110297,-1.3460996,-2.8180137,-1.2770727,-1.108608,-1.1633551,-0.7457213,-1.0538622,-1.0566507,7,4,7,7,7,8,2,7,8,8,8,2,7,8,7,8,3,8,7,7,-1.1882344,0.54666726,1.9740331,1.0791393,0.89489384
-14.461279,0.9999869,0.090366816,3,7,0,14.578394,0.60805743,2.5582154,1.5555419,1.0026735,-1.1149017,-1.3276319,-1.3457545,-2.7688882,-1.2892014,-1.1149017,-1.1784115,-0.76194953,-1.0673001,-1.0688626,7,2,4,7,4,8,3,8,6,7,8,2,8,6,4,7,3,8,7,8,-0.92865986,0.81139924,2.3447479,1.9025267,0.44222122
