# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:36:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad28a2da9e.json
# init = 2 (Default)
# random
#   seed = 687845408
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201036-1-25d0c2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201036-1-15bbc4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-23.911247,0.0084547928,1,1,1,0,24.121279,0.13460028,5.321461,0.71627014,4.6051909,-1.5181353,-2.2444069,-1.0055818,-1.5578163,-3.4377125,-1.5610097,-1.631529,-2.4513741,-1.6218788,-2.2324329,2,4,2,3,4,5,2,5,7,2,3,5,2,4,4,7,6,4,5,2,-4.1711081,0.36715287,3.8042627,1.396746,2.4075168
-23.911247,0,2.3712375,0,1,1,23.990986,0.13460028,5.321461,0.71627014,4.6051909,-1.5181353,-2.2444069,-1.0055818,-1.5578163,-3.4377125,-1.5610097,-1.631529,-2.4513741,-1.6218788,-2.2324329,3,6,3,4,5,7,5,2,8,3,2,3,2,3,5,5,2,4,6,1,-4.1711081,0.64349118,4.9227493,3.1677457,1.7550035
-24.500678,0.97858492,0.23487004,1,1,0,24.530416,0.12843591,5.8218108,0.74772955,5.0740813,-1.5235439,-2.267414,-0.99866026,-1.5634642,-3.4840267,-1.5684796,-1.6372766,-2.4734129,-1.6310041,-2.2565506,3,4,2,3,5,4,6,2,6,4,3,1,2,5,3,6,1,2,6,1,-4.6686658,0.42619499,2.6775158,1.1411438,1.536372
-17.993807,1,0.23165153,3,7,0,24.418433,0.33886071,1.6767301,0.56817796,1.1085522,-1.4536034,-1.7818456,-1.1975668,-1.4730984,-2.4777639,-1.4258165,-1.5160464,-1.9795864,-1.4208105,-1.7795587,4,4,5,4,4,6,3,6,6,7,4,4,3,4,3,6,5,5,5,4,-0.50899884,0.33740509,1.6435276,0.5545346,1.088993
-17.871745,0.9774415,0.31254222,3,7,0,19.174929,0.90619094,1.7852136,1.6177444,0.1674692,-1.6640878,-1.3361987,-1.6652215,-1.6308789,-1.3984891,-1.5528152,-1.3377471,-1.3589214,-1.1157418,-1.4217998,4,7,4,6,4,3,5,3,6,4,3,5,4,3,2,7,3,4,8,4,-1.5043831,0.26447,3.0474074,0.80594784,2.2414596
-17.053212,0.98710654,0.4562404,3,7,0,18.432936,0.43898138,1.5995538,0.70217435,0.89737949,-1.4379249,-1.6495024,-1.2592709,-1.4455558,-2.2302966,-1.3803313,-1.4648154,-1.846329,-1.3431274,-1.6595921,4,5,1,2,4,5,4,4,8,2,6,5,1,3,6,7,5,1,7,5,-0.40489126,0.17992111,4.1062131,0.73879441,3.3674187
-16.077963,1,0.74443015,2,3,0,16.775351,0.54996277,1.9860696,1.0922643,0.89380526,-1.4102546,-1.5085999,-1.3145661,-1.4035794,-2.0154404,-1.3212385,-1.3860806,-1.7179225,-1.2415692,-1.5319231,4,7,2,7,3,4,5,3,6,6,3,3,2,3,3,7,1,4,7,3,-0.51661685,0.53495612,1.0784542,0.57692567,0.50152853
-16.077963,0.32198732,1.328839,1,1,0,16.908131,0.54996277,1.9860696,1.0922643,0.89380526,-1.4102546,-1.5085999,-1.3145661,-1.4035794,-2.0154404,-1.3212385,-1.3860806,-1.7179225,-1.2415692,-1.5319231,5,6,2,4,5,8,2,3,7,5,5,7,2,1,1,5,2,2,8,4,-0.51661685,0.72254825,3.0175871,2.1803523,0.83723483
-16.864205,0.92755064,0.2901298,3,7,0,17.599934,0.63855213,4.9321453,3.1494319,1.7827134,-1.3500306,-1.3551948,-1.348318,-1.328557,-1.8773079,-1.2333904,-1.2649259,-1.6160334,-1.108714,-1.385852,3,6,6,4,7,7,2,3,8,3,4,6,5,4,6,7,3,4,5,4,-3.1254658,0.34629329,0.70512077,0.24417859,0.46094218
-16.452193,1,0.4266656,1,1,0,16.843352,0.63607211,4.2638219,2.7120982,1.5517237,-1.3590852,-1.3659692,-1.3501372,-1.3384196,-1.8768443,-1.2437917,-1.2762641,-1.6183877,-1.1194536,-1.3971676,3,6,4,4,3,8,2,1,8,2,6,7,2,2,5,6,3,5,6,5,-2.4935954,0.96715937,1.6067272,1.5539613,0.052765925
