# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:36:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad48fd31cb.json
# init = 2 (Default)
# random
#   seed = 1677386409
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201036-1-327594.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201036-1-37fbff.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-20.115408,0.66699597,1,1,3,0,20.593885,0.46818756,11.602337,5.4320699,6.1702673,-0.9636154,-1.5319742,-1.1584314,-2.6718239,-1.2023152,-0.9636154,-1.2181927,-0.99647539,-1.0321575,-0.98052774,5,5,6,8,7,6,2,7,6,7,6,5,7,6,6,8,2,5,7,8,-8.4571347,0.4424778,1.6103633,0.71255002,0.89781329
-20.115408,0,7.8519318,0,1,1,20.227097,0.46818756,11.602337,5.4320699,6.1702673,-0.9636154,-1.5319742,-1.1584314,-2.6718239,-1.2023152,-0.9636154,-1.2181927,-0.99647539,-1.0321575,-0.98052774,4,8,5,7,4,7,6,7,5,8,8,1,6,8,7,7,2,8,6,8,-8.4571347,0.27290749,0.73263027,0.19994028,0.53268998
-20.115408,1.9245829e-23,1.1090164,1,1,0,23.084672,0.46818756,11.602337,5.4320699,6.1702673,-0.9636154,-1.5319742,-1.1584314,-2.6718239,-1.2023152,-0.9636154,-1.2181927,-0.99647539,-1.0321575,-0.98052774,6,4,6,7,2,7,6,8,8,6,6,2,7,7,7,8,5,7,8,7,-8.4571347,0.60574055,0.6865231,0.41585488,0.27066822
-14.383857,0.99911734,0.098732653,4,15,0,20.70012,0.52271786,2.5400539,1.3277315,1.2123223,-1.0791951,-1.4511732,-1.2729349,-2.5787574,-1.2920713,-1.0791951,-1.2377026,-0.90386781,-1.0935933,-1.0703341,7,2,6,7,7,7,3,8,8,8,7,1,8,8,5,8,2,7,8,5,-0.8688565,0.58674144,1.0383792,0.60926011,0.4291191
-20.350099,0.95752393,0.12493667,4,15,0,20.88324,0.21498512,8.0939985,1.7400892,6.3539092,-1.0379311,-2.1280941,-1.00524,-2.103319,-1.4375648,-1.0379311,-1.515326,-1.4948687,-1.3819111,-1.3067316,6,2,5,6,7,7,3,7,7,6,6,2,7,7,3,6,4,7,5,8,-6.2130658,0.71708986,3.7153861,2.6642657,1.0511204
-20.16994,0.99742736,0.16514427,3,7,0,20.914536,0.23819459,8.3905679,1.9985878,6.39198,-1.0244019,-2.0673965,-1.0133293,-2.1467724,-1.407149,-1.0244019,-1.4850675,-1.4486123,-1.3414213,-1.2514041,8,2,7,5,5,6,2,7,3,7,7,5,7,4,6,8,3,6,7,8,-6.38036,0.38876488,2.4208736,0.94115066,1.479723
-20.173827,0.96479177,0.27058944,2,3,0,21.846603,0.22302242,8.0363719,1.7922911,6.2440808,-1.0339574,-2.1060059,-1.0087683,-2.1173985,-1.4273614,-1.0339574,-1.504849,-1.4782555,-1.3680114,-1.2867574,8,5,7,3,7,7,2,5,8,8,8,4,7,5,6,6,1,7,7,8,-6.1396556,0.1335507,1.9927993,0.26613973,1.7266596
-17.923844,1,0.42567138,1,1,0,19.976579,0.28125849,6.0247718,1.6945182,4.3302536,-1.0218787,-1.9429724,-1.0502344,-2.2094123,-1.3694172,-1.0218787,-1.4345338,-1.3532305,-1.2800995,-1.1766478,8,2,5,8,6,7,1,7,8,5,7,4,5,6,7,7,4,6,6,7,-4.2606838,0.80609256,2.5632599,2.0662248,0.49703516
-17.475808,0.58106714,0.77412535,2,3,0,19.125804,0.86400984,2.7076406,2.3394281,0.36821248,-1.5012178,-1.0825455,-1.6165437,-3.5055598,-1.46446,-1.5012178,-1.0660577,-0.34790798,-1.3340909,-1.1559533,8,2,8,7,4,8,4,7,7,6,8,1,6,7,7,7,6,8,8,7,-1.7549871,0.54120425,3.7158996,2.0110607,1.7048389
-15.052773,0.99634599,0.38298415,3,7,0,17.62689,0.696189,2.9884988,2.08056,0.90793882,-1.1772681,-1.2086952,-1.4248649,-3.0399131,-1.2995854,-1.1772681,-1.1134485,-0.60983606,-1.0686936,-1.0695975,8,4,6,6,7,8,2,8,8,7,7,4,7,6,5,8,2,6,6,6,-1.4048903,0.88952121,2.7754579,2.4688287,0.30662924
