# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:36:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad565aad18.json
# init = 2 (Default)
# random
#   seed = 564090747
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201036-1-444f8a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201036-1-93e451.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.891649,1,0.5,2,7,0,23.245014,0.87431471,6.0170015,5.2607529,0.75624861,-1.5663642,-1.2124392,-1.6350843,-1.5263891,-1.3991648,-1.4461711,-1.2107612,-1.3294041,-0.99617053,-1.2927418,6,6,3,3,5,7,3,5,3,4,4,8,1,5,2,8,3,2,8,4,-4.8632584,0.47535253,2.2955054,1.0911743,1.2043311
-18.891649,0,14.38551,0,1,1,19.115353,0.87431471,6.0170015,5.2607529,0.75624861,-1.5663642,-1.2124392,-1.6350843,-1.5263891,-1.3991648,-1.4461711,-1.2107612,-1.3294041,-0.99617053,-1.2927418,3,6,2,2,3,7,2,4,5,5,5,7,4,2,4,8,3,2,8,2,-4.8632584,0.78219213,1.5179838,1.1873549,0.33062881
-18.891649,0,2.4311673,0,1,1,19.374894,0.87431471,6.0170015,5.2607529,0.75624861,-1.5663642,-1.2124392,-1.6350843,-1.5263891,-1.3991648,-1.4461711,-1.2107612,-1.3294041,-0.99617053,-1.2927418,5,4,2,3,8,8,1,7,7,2,4,7,2,2,4,8,2,1,7,5,-4.8632584,0.37976894,1.3109485,0.49785753,0.81309101
-16.223698,0.9978977,0.23979141,3,15,0,19.56848,0.71429713,1.5892273,1.1351805,0.45404682,-1.5095764,-1.4082161,-1.4719161,-1.4851892,-1.6898915,-1.3873152,-1.3688369,-1.5397038,-1.1813036,-1.4634916,3,3,5,1,5,8,2,4,8,4,4,5,2,5,2,7,5,3,3,5,-0.59224631,0.834419,1.459108,1.2175075,0.24160056
-17.130265,0.95004736,0.32239012,2,7,0,17.579519,0.82531376,1.4211534,1.1728974,0.24825594,-1.6052858,-1.3833735,-1.582833,-1.5745274,-1.5222675,-1.4798618,-1.3745078,-1.444851,-1.1639939,-1.457732,2,1,1,3,3,5,2,3,5,1,2,6,3,6,4,7,3,2,4,6,-0.95574439,0.089684634,1.4482775,0.12988824,1.3183893
-17.241954,0.97760721,0.43429263,3,7,0,18.263318,0.85724456,3.8032266,3.2602953,0.54293127,-1.5604397,-1.2495421,-1.6090984,-1.5222434,-1.4373766,-1.4355882,-1.2451337,-1.3609324,-1.0331395,-1.3269859,3,4,4,2,4,6,3,4,6,5,5,6,5,2,3,7,3,1,6,5,-2.6966694,0.38948596,1.8969278,0.73882677,1.1581011
-17.300684,1,0.68739009,2,3,0,17.539827,0.87732026,1.8172467,1.5943074,0.22293935,-1.6305016,-1.3348542,-1.6327313,-1.5968218,-1.4360291,-1.5114984,-1.3337036,-1.3816361,-1.1159856,-1.4164031,4,4,2,3,5,4,3,3,4,4,3,5,7,5,3,4,4,4,7,2,-1.2787804,0.34763445,1.3857122,0.48172132,0.90399093
-17.300684,0.13781169,1.2253988,1,3,0,17.99964,0.87732026,1.8172467,1.5943074,0.22293935,-1.6305016,-1.3348542,-1.6327313,-1.5968218,-1.4360291,-1.5114984,-1.3337036,-1.3816361,-1.1159856,-1.4164031,5,4,2,3,1,7,5,5,6,3,5,5,5,2,3,7,1,3,8,2,-1.2787804,0.50780343,3.2055405,1.6277844,1.577756
-17.78432,0.9990403,0.14985955,3,7,0,17.911583,0.90615797,1.9108516,1.7315334,0.1793182,-1.6592349,-1.3259766,-1.6654546,-1.6256227,-1.3937444,-1.5483589,-1.3275817,-1.3534124,-1.1058038,-1.4115714,3,4,8,3,6,3,3,3,6,5,7,6,6,3,2,7,5,3,6,3,-1.5504233,0.68001111,3.6042401,2.4509234,1.1533168
-17.109584,0.97395466,0.27531964,3,11,0,18.964837,0.40251802,2.2840255,0.91936144,1.3646641,-1.3912118,-1.6809721,-1.1962639,-1.4045226,-2.3828765,-1.3482333,-1.4458713,-1.917104,-1.3434651,-1.679671,3,7,4,5,3,8,5,2,7,8,4,4,3,2,5,5,4,5,7,2,-0.7202855,0.74122884,1.0430249,0.77312012,0.26990476
