# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:36:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad72e3099b.json
# init = 2 (Default)
# random
#   seed = 1899329643
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201036-1-538b5d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201036-1-2a9f62.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.897806,0.97294815,0.25,3,9,0,20.984365,0.95739237,3.9368622,3.7691219,0.16774039,-1.7012779,-1.247568,-1.7443048,-1.668563,-1.2823494,-1.6254539,-1.2510425,-1.2628507,-1.0239073,-1.3406299,3,7,4,5,3,3,2,3,5,7,5,7,2,2,2,8,1,3,6,5,-3.9209792,0.20036582,1.9375853,0.38822587,1.5493595
-19.897806,0,13.695075,0,1,1,22.397314,0.95739237,3.9368622,3.7691219,0.16774039,-1.7012779,-1.247568,-1.7443048,-1.668563,-1.2823494,-1.6254539,-1.2510425,-1.2628507,-1.0239073,-1.3406299,7,5,1,6,1,8,6,3,7,6,4,8,4,2,3,8,1,2,5,4,-3.9209792,0.70368469,1.3954242,0.98193868,0.41348557
-19.897806,2.4059292e-62,2.2809904,1,3,1,20.413988,0.95739237,3.9368622,3.7691219,0.16774039,-1.7012779,-1.247568,-1.7443048,-1.668563,-1.2823494,-1.6254539,-1.2510425,-1.2628507,-1.0239073,-1.3406299,3,5,3,4,4,5,5,4,4,3,7,6,6,3,4,8,2,4,7,6,-3.9209792,0.15585887,2.9647508,0.4620827,2.5026681
-20.454624,0.99394896,0.22311437,4,15,0,21.465582,0.96313884,1.3195127,1.270874,0.048638771,-1.7522688,-1.391376,-1.7263458,-1.7229406,-1.359502,-1.6583165,-1.3936273,-1.346679,-1.1640421,-1.4832649,8,3,4,5,5,2,6,8,2,5,8,4,4,2,1,8,5,3,8,7,-2.395369,0.1589924,0.26253377,0.041740874,0.2207929
-17.540342,0.99667733,0.29506311,4,15,0,20.820462,0.89284574,3.18165,2.8407226,0.34092735,-1.6140143,-1.2627058,-1.6535319,-1.5772462,-1.3859519,-1.5003818,-1.2634339,-1.3331956,-1.0447953,-1.3463374,3,3,4,7,6,7,3,5,8,3,3,3,4,3,3,6,4,4,7,3,-2.3693203,0.23023318,1.1206428,0.25800915,0.86263363
-16.755928,0.97183922,0.45500862,3,7,0,19.851511,0.82361019,3.6312112,2.9907026,0.64050865,-1.5233623,-1.2618699,-1.5667138,-1.4860064,-1.4958251,-1.3922982,-1.2503926,-1.3975877,-1.0450875,-1.3330872,4,5,3,1,3,7,8,7,7,6,5,6,3,2,2,6,4,4,6,5,-2.3641464,0.45152096,2.9828131,1.3468026,1.6360105
-16.531047,0.95993098,0.70846183,2,3,0,18.082916,0.47169433,2.6674265,1.2582099,1.4092165,-1.3639535,-1.5792233,-1.2295168,-1.3680435,-2.2320259,-1.2994717,-1.3914225,-1.8295518,-1.2738778,-1.5850696,4,4,2,7,6,4,6,5,4,4,5,5,4,6,4,5,4,5,7,5,-0.97050032,0.51133144,2.6823641,1.3715771,1.310787
-16.531047,1.96298e-09,1.1154307,1,3,1,20.780586,0.47169433,2.6674265,1.2582099,1.4092165,-1.3639535,-1.5792233,-1.2295168,-1.3680435,-2.2320259,-1.2994717,-1.3914225,-1.8295518,-1.2738778,-1.5850696,4,1,2,5,6,4,2,3,6,4,5,5,3,6,5,3,3,3,7,2,-0.97050032,0.34175438,1.2671173,0.43304289,0.83407443
-16.243437,0.99894559,0.08838169,4,31,0,17.260199,0.63997742,3.9107858,2.5028146,1.4079712,-1.3679028,-1.3679116,-1.3570952,-1.3470004,-1.8641234,-1.252094,-1.2816944,-1.6128054,-1.1229509,-1.4006201,8,5,2,3,3,6,4,2,8,2,4,6,4,2,3,6,3,2,8,4,-2.165066,0.60137046,1.2962281,0.7795133,0.51671482
-15.74701,0.9916174,0.16191094,4,15,0,17.138501,0.63362232,2.5719519,1.6296461,0.9423058,-1.4049864,-1.4066207,-1.3691656,-1.3865614,-1.8572719,-1.2931659,-1.324237,-1.6193497,-1.1623368,-1.4419748,5,5,1,1,3,7,2,2,5,5,7,6,4,2,4,4,4,4,5,3,-0.96561232,0.64443272,2.1142449,1.3624886,0.75175629
