# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:36:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad7fd9c617.json
# init = 2 (Default)
# random
#   seed = 1426640388
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201036-1-8eeff2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201036-1-701d12.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-17.233726,0.99025505,0.5,3,7,0,21.690861,0.86971136,1.7543624,1.5257889,0.2285735,-1.6254382,-1.3410452,-1.6245932,-1.592026,-1.4486553,-1.5048361,-1.3389542,-1.3908066,-1.1222806,-1.4215214,8,2,2,2,3,6,2,2,6,1,5,8,4,5,3,8,3,4,3,3,-1.2080781,0.67514714,3.2491433,2.1936498,1.0554935
-17.233726,0,14.132871,0,1,1,17.898642,0.86971136,1.7543624,1.5257889,0.2285735,-1.6254382,-1.3410452,-1.6245932,-1.592026,-1.4486553,-1.5048361,-1.3389542,-1.3908066,-1.1222806,-1.4215214,2,5,1,7,6,2,5,2,5,4,5,5,5,2,2,8,4,2,8,2,-1.2080781,0.20079654,1.3424356,0.26955643,1.0728792
-17.233726,1.1543265e-75,2.3759621,1,3,1,17.503406,0.86971136,1.7543624,1.5257889,0.2285735,-1.6254382,-1.3410452,-1.6245932,-1.592026,-1.4486553,-1.5048361,-1.3389542,-1.3908066,-1.1222806,-1.4215214,6,5,3,3,5,5,5,2,6,3,3,3,4,7,2,6,3,1,6,6,-1.2080781,0.27093714,1.6852574,0.45659882,1.2286586
-17.82503,0.9995372,0.23364482,3,7,0,18.050217,0.91284253,2.2210921,2.0275073,0.19358477,-1.6579628,-1.3049531,-1.6745751,-1.6237392,-1.3749555,-1.5504562,-1.3071279,-1.3364495,-1.0848373,-1.3914926,3,7,2,5,4,8,6,5,4,3,4,5,5,6,3,7,6,3,8,4,-1.7852494,0.19607253,2.5703292,0.50397096,2.0663582
-17.478799,0.92022947,0.31500986,2,7,0,20.043026,0.7651634,1.1095994,0.84902488,0.26057456,-1.5954369,-1.4461678,-1.5401076,-1.5699095,-1.6175677,-1.4719684,-1.4255243,-1.5146398,-1.2234069,-1.5127848,4,3,2,6,6,5,4,4,7,3,5,4,5,2,2,4,3,1,8,6,-0.94875313,0.25262208,2.1163159,0.53462814,1.5816878
-17.518957,0.94444562,0.38786331,2,3,0,19.123087,0.87187378,1.53352,1.3370359,0.19648412,-1.6401111,-1.3624914,-1.628499,-1.6076611,-1.4543583,-1.5199533,-1.3606912,-1.3998814,-1.1430158,-1.4434952,2,5,3,5,6,6,4,4,3,5,4,7,2,1,4,7,2,4,6,5,-1.1945146,0.42283924,3.5353808,1.4948978,2.0404831
-16.559305,1,0.5529401,2,3,0,17.807064,0.5060203,3.4146479,1.7278812,1.6867667,-1.3386137,-1.5229216,-1.2390519,-1.3376956,-2.1749437,-1.2633849,-1.3517275,-1.7915856,-1.2291537,-1.5310218,3,4,4,4,4,6,3,7,5,2,3,4,2,4,3,6,5,4,7,5,-1.6208398,0.19873868,1.3635207,0.2709843,1.0925364
-16.782674,0.5852047,0.98216487,1,1,0,17.124736,0.67372358,1.2520206,0.84351582,0.40850481,-1.5252343,-1.4680574,-1.4545964,-1.5062323,-1.7540319,-1.4109005,-1.417871,-1.5884398,-1.2356083,-1.5190034,2,2,3,3,5,6,5,5,5,4,6,3,1,5,2,3,1,3,6,4,-0.61251179,0.055852104,2.9842125,0.16667455,2.817538
-17.950012,0.91123797,0.48897959,2,3,0,18.269856,0.59086065,0.93683949,0.55354159,0.3832979,-1.5523405,-1.5688188,-1.4262515,-1.5429814,-1.8770379,-1.4550238,-1.4937032,-1.6756621,-1.322947,-1.6111525,5,6,6,3,2,8,3,4,4,5,4,7,1,6,6,5,2,2,7,1,-0.93897539,0.89542247,3.4265499,3.0682098,0.35834011
-19.187148,0.83069954,0.6847156,2,3,0,20.339994,0.83495301,0.85218893,0.71153771,0.14065122,-1.6847982,-1.4821951,-1.616143,-1.6578496,-1.5475063,-1.5617494,-1.4760153,-1.4880613,-1.2593596,-1.560089,6,5,6,3,6,8,5,1,5,6,4,6,3,4,1,8,6,2,7,6,-1.7115292,0.72614548,1.668749,1.2117546,0.45699446
-16.619722,0.38510645,0.75171899,2,3,0,19.926906,0.82547725,3.2881222,2.7142701,0.57385213,-1.5312653,-1.2707623,-1.5693829,-1.4944285,-1.4942268,-1.4009795,-1.2599317,-1.3989229,-1.0538882,-1.3425593,4,3,2,5,4,6,4,4,8,3,6,5,2,3,5,6,3,3,8,6,-2.0561973,0.39838284,1.1948858,0.47602199,0.71886379
-16.065042,0.99463175,0.20331941,3,7,0,17.046053,0.56347877,1.8977887,1.0693636,0.82842503,-1.4197952,-1.4994842,-1.3292213,-1.4114485,-1.982433,-1.32714,-1.3864963,-1.70094,-1.2376281,-1.5258323,7,7,4,3,4,6,3,3,7,6,3,6,6,6,3,6,4,1,4,8,-0.48276877,0.63841416,2.329196,1.4869917,0.84220429
-16.931895,0.93369325,0.37971997,2,3,0,17.080395,0.49959741,1.3851358,0.69201028,0.69312557,-1.4617098,-1.5940587,-1.3157472,-1.4617582,-2.0787982,-1.3861554,-1.456768,-1.7685142,-1.3162765,-1.6155967,4,7,5,2,2,8,2,2,8,6,5,5,1,4,6,7,7,5,7,2,-0.41601563,0.71179862,1.0752618,0.76536984,0.30989192
-16.351749,0.8505789,0.58584593,2,3,0,17.759386,0.79773453,1.8783412,1.4984177,0.37992358,-1.5500636,-1.3470524,-1.5462653,-1.5183194,-1.5521985,-1.4215539,-1.3312627,-1.4511596,-1.1279175,-1.4157394,3,1,2,3,4,6,2,1,3,5,6,6,3,2,6,5,1,3,6,5,-0.89645175,0.59651359,2.6096671,1.5567019,1.0529652
-15.816532,0.98647954,0.69669129,2,3,0,16.328203,0.65016865,2.9870854,1.9421093,1.0449761,-1.39743,-1.3794219,-1.3779344,-1.3762687,-1.8297372,-1.2808737,-1.3029199,-1.5993165,-1.138528,-1.4165709,7,6,4,3,3,8,6,2,7,6,3,5,1,2,4,5,3,3,7,6,-1.3310018,0.7504601,1.9878119,1.4917735,0.49603837
-15.816532,4.3233069e-09,1.2625973,1,1,0,16.906441,0.65016865,2.9870854,1.9421093,1.0449761,-1.39743,-1.3794219,-1.3779344,-1.3762687,-1.8297372,-1.2808737,-1.3029199,-1.5993165,-1.138528,-1.4165709,6,6,1,8,3,6,3,5,5,4,2,4,4,5,3,6,2,3,8,2,-1.3310018,0.49342517,1.7423963,0.85974222,0.88265413
-15.840851,0.99987191,0.10925923,4,15,0,15.896702,0.6199797,2.9183862,1.8093402,1.109046,-1.3851964,-1.4077468,-1.3496743,-1.3680453,-1.8934598,-1.2759699,-1.3154619,-1.6365455,-1.1588427,-1.4390864,5,6,6,2,2,7,4,3,8,4,4,6,6,3,4,6,4,1,8,3,-1.2362538,0.80620915,2.56565,2.0684505,0.4971995
-15.784517,1,0.20801034,3,7,0,15.879369,0.61259482,2.3072743,1.4134243,0.89385001,-1.4088301,-1.4350914,-1.3561922,-1.3935251,-1.8948755,-1.3026946,-1.3439124,-1.6442794,-1.185908,-1.4676533,1,4,5,3,3,5,2,3,6,6,2,7,4,3,3,6,1,3,6,5,-0.74928652,0.46310151,3.2300093,1.4958222,1.7341871
-16.105193,0.9752936,0.39296669,2,3,0,16.112377,0.54365645,2.8532782,1.5512031,1.3020751,-1.3631255,-1.4874997,-1.2821136,-1.3567368,-2.0649658,-1.2756344,-1.3488889,-1.7344675,-1.2127559,-1.5045717,3,4,1,1,5,4,3,4,7,3,5,6,4,4,2,4,1,1,7,5,-1.1289542,0.3797869,2.9259247,1.1112279,1.8146968
-17.692142,0.70252958,0.68311032,2,7,0,17.780119,0.35523399,2.5563955,0.90811859,1.648277,-1.3912136,-1.7512298,-1.1564705,-1.4110041,-2.5312743,-1.3647841,-1.4667823,-1.9942851,-1.3800622,-1.7428185,4,5,3,3,6,4,7,4,6,6,3,4,5,4,2,7,4,5,5,5,-0.96696902,0.59648181,2.2692909,1.3535907,0.91570017
-17.599056,0.92762035,0.52223522,2,5,0,20.008302,0.88551919,3.6224227,3.2077248,0.4146979,-1.59875,-1.2503661,-1.6453683,-1.5611447,-1.3927279,-1.4826135,-1.2502807,-1.3344106,-1.0330584,-1.332783,4,7,2,4,4,5,3,3,7,5,4,6,2,3,2,6,5,2,8,3,-2.7157663,0.65173061,1.3065925,0.85154634,0.45504618
-16.264666,0.87531038,0.78063455,1,3,0,17.530374,0.77461535,3.4078583,2.6397794,0.76807897,-1.4772197,-1.2864651,-1.5084598,-1.4427627,-1.5847486,-1.3436953,-1.2612532,-1.4524937,-1.0666227,-1.3481994,5,6,3,6,4,5,2,3,7,2,5,4,4,2,3,8,2,3,8,5,-1.9734948,0.40878376,3.4952124,1.4287861,2.0664263
-15.77987,0.75442008,0.99469559,2,3,0,16.486281,0.69392395,2.8151986,1.9535337,0.86166489,-1.4291495,-1.3514572,-1.4246435,-1.4031368,-1.737786,-1.3045951,-1.2967305,-1.5476013,-1.1203815,-1.3979557,4,5,1,5,5,3,4,4,7,4,5,5,2,4,2,6,4,3,7,5,-1.2521509,0.30651787,2.3049747,0.70651594,1.5984587
-15.77987,0.014979694,0.88855324,1,1,0,16.874421,0.69392395,2.8151986,1.9535337,0.86166489,-1.4291495,-1.3514572,-1.4246435,-1.4031368,-1.737786,-1.3045951,-1.2967305,-1.5476013,-1.1203815,-1.3979557,3,6,3,2,6,7,2,2,6,4,4,5,1,2,3,7,4,3,8,8,-1.2521509,0.7086752,1.9314988,1.3688053,0.5626935
-16.126274,0.99161015,0.09444569,3,11,0,17.567077,0.72257778,1.6920926,1.2226685,0.46942409,-1.5061387,-1.3946698,-1.4759929,-1.4805696,-1.6762781,-1.3823134,-1.3573916,-1.5290457,-1.1688096,-1.4508441,5,5,2,5,3,5,3,2,7,3,3,6,1,2,3,5,4,4,7,6,-0.62304187,0.25115832,3.2794775,0.82366807,2.4558094
-15.949109,1,0.16991496,3,7,0,16.215824,0.73519054,3.0716325,2.2582352,0.81339735,-1.4511087,-1.3168108,-1.4658925,-1.4204491,-1.65875,-1.3204891,-1.2782521,-1.498933,-1.0923943,-1.3710687,7,7,2,6,5,8,2,4,7,6,6,5,3,4,4,6,5,6,5,8,-1.5607998,0.6251246,1.8353813,1.147342,0.68803928
-16.414805,0.94264148,0.31000592,3,7,0,17.346514,0.53310448,1.6285931,0.86821029,0.76038283,-1.4375125,-1.5442674,-1.3205599,-1.433327,-2.0300399,-1.3532086,-1.4193552,-1.7339148,-1.2747878,-1.5680212,4,3,5,5,3,6,6,4,3,5,3,4,3,5,6,6,4,4,3,4,-0.39683954,0.29894217,4.2830241,1.2803765,3.0026476
