# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:36:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad67440e1.json
# init = 2 (Default)
# random
#   seed = 1408414496
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201036-2-0eb973.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201036-2-79cf2a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-24.509474,0.059309315,1,2,3,0,24.897552,0.87739202,0.35548804,0.31190237,0.043585671,-1.5104601,-1.4719999,-1.7270915,-2.511835,-1.7486304,-1.5104601,-1.4626145,-0.69858047,-1.4892554,-1.5174893,7,1,7,6,5,8,4,5,7,6,8,2,5,8,5,7,1,6,7,7,-5.5972293,0.29490607,3.9442459,1.1631821,2.7810638
-24.509474,0,2.6009448,0,1,1,26.3171,0.87739202,0.35548804,0.31190237,0.043585671,-1.5104601,-1.4719999,-1.7270915,-2.511835,-1.7486304,-1.5104601,-1.4626145,-0.69858047,-1.4892554,-1.5174893,8,3,8,3,8,5,2,8,3,8,8,3,7,7,7,6,8,5,8,6,-5.5972293,0.33945652,1.7872424,0.60669108,1.1805513
-23.134755,1,0.26477955,1,1,0,24.672174,0.85882561,0.40720453,0.34971768,0.05748685,-1.486799,-1.442368,-1.7003553,-2.536485,-1.712993,-1.486799,-1.4302049,-0.68033611,-1.4589581,-1.4792301,8,5,5,5,4,5,3,8,8,6,8,2,6,7,4,5,7,8,8,7,-4.7118385,0.51473414,0.92483033,0.47604175,0.44878858
-22.460909,1,0.28084714,1,1,0,23.520045,0.84126543,0.43130337,0.36284062,0.068462755,-1.472024,-1.4334334,-1.6833573,-2.5365073,-1.6934714,-1.472024,-1.4182519,-0.68307249,-1.4409137,-1.4602131,7,3,5,4,8,7,2,8,8,6,8,1,5,5,8,8,1,5,8,5,-4.313327,0.67858303,2.6927661,1.8272654,0.86550072
-21.301508,1,0.38422339,1,1,0,22.862175,0.83142635,0.49836175,0.41435109,0.084010658,-1.4506718,-1.4013026,-1.6606928,-2.5753631,-1.6590948,-1.4506718,-1.3837342,-0.65917225,-1.4119131,-1.4230248,8,2,6,6,7,8,2,7,7,7,7,2,4,5,6,6,1,8,7,5,-3.5644422,0.52802756,4.0498149,2.1384139,1.911401
-18.700453,1,0.60531114,1,1,0,21.385738,0.80402057,0.73174064,0.58833453,0.14340612,-1.3952199,-1.3250803,-1.6036635,-2.6891534,-1.5690054,-1.3952199,-1.2986263,-0.61088058,-1.3334804,-1.3283746,8,3,6,8,6,5,2,7,7,7,7,4,6,7,8,8,1,8,6,3,-1.991544,0.61584391,2.8068219,1.7285642,1.0782577
-18.700453,0.46166765,1.0353011,1,1,0,18.781949,0.80402057,0.73174064,0.58833453,0.14340612,-1.3952199,-1.3250803,-1.6036635,-2.6891534,-1.5690054,-1.3952199,-1.2986263,-0.61088058,-1.3334804,-1.3283746,7,3,6,5,5,8,2,8,7,8,8,1,7,7,6,7,2,8,8,8,-1.991544,0.44033762,2.5004979,1.1010633,1.3994346
-16.517301,0.99600154,0.34783243,2,7,0,19.458113,0.69471063,0.97188717,0.67518035,0.29670682,-1.2860677,-1.3415587,-1.4948577,-2.6221041,-1.465169,-1.2860677,-1.2718689,-0.70522448,-1.2288446,-1.2384023,6,3,5,6,6,8,2,6,7,7,8,6,6,6,5,7,4,8,8,8,-0.99786563,0.38770091,2.2214046,0.86124058,1.360164
-15.346058,1,0.62345187,1,1,0,16.246015,0.6982186,1.4448142,1.0087961,0.43601804,-1.2402641,-1.2806021,-1.4638093,-2.7766079,-1.3950503,-1.2402641,-1.2023633,-0.65834722,-1.1617799,-1.1669211,8,3,6,6,7,7,2,5,7,8,8,2,6,8,6,8,2,7,8,8,-0.57075447,0.43617191,1.1612366,0.50649879,0.65473782
-15.346058,2.6460255e-06,1.1568203,1,1,0,15.906465,0.6982186,1.4448142,1.0087961,0.43601804,-1.2402641,-1.2806021,-1.4638093,-2.7766079,-1.3950503,-1.2402641,-1.2023633,-0.65834722,-1.1617799,-1.1669211,7,3,8,7,5,8,2,8,5,7,8,4,6,8,6,7,2,8,8,6,-0.57075447,0.62918552,4.3302532,2.7245326,1.6057206
