# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:36:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad43359d9e.json
# init = 2 (Default)
# random
#   seed = 233006867
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201036-2-3a4845.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201036-2-17560e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-16.065526,0.81953927,1,1,1,0,18.52869,0.31838663,3.9080905,1.2442838,2.6638067,-1.0401068,-1.8378666,-1.0983602,-2.2442286,-1.3575059,-1.0401068,-1.4009909,-1.2693214,-1.2453285,-1.1445784,7,5,8,7,7,7,2,4,4,8,7,3,6,5,6,7,3,8,7,8,-2.2223989,0.37199091,1.8878947,0.70227968,1.1856151
-16.065526,0,10.361645,0,1,1,16.279889,0.31838663,3.9080905,1.2442838,2.6638067,-1.0401068,-1.8378666,-1.0983602,-2.2442286,-1.3575059,-1.0401068,-1.4009909,-1.2693214,-1.2453285,-1.1445784,6,2,7,4,6,8,4,8,5,5,6,5,6,6,3,6,2,7,2,7,-2.2223989,0.58569233,2.8382732,1.6623548,1.1759183
-16.065526,1.4377127e-20,1.5888675,1,1,0,17.137796,0.31838663,3.9080905,1.2442838,2.6638067,-1.0401068,-1.8378666,-1.0983602,-2.2442286,-1.3575059,-1.0401068,-1.4009909,-1.2693214,-1.2453285,-1.1445784,8,1,7,6,7,8,2,8,5,8,7,3,8,4,6,6,3,4,7,8,-2.2223989,0.95529517,2.8121437,2.6864273,0.1257164
-15.673759,0.99998123,0.14824953,3,7,0,16.176006,0.31918303,3.2162712,1.0265792,2.189692,-1.05774,-1.8279727,-1.1147512,-2.2268333,-1.3713384,-1.05774,-1.4062529,-1.261808,-1.2554739,-1.1555186,7,3,7,5,7,7,2,6,6,8,5,5,5,6,6,8,4,7,6,7,-1.5801004,0.01297442,4.9680165,0.064457132,4.9035593
-14.63242,0.99970975,0.19366178,3,7,0,15.726618,0.52590772,1.6596929,0.87284531,0.78684759,-1.1354487,-1.4664301,-1.3133596,-2.4866976,-1.3511357,-1.1354487,-1.2773329,-0.90905802,-1.1485834,-1.1273524,7,3,7,5,3,5,5,4,7,8,8,3,8,6,7,8,2,7,6,8,-0.39922267,0.11730815,3.3720089,0.39556414,2.9764448
-15.327319,0.9487707,0.29588331,2,7,0,16.050714,0.42950467,1.3415793,0.57621456,0.7653647,-1.1608227,-1.6146987,-1.2769293,-2.28747,-1.4127828,-1.1608227,-1.3685102,-1.0613459,-1.2381026,-1.180176,8,5,7,4,8,6,4,4,7,4,8,4,6,7,6,8,2,6,8,8,-0.45313283,0.41132748,2.6388728,1.0854409,1.5534319
-16.220759,0.85717421,0.42432579,1,1,0,16.258919,0.38520251,1.0763004,0.41459363,0.66170679,-1.2044444,-1.6847598,-1.2876524,-2.1958064,-1.4708518,-1.2044444,-1.4252567,-1.1273395,-1.3061519,-1.2312712,3,3,8,6,2,4,2,4,7,8,6,1,5,8,5,8,3,6,6,7,-0.71586178,0.24000229,0.99533221,0.23888201,0.75645021
-15.1599,1,0.48108945,1,1,0,15.986449,0.41487987,1.4861227,0.6165624,0.86956031,-1.1440383,-1.6350451,-1.2544861,-2.2822373,-1.4019208,-1.1440383,-1.3687372,-1.0836297,-1.2340728,-1.1698641,8,2,4,3,4,8,3,8,7,8,5,6,6,6,6,7,2,7,8,8,-0.42229705,0.61331069,1.0309726,0.63230655,0.3986661
-15.755582,0.53498693,0.87594285,2,3,0,16.269652,0.34670514,3.8320383,1.3285874,2.5034509,-1.0346526,-1.7754721,-1.1162471,-2.294452,-1.3355129,-1.0346526,-1.371568,-1.216171,-1.2107031,-1.1164543,6,1,5,7,6,6,1,8,7,7,8,3,7,7,5,7,4,7,8,6,-2.1080853,0.47756813,2.4846036,1.1865675,1.2980361
-16.100292,0.935203,0.37489341,2,7,0,17.099002,0.48334064,1.001942,0.4842793,0.51766273,-1.2158765,-1.5555955,-1.3507796,-2.3124123,-1.4513573,-1.2158765,-1.3702701,-0.98930624,-1.2553356,-1.2191057,7,3,8,2,8,6,2,5,6,7,8,6,5,5,6,7,3,8,7,7,-0.77891147,0.06434867,1.4021594,0.090227093,1.3119323
-14.459392,0.96141079,0.572283,1,3,0,15.836127,0.58463898,2.7768198,1.6234371,1.1533827,-1.0936765,-1.355122,-1.3196935,-2.7365399,-1.2775099,-1.0936765,-1.1861558,-0.79796022,-1.0612253,-1.0576879,7,5,7,5,2,8,3,8,7,7,6,5,8,7,7,8,1,7,6,8,-1.086083,0.4486407,1.8983794,0.85169026,1.0466891
-14.459392,0.24177258,0.95596909,1,1,0,15.11589,0.58463898,2.7768198,1.6234371,1.1533827,-1.0936765,-1.355122,-1.3196935,-2.7365399,-1.2775099,-1.0936765,-1.1861558,-0.79796022,-1.0612253,-1.0576879,7,4,8,5,8,8,1,5,6,6,8,2,4,8,4,7,5,8,8,7,-1.086083,0.5832185,1.9238462,1.1220227,0.80182351
-15.018353,0.97998323,0.16597397,2,7,0,15.660003,0.52258783,1.37352,0.71778483,0.65573516,-1.1641967,-1.4829854,-1.332141,-2.436656,-1.3835352,-1.1641967,-1.3025326,-0.92067442,-1.1802435,-1.1580783,8,3,4,5,8,8,2,8,8,8,8,2,7,7,7,8,1,8,8,6,-0.42215274,0.80075923,1.4985079,1.199944,0.29856387
