# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:36:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad41284292.json
# init = 2 (Default)
# random
#   seed = 256432874
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201036-2-918f1f.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201036-2-97e57e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-14.758705,1,0.5,2,3,0,15.590548,0.4144478,1.9990231,0.82849072,1.1705324,-1.0989481,-1.6335004,-1.2179076,-2.3290286,-1.3588978,-1.0989481,-1.3429537,-1.0857773,-1.196334,-1.1303611,8,3,7,7,3,3,4,6,7,7,6,5,6,8,4,8,2,5,6,8,-0.54269916,0.043034603,3.4850378,0.14997722,3.3350606
-14.758705,0,14.38551,0,1,1,14.964384,0.4144478,1.9990231,0.82849072,1.1705324,-1.0989481,-1.6335004,-1.2179076,-2.3290286,-1.3588978,-1.0989481,-1.3429537,-1.0857773,-1.196334,-1.1303611,7,5,5,7,5,4,3,7,5,6,5,6,5,2,7,7,4,8,6,8,-0.54269916,0.48787631,1.4550311,0.70987521,0.74515589
-14.758705,8.674924e-17,2.4311673,1,2,1,15.136431,0.4144478,1.9990231,0.82849072,1.1705324,-1.0989481,-1.6335004,-1.2179076,-2.3290286,-1.3588978,-1.0989481,-1.3429537,-1.0857773,-1.196334,-1.1303611,8,3,5,5,5,8,3,7,7,7,5,6,8,8,5,8,3,8,7,6,-0.54269916,0.76438449,2.0878929,1.595953,0.49193995
-14.854284,0.99069879,0.23979141,3,11,0,15.237144,0.68409728,2.6820746,1.8348,0.84727468,-1.17162,-1.2306901,-1.4164989,-2.9709404,-1.3052276,-1.17162,-1.1302404,-0.63538207,-1.0740858,-1.0777764,3,5,6,8,8,7,3,7,6,7,8,3,6,6,6,7,2,8,7,6,-1.1248167,0.40341457,1.2279627,0.49537806,0.73258467
-15.008657,0.98935878,0.31582683,1,1,0,15.010848,0.70203236,2.7460273,1.9278001,0.81822727,-1.1894412,-1.2090447,-1.4339458,-3.0265671,-1.3113477,-1.1894412,-1.1188621,-0.60491268,-1.0805927,-1.080389,6,4,6,7,6,7,4,7,8,7,8,1,7,8,7,5,2,7,6,8,-1.2097216,0.26956357,4.5922867,1.2379132,3.3543735
-16.175613,0.86076974,0.47792775,2,3,0,16.466038,0.72478817,1.1302934,0.81922329,0.31107011,-1.2883334,-1.29346,-1.5048821,-2.7326252,-1.4481381,-1.2883334,-1.2331366,-0.64676488,-1.2133216,-1.2170776,7,4,8,8,7,8,2,8,7,8,8,4,6,6,7,8,2,7,8,6,-0.81992752,0.72739253,4.5690376,3.3234838,1.2455538
-15.054515,1,0.53032275,2,3,0,16.244202,0.68725191,3.1461298,2.1621837,0.98394609,-1.1639316,-1.2150101,-1.4137407,-3.0323708,-1.2900867,-1.1639316,-1.1132949,-0.6220205,-1.0590721,-1.0617362,8,2,4,6,4,6,3,8,7,7,6,4,7,7,5,7,1,7,8,8,-1.5280815,0.60004736,1.4777632,0.88672791,0.59103529
-15.054515,0.028361697,0.94133826,2,3,0,16.799358,0.68725191,3.1461298,2.1621837,0.98394609,-1.1639316,-1.2150101,-1.4137407,-3.0323708,-1.2900867,-1.1639316,-1.1132949,-0.6220205,-1.0590721,-1.0617362,8,2,6,8,7,8,2,8,7,8,7,5,7,7,6,8,1,8,8,7,-1.5280815,0.68547117,2.310596,1.5838469,0.72674904
-14.607521,0.99961431,0.081407348,4,23,0,15.538188,0.43522244,2.3036984,1.0026212,1.3010772,-1.0796081,-1.5970596,-1.2166571,-2.3889481,-1.3311713,-1.0796081,-1.3148115,-1.0517989,-1.1628818,-1.1045316,8,1,5,8,8,8,3,5,8,7,8,4,5,7,6,8,4,6,8,6,-0.71173926,0.89496281,1.2140609,1.0865394,0.12752154
-14.691867,0.9883949,0.14939015,3,11,0,16.037115,0.61217871,1.6728658,1.0240928,0.64877295,-1.1657356,-1.3548869,-1.3794315,-2.6521486,-1.3487596,-1.1657356,-1.2235652,-0.77569288,-1.1249449,-1.1272485,8,5,7,6,5,6,4,8,6,7,4,2,5,5,5,8,4,8,7,8,-0.45031408,0.14826221,1.7119061,0.25381099,1.4580951
-14.356824,0.99931929,0.26947721,2,7,0,14.760633,0.55281313,2.3310029,1.288609,1.0423939,-1.0985749,-1.4097562,-1.3039706,-2.6218467,-1.2992053,-1.0985749,-1.2236934,-0.85588862,-1.0909782,-1.0783652,7,1,5,8,6,8,3,8,7,8,7,6,5,7,4,4,3,7,7,5,-0.72475519,0.8609013,2.4483378,2.1077772,0.34056061
-14.4172,0.98366659,0.50784251,1,3,0,14.436622,0.52616985,2.0055924,1.0552823,0.95031015,-1.1090761,-1.4559418,-1.2951915,-2.5318104,-1.3225509,-1.1090761,-1.2568407,-0.90328297,-1.1213859,-1.0999214,7,2,5,8,6,8,5,7,7,6,8,1,5,6,3,5,2,7,6,6,-0.51902453,0.71938363,2.6152425,1.8813627,0.73387987
-14.4172,0.31716681,0.91373522,1,1,0,14.738719,0.52616985,2.0055924,1.0552823,0.95031015,-1.1090761,-1.4559418,-1.2951915,-2.5318104,-1.3225509,-1.1090761,-1.2568407,-0.90328297,-1.1213859,-1.0999214,7,5,8,7,6,7,2,5,5,8,7,4,3,4,8,7,3,4,7,7,-0.51902453,0.11563901,3.552575,0.41081627,3.1417587
-15.322608,0.9776138,0.20322422,3,15,0,15.328771,0.47923253,4.3570102,2.088021,2.2689892,-1.0181377,-1.5134608,-1.2029246,-2.58546,-1.2499852,-1.0181377,-1.2384153,-0.97506307,-1.0706979,-1.0276944,8,5,7,4,7,6,3,4,7,6,7,4,7,6,6,7,2,7,6,8,-2.5063961,0.5215607,2.2365735,1.1665089,1.0700647
-16.167045,0.96316266,0.36122803,3,7,0,16.290872,0.60249159,0.97618547,0.58814354,0.38804193,-1.2432773,-1.4244195,-1.4285981,-2.4767188,-1.4468956,-1.2432773,-1.3102071,-0.82782264,-1.2219605,-1.2225004,7,5,5,5,3,8,2,6,7,8,5,4,8,8,3,8,2,7,8,7,-0.86804468,0.25130459,2.1892535,0.55016945,1.6390841
-16.167045,0.35718907,0.61154603,2,3,0,21.047245,0.60249159,0.97618547,0.58814354,0.38804193,-1.2432773,-1.4244195,-1.4285981,-2.4767188,-1.4468956,-1.2432773,-1.3102071,-0.82782264,-1.2219605,-1.2225004,3,4,8,6,6,3,7,7,5,7,5,1,7,8,7,7,1,7,5,4,-0.86804468,0.22196418,1.1364207,0.25224469,0.88417598
-14.895756,0.996644,0.15962902,4,15,0,17.683268,0.60623616,3.6435375,2.2088442,1.4346933,-1.0825491,-1.3110835,-1.3260999,-2.8581456,-1.2513977,-1.0825491,-1.1500198,-0.75340451,-1.0303529,-1.0316041,8,2,5,8,7,8,1,6,8,5,6,5,4,8,8,6,4,8,7,8,-1.8790155,0.63849712,2.3455964,1.4976565,0.84793983
-15.752698,0.96431162,0.30008108,3,15,0,16.463216,0.28497216,2.1611618,0.61587096,1.5452909,-1.1129053,-1.8789718,-1.1395582,-2.1335466,-1.4365662,-1.1129053,-1.4567183,-1.3070582,-1.3260865,-1.2207424,5,6,8,7,4,7,4,7,7,7,7,3,7,7,6,8,2,5,6,7,-0.80748755,0.21723661,0.85243773,0.18518068,0.66725704
-15.399261,0.89966613,0.50734667,2,3,0,16.789779,0.40367565,3.9358759,1.5888173,2.3470587,-1.0238489,-1.6581186,-1.1514492,-2.4085074,-1.2940945,-1.0238489,-1.3131889,-1.1119419,-1.1450995,-1.0702826,4,4,8,4,6,6,2,4,1,8,7,3,5,7,4,6,2,8,5,6,-2.1449003,0.037338189,2.8462866,0.10627519,2.7400114
-15.399261,0.4804461,0.70115522,1,1,0,16.53445,0.40367565,3.9358759,1.5888173,2.3470587,-1.0238489,-1.6581186,-1.1514492,-2.4085074,-1.2940945,-1.0238489,-1.3131889,-1.1119419,-1.1450995,-1.0702826,6,4,8,8,5,7,4,8,6,8,4,3,7,5,6,8,3,6,6,7,-2.1449003,0.32017713,3.2061933,1.0265497,2.1796435
-15.121291,0.99464557,0.27640071,3,7,0,15.994297,0.36015745,1.9374652,0.69779252,1.2396727,-1.1092896,-1.7291962,-1.189929,-2.2362068,-1.3932401,-1.1092896,-1.3919875,-1.1754445,-1.2507136,-1.1644497,5,1,5,7,6,8,2,8,7,8,7,2,8,3,5,6,4,7,7,6,-0.56517778,0.57120256,1.9208631,1.0972019,0.82366116
-16.219865,0.75698758,0.50639637,3,7,0,17.359253,0.717724,1.0974374,0.78765713,0.30978023,-1.286169,-1.3036781,-1.5015461,-2.7078319,-1.4504292,-1.286169,-1.2409704,-0.65989684,-1.2150439,-1.2206116,8,1,7,8,6,5,3,8,7,6,8,6,7,8,8,8,3,8,6,3,-0.84395642,0.47280499,0.8799007,0.41602144,0.46387926
-14.702737,1,0.45780491,2,3,0,16.480128,0.42125773,2.5977387,1.0943175,1.5034212,-1.0651158,-1.6214519,-1.196025,-2.3829872,-1.3236977,-1.0651158,-1.3185567,-1.0762922,-1.162384,-1.0975037,5,4,6,7,7,6,2,8,5,8,6,3,5,5,7,5,4,7,7,7,-0.93684005,0.30533805,1.02599,0.3132738,0.71271625
-14.702737,0.009735785,0.84050093,1,1,0,18.539223,0.42125773,2.5977387,1.0943175,1.5034212,-1.0651158,-1.6214519,-1.196025,-2.3829872,-1.3236977,-1.0651158,-1.3185567,-1.0762922,-1.162384,-1.0975037,7,2,7,8,6,6,1,6,7,7,7,5,7,5,7,7,2,8,6,7,-0.93684005,0.34650816,1.6092209,0.55760816,1.0516127
-14.832259,0.99968226,0.088040013,3,7,0,14.861717,0.39650262,2.5480345,1.0103024,1.5377321,-1.0688956,-1.6667747,-1.1816657,-2.3349105,-1.3390607,-1.0688956,-1.3418487,-1.1188451,-1.187258,-1.1126023,6,4,8,3,4,8,6,5,8,7,6,3,6,5,3,7,2,8,8,8,-0.91673791,0.23875429,4.3504533,1.0386894,3.3117639
-14.857885,0.99803982,0.16218335,3,15,0,15.255951,0.67211976,1.7735804,1.1920584,0.58152196,-1.1975349,-1.2821044,-1.4267288,-2.797014,-1.3536199,-1.1975349,-1.184641,-0.6803683,-1.122112,-1.1284725,8,5,5,8,4,8,2,7,7,6,8,5,7,8,7,6,6,8,7,7,-0.54832835,0.54463668,2.3398512,1.2743688,1.0654824
-14.56148,1,0.2943781,3,7,0,14.925784,0.62235355,2.7825485,1.7317289,1.0508196,-1.1161307,-1.3034363,-1.3543641,-2.8268039,-1.281698,-1.1161307,-1.1616483,-0.73506512,-1.0570932,-1.0609001,6,4,8,8,5,6,4,5,6,7,8,2,5,6,6,7,4,7,7,6,-1.1235335,0.16477256,2.1022608,0.3463949,1.7558659
-16.709567,0.59460365,0.53195104,2,3,0,17.198771,0.69056425,0.92219104,0.63683217,0.28535887,-1.2910461,-1.3534871,-1.4972219,-2.5968594,-1.4744381,-1.2910461,-1.2834205,-0.71700945,-1.2378127,-1.2480746,7,3,3,8,7,7,1,7,8,5,8,1,4,3,7,8,3,7,7,8,-1.0948967,0.56905833,1.9453849,1.1070375,0.83834743
-15.291959,1,0.3077564,2,3,0,16.97852,0.62302545,1.2790005,0.79684988,0.48215065,-1.2081403,-1.3702744,-1.4126986,-2.5897239,-1.395989,-1.2081403,-1.2558565,-0.77746493,-1.1691153,-1.1732924,8,1,4,7,5,7,1,6,8,8,7,7,5,8,8,7,2,7,5,6,-0.52859636,0.54408244,0.57328009,0.31191163,0.26136846
-14.686203,1,0.55051506,2,3,0,15.231294,0.6671622,2.2537414,1.5036111,0.75013033,-1.1700546,-1.2643861,-1.4080298,-2.8693537,-1.3191217,-1.1700546,-1.1576702,-0.67245889,-1.0884859,-1.094377,7,2,7,5,5,7,5,6,4,7,7,1,5,6,6,8,2,8,7,6,-0.77997961,0.28827564,1.8440904,0.53160634,1.3124841
-14.686203,0.16311488,0.97529087,2,3,0,16.120497,0.6671622,2.2537414,1.5036111,0.75013033,-1.1700546,-1.2643861,-1.4080298,-2.8693537,-1.3191217,-1.1700546,-1.1576702,-0.67245889,-1.0884859,-1.094377,6,4,6,6,8,6,4,3,7,8,8,3,7,7,6,8,2,6,7,7,-0.77997961,0.37239345,0.81384482,0.30307048,0.51077435
-14.704844,0.99963082,0.1763024,2,3,0,14.725695,0.67032949,2.3157678,1.5523274,0.76344033,-1.1703889,-1.258449,-1.4096541,-2.8862531,-1.3168565,-1.1703889,-1.1529789,-0.66582802,-1.0860515,-1.0916888,7,2,6,8,7,7,2,7,7,6,8,5,6,6,6,8,2,7,7,6,-0.82640033,0.57423414,2.1505962,1.2349458,0.91565046
-14.732655,0.99837631,0.31200666,3,7,0,14.869161,0.64998593,1.7954963,1.1670473,0.62844896,-1.1798318,-1.3047564,-1.40619,-2.7531631,-1.3451455,-1.1798318,-1.194095,-0.71340128,-1.1156803,-1.122085,6,2,6,8,7,8,3,8,7,7,8,2,8,7,6,6,3,8,8,7,-0.52316986,0.73916562,3.9334915,2.9075017,1.0259898
-16.06744,0.88351982,0.54522011,2,3,0,16.293326,0.80153631,2.3315824,1.868848,0.46273444,-1.3458684,-1.1363871,-1.545338,-3.2371955,-1.4024635,-1.3458684,-1.0983059,-0.45880377,-1.2011635,-1.1382024,5,2,5,6,7,5,3,7,7,8,8,3,7,7,8,8,3,7,7,7,-1.1660163,0.34274288,2.8810343,0.98745401,1.8935803
-14.583347,0.97644997,0.69639395,2,3,0,15.978233,0.583958,3.1218924,1.8230541,1.2988384,-1.0822308,-1.3503368,-1.3124692,-2.764512,-1.2646526,-1.0822308,-1.1769137,-0.79573187,-1.0488108,-1.0450661,8,1,5,7,7,7,3,7,8,5,8,3,5,8,8,7,3,8,8,8,-1.3839368,0.9102106,2.1756255,1.9802774,0.1953481
-14.583347,1.1562956e-06,1.1312094,1,1,0,15.617046,0.583958,3.1218924,1.8230541,1.2988384,-1.0822308,-1.3503368,-1.3124692,-2.764512,-1.2646526,-1.0822308,-1.1769137,-0.79573187,-1.0488108,-1.0450661,6,4,8,4,7,6,2,8,7,7,8,3,5,3,7,8,1,8,6,8,-1.3839368,0.28781985,1.1317797,0.32574866,0.80603103
-14.80387,0.99696402,0.14276839,4,15,0,15.064983,0.50938495,1.523999,0.77630217,0.74769687,-1.1451384,-1.4942485,-1.3109743,-2.4382073,-1.3678371,-1.1451384,-1.2982542,-0.93717838,-1.1694193,-1.1423879,7,2,7,7,3,8,1,5,8,5,7,2,6,8,8,8,3,7,8,8,-0.38977709,0.6903493,1.6161216,1.1156884,0.50043318
-15.265058,0.97973061,0.2456947,3,7,0,15.718688,0.51270466,4.3773057,2.244265,2.1330407,-1.0249849,-1.4536673,-1.2311055,-2.6642834,-1.2399348,-1.0249849,-1.2093778,-0.91470406,-1.0478837,-1.0191453,8,5,6,8,5,8,3,7,7,5,7,2,4,6,6,8,3,7,5,7,-2.5244801,0.49767636,2.3788274,1.1838861,1.1949412
-14.824026,1,0.40110702,2,3,0,15.357468,0.50188259,1.5180278,0.76187175,0.75615609,-1.1445491,-1.5049144,-1.3062964,-2.4246647,-1.3699894,-1.1445491,-1.3037479,-0.94880082,-1.1738061,-1.1439993,7,6,6,5,6,7,3,7,8,6,7,3,6,5,4,8,3,8,8,8,-0.3898122,0.2418645,1.4055485,0.33995228,1.0655962
-16.386448,0.41347248,0.68435345,2,3,0,17.382944,0.28268685,3.7937169,1.0724339,2.721283,-1.0541783,-1.9170984,-1.082026,-2.1786056,-1.3924954,-1.0541783,-1.4409848,-1.3351933,-1.295337,-1.191293,7,4,5,6,7,7,2,6,7,6,8,3,8,8,3,8,3,7,4,6,-2.1827462,0.52161606,8.2985616,4.3286631,3.9698986
-16.084601,0.99339038,0.26263993,2,3,0,16.67609,0.31114583,3.8178538,1.1879093,2.6299445,-1.0442242,-1.8529825,-1.0961831,-2.2290496,-1.3654927,-1.0442242,-1.4094787,-1.2821229,-1.2560869,-1.1542549,5,5,4,8,5,7,4,5,7,8,8,5,6,4,4,8,4,7,4,5,-2.1499707,0.53120004,1.7214386,0.91442828,0.80701035
