# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:46:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad5a27f56f.json
# init = 2 (Default)
# random
#   seed = 1080238632
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201046-1-73960c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201046-1-7085b3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-21.865794,0.060459644,1,1,1,0,22.043454,0.33701541,3.6024579,1.2140838,2.3883741,-1.3401355,-3.3708542,-2.2197434,-1.2698788,-1.4392545,-2.6519653,-1.3639667,-1.3427627,-2.9612177,-1.7821305,2,4,2,5,2,4,3,3,4,5,6,5,3,6,5,5,5,5,5,6,-1.9068704,0.63546267,0.7934769,0.50422495,0.28925195
-21.865794,0,2.6063904,0,1,1,24.046156,0.33701541,3.6024579,1.2140838,2.3883741,-1.3401355,-3.3708542,-2.2197434,-1.2698788,-1.4392545,-2.6519653,-1.3639667,-1.3427627,-2.9612177,-1.7821305,7,4,1,5,2,5,3,7,3,5,8,4,3,8,3,5,7,1,1,5,-1.9068704,0.34061951,3.4881331,1.1881262,2.3000069
-22.378684,1,0.26549844,3,7,0,22.788216,0.28837466,3.1439513,0.9066359,2.2373154,-1.3835189,-3.4459306,-2.3002707,-1.2683994,-1.4794798,-2.7722794,-1.4027246,-1.3494227,-3.0956545,-1.8703644,7,4,4,5,4,4,6,3,4,6,5,4,1,7,6,2,5,2,4,5,-1.5724214,0.073849893,2.6487359,0.19560886,2.453127
-19.067806,0.96699889,0.28170934,2,3,0,23.258613,0.54058774,3.3135127,1.7912443,1.5222684,-1.2672667,-2.8580541,-1.7924784,-1.4678052,-1.361808,-2.0860781,-1.3467511,-1.4141531,-2.2618084,-1.4819886,3,5,5,8,3,3,3,4,1,4,4,4,7,6,4,3,4,4,4,5,-1.534717,0.91897674,1.8489347,1.699128,0.14980671
-18.481656,0.99984369,0.35080198,3,7,0,19.335753,0.75731253,1.1624795,0.88036029,0.2821192,-1.4192953,-2.1261518,-1.3194467,-1.9127016,-1.4949381,-1.6269594,-1.5830405,-1.6414599,-1.5065315,-1.4403668,6,4,2,6,4,4,7,5,2,5,5,6,2,6,5,3,5,7,4,4,-0.86735924,0.53361892,6.716109,3.5838428,3.1322662
-20.830047,0.78534215,0.55021875,2,3,0,20.990828,0.56680011,6.0136695,3.4085485,2.6051209,-1.2160382,-2.9194844,-1.7875653,-1.494701,-1.3094711,-2.0632774,-1.3065296,-1.3874383,-2.2555626,-1.423429,6,3,3,7,7,2,4,6,1,6,6,6,5,7,3,2,5,5,4,4,-4.0562801,0.72231808,1.9909485,1.4380981,0.55285041
-20.884795,0.68269186,0.48647891,1,3,0,25.512468,0.34034785,1.354025,0.46083948,0.89318548,-1.445305,-2.9595169,-2.0216911,-1.397154,-1.5431607,-2.4203065,-1.4876306,-1.4737707,-2.62545,-1.7848162,6,4,3,6,2,3,8,5,7,5,8,7,2,5,4,4,2,5,5,4,-0.53524552,0.13396357,2.6218544,0.35123297,2.2706215
-20.948191,0.9968874,0.32115063,1,1,0,21.069687,0.34002695,1.2853479,0.43705293,0.84829499,-1.4533141,-2.9340743,-2.0099609,-1.406122,-1.5511456,-2.4077843,-1.4968137,-1.4831485,-2.6053678,-1.7869182,5,3,3,6,3,5,6,3,4,3,7,1,6,6,5,5,4,7,1,6,-0.5702842,0.46978244,2.5845136,1.2141591,1.3703545
-18.2645,0.93248336,0.57678783,2,3,0,21.135644,0.68503989,3.3103478,2.2677203,1.0426275,-1.2599153,-2.5328462,-1.512728,-1.7847374,-1.3408721,-1.7604562,-1.40847,-1.4940263,-1.8181651,-1.343234,4,6,3,7,7,3,4,4,3,6,5,2,4,6,5,4,6,4,5,5,-1.6725153,0.31038461,2.0744982,0.6438923,1.4306059
-18.2645,0.29674658,0.86440954,1,3,0,19.948813,0.68503989,3.3103478,2.2677203,1.0426275,-1.2599153,-2.5328462,-1.512728,-1.7847374,-1.3408721,-1.7604562,-1.40847,-1.4940263,-1.8181651,-1.343234,6,4,2,6,6,2,3,4,1,1,5,2,3,6,4,4,3,5,3,3,-1.6725153,0.96926467,1.7622614,1.7080977,0.054163682
