# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:46:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad1bbfa6c9.json
# init = 2 (Default)
# random
#   seed = 1449841492
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201046-2-360e5a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201046-2-98ba90.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-21.564435,1,0.5,2,3,0,21.748989,0.86845992,4.6536095,4.0414733,0.61213616,-3.5354065,-2.1868439,-1.4200015,-1.2283963,-0.29978954,-1.5273817,-2.4416731,-1.3152486,-1.1797072,-2.2306523,5,5,7,4,8,3,4,5,3,5,5,2,6,3,8,5,5,3,2,5,-3.5674994,0.72705261,1.3548795,0.98506869,0.36981083
-21.564435,0,14.38551,0,1,1,22.562674,0.86845992,4.6536095,4.0414733,0.61213616,-3.5354065,-2.1868439,-1.4200015,-1.2283963,-0.29978954,-1.5273817,-2.4416731,-1.3152486,-1.1797072,-2.2306523,4,2,5,8,7,5,2,8,1,2,2,3,6,8,8,4,4,2,2,6,-3.5674994,0.22274145,1.8556071,0.41332061,1.4422865
-21.564435,0,2.4311673,0,1,1,21.761343,0.86845992,4.6536095,4.0414733,0.61213616,-3.5354065,-2.1868439,-1.4200015,-1.2283963,-0.29978954,-1.5273817,-2.4416731,-1.3152486,-1.1797072,-2.2306523,4,6,6,6,6,6,3,4,4,2,3,3,4,7,8,2,5,4,1,3,-3.5674994,0.37152287,3.0060257,1.1168073,1.8892184
-20.91764,0.98704528,0.23979141,3,7,0,22.682975,0.78841682,4.2904109,3.3826321,0.90777875,-3.8316898,-2.3508753,-1.4878057,-1.2389251,-0.43754062,-1.4397468,-2.2821941,-1.3165641,-1.3287742,-2.0227051,2,2,4,7,5,5,3,6,6,8,5,4,6,4,8,6,4,2,2,5,-2.8463361,0.53295486,1.6957498,0.90375807,0.79199168
-20.206372,0.94742653,0.31254719,2,7,0,22.698476,0.66425789,1.0234646,0.67984443,0.34362016,-3.4814928,-2.2449173,-1.6821728,-1.4581269,-0.74007106,-1.5408628,-1.9386389,-1.5269706,-1.4503375,-1.8100799,8,3,4,4,2,3,4,7,2,2,2,4,2,4,6,7,6,3,2,4,-0.85539797,0.27157948,1.5607301,0.42386225,1.1368678
-20.236506,0.98337098,0.41719307,3,7,0,20.52641,0.77176216,3.4264695,2.6444195,0.78205,-3.8153238,-2.3509336,-1.511969,-1.2611215,-0.47786868,-1.4398832,-2.2279785,-1.3369847,-1.3515573,-1.9762488,6,2,7,6,7,4,5,5,3,2,3,2,4,5,8,4,1,4,3,6,-1.9817212,0.30826375,1.5948992,0.4916496,1.1032496
-20.545783,0.61491115,0.67135401,2,3,0,22.067762,0.86375041,1.0058206,0.86877792,0.13704263,-2.8887488,-1.9123614,-1.5681697,-1.4398339,-0.47936434,-1.6527126,-2.1775679,-1.5261105,-1.157729,-2.0847944,5,1,4,6,7,7,4,3,3,6,1,5,3,6,6,7,6,4,4,6,-1.524456,0.61360069,2.4491424,1.5027955,0.94634694
-21.207488,0.97040796,0.36081972,3,7,0,21.43034,0.84042128,0.77407028,0.65054514,0.12352514,-2.7996483,-1.8846335,-1.6219729,-1.4976218,-0.55675539,-1.678032,-2.1055697,-1.5826888,-1.1873434,-2.0389381,4,4,3,8,8,5,4,2,1,4,3,2,5,8,8,5,5,3,4,5,-1.9891216,0.45616716,1.3685082,0.62426851,0.74423972
-21.312197,1,0.59696004,2,3,0,21.528134,0.88130519,4.1779514,3.6820502,0.49590115,-3.4543772,-2.1459904,-1.416074,-1.2374484,-0.28560384,-1.549165,-2.4526229,-1.3255567,-1.153925,-2.2569233,7,7,5,4,7,4,2,4,2,5,2,2,4,5,8,6,3,5,1,6,-3.2067806,0.18405836,1.2235175,0.22519863,0.99831887
-21.312197,5.4865072e-06,1.1074319,1,1,0,21.997356,0.88130519,4.1779514,3.6820502,0.49590115,-3.4543772,-2.1459904,-1.416074,-1.2374484,-0.28560384,-1.549165,-2.4526229,-1.3255567,-1.153925,-2.2569233,5,3,5,6,6,6,3,3,4,4,7,3,5,5,8,6,6,2,4,8,-3.2067806,0.23355737,2.8953333,0.67622644,2.2191069
-19.920168,0.9998435,0.087965093,4,15,0,21.510815,0.87512382,2.0960958,1.8343433,0.26175244,-3.2245203,-2.0503541,-1.4709192,-1.3129453,-0.35726916,-1.5822807,-2.3315855,-1.3999889,-1.1520673,-2.1721563,2,6,5,6,8,5,2,5,1,7,4,1,3,4,8,6,4,2,3,8,-1.3923355,0.69945856,1.5886918,1.1112241,0.47746773
-20.058789,0.98810515,0.16626011,3,15,0,20.755999,0.80708471,3.1099997,2.5100332,0.59996649,-3.6380751,-2.2589796,-1.4885992,-1.266931,-0.42684296,-1.4796375,-2.2773322,-1.3470408,-1.2827172,-2.0491387,5,3,5,4,7,7,4,5,4,6,5,2,5,3,7,4,3,5,6,4,-1.8182864,0.44683881,5.2287543,2.3364104,2.8923439
-19.559887,0.99760283,0.30437532,2,7,0,20.179083,0.82799664,1.7346261,1.4362646,0.2983615,-3.2935398,-2.100785,-1.5194542,-1.3413738,-0.44923056,-1.5530226,-2.2237013,-1.4241233,-1.2255117,-2.0566081,6,2,2,6,4,6,4,3,2,5,3,3,2,7,8,7,6,5,3,6,-0.97434129,0.7484266,2.4998414,1.8709478,0.62889361
-20.19393,0.86242352,0.57434788,2,7,0,20.461329,0.61460732,2.6135247,1.6062914,1.0072333,-4.3188826,-2.6309738,-1.6664053,-1.3289754,-0.75033196,-1.3788467,-1.9513816,-1.3857792,-1.6270194,-1.6976048,5,2,4,5,8,2,3,5,2,7,5,2,3,4,6,6,3,4,5,8,-0.97816462,0.41707729,2.1562893,0.8993393,1.25695
