# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:47:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad80aa725.json
# init = 2 (Default)
# random
#   seed = 1684370507
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201047-1-81e036.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201047-1-59ce17.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.058029,1.1806168e-51,2,1,2,1,19.997743,0.27384029,4.9894849,1.366322,3.6231629,-1.2840036,-2.2392028,-1.0366367,-1.9523129,-1.3075432,-1.4459733,-1.9523129,-1.461772,-1.5390065,-1.5033719,5,7,8,6,4,2,5,5,3,4,2,5,5,5,4,3,5,6,4,7,-3.3280303,0.30279902,2.1241246,0.64318285,1.4809418
-19.058029,0,2.3350648,1,3,1,19.14594,0.27384029,4.9894849,1.366322,3.6231629,-1.2840036,-2.2392028,-1.0366367,-1.9523129,-1.3075432,-1.4459733,-1.9523129,-1.461772,-1.5390065,-1.5033719,3,5,7,4,4,6,2,7,5,3,3,8,8,3,2,3,7,6,7,6,-3.3280303,0.47420202,2.3905696,1.1336129,1.2569567
-17.91349,0.99965359,0.23023585,3,15,0,19.253081,0.55085571,1.2987546,0.71542637,0.5833282,-1.6533816,-2.5987107,-1.1797165,-1.4514197,-1.5323456,-1.2928459,-1.4514197,-1.4868711,-1.8427557,-1.8238035,5,5,6,6,3,3,7,5,6,6,4,8,8,5,4,3,7,4,7,6,-0.46493239,0.47124811,3.3275249,1.5680898,1.7594351
-18.033895,0.98490934,0.23957016,3,7,0,18.674579,0.5066763,1.1774266,0.59657415,0.58085245,-1.6173807,-2.4694045,-1.1880033,-1.5144795,-1.5347569,-1.333057,-1.5144795,-1.5134076,-1.8091289,-1.7714103,4,7,8,8,4,2,6,7,8,4,2,6,6,4,5,2,5,2,5,1,-0.54524569,0.34030864,2.2801651,0.77595988,1.5042052
-17.835492,1,0.31033831,3,7,0,18.130466,0.43828079,3.8610552,1.6922263,2.1688289,-1.4490825,-2.6313337,-1.0246008,-1.590416,-1.3616686,-1.2812308,-1.590416,-1.3828327,-1.7039751,-1.7172223,4,8,7,7,8,3,4,4,5,4,4,6,8,3,4,4,4,7,4,6,-2.0520052,0.79159824,2.2196256,1.7570517,0.46257388
-17.494114,0.95841982,0.48439077,1,3,0,18.511635,0.29739468,2.5290828,0.75213575,1.776947,-1.3564844,-2.2116752,-1.0898393,-1.8624197,-1.3749422,-1.4376586,-1.8624197,-1.4916072,-1.5922918,-1.5392564,4,6,8,6,5,1,2,5,6,8,3,8,7,5,5,2,7,8,3,5,-1.0377208,0.34922284,1.0292538,0.35943893,0.66981486
-19.10577,0.83404103,0.72507251,2,3,0,19.416166,0.13554787,1.9508974,0.26443999,1.6864574,-1.3258046,-1.9209123,-1.1914366,-2.1942236,-1.4090288,-1.6178919,-2.1942236,-1.6283425,-1.512747,-1.3877118,4,6,8,6,3,1,7,8,6,7,1,6,7,4,5,5,7,6,4,4,-1.247647,0.44218714,1.8436752,0.81524946,1.0284257
-19.10577,0.37104266,0.77178391,1,3,0,20.468647,0.13554787,1.9508974,0.26443999,1.6864574,-1.3258046,-1.9209123,-1.1914366,-2.1942236,-1.4090288,-1.6178919,-2.1942236,-1.6283425,-1.512747,-1.3877118,2,6,8,3,2,3,6,4,7,6,2,8,6,3,5,4,6,7,3,6,-1.247647,0.78964485,3.8933795,3.0743871,0.81899243
-18.087964,0.99409369,0.195565,3,15,0,22.478019,0.63415957,2.7164945,1.722691,0.99380353,-1.7334886,-3.1835577,-1.1267451,-1.2897021,-1.4787452,-1.1567305,-1.2897021,-1.3661059,-1.9362602,-1.983358,3,7,7,5,3,1,6,8,5,5,5,8,7,8,5,2,6,4,6,3,-1.0818977,0.10202023,3.2382706,0.3303691,2.9079015
-17.579125,0.94087824,0.35417581,3,7,0,20.695067,0.58881399,2.0996788,1.2363203,0.86335855,-1.6716085,-2.9015582,-1.1259843,-1.3661271,-1.4816783,-1.2105165,-1.3661271,-1.4046756,-1.8760571,-1.8993203,4,7,5,5,6,1,7,7,6,5,3,8,6,5,5,3,4,6,5,4,-0.59890197,0.24935474,0.91687673,0.22862756,0.68824917
