# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:47:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14badc56c0f4.json
# init = 2 (Default)
# random
#   seed = 240261574
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201047-2-37f967.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201047-2-1f957f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-24.288622,0.00023744319,1,1,3,0,25.270039,0.82916321,5.0507261,4.1878763,0.86284983,-1.5937556,-2.131146,-1.513816,-6.8456402,-1.2336211,-2.3753734,-1.3820283,-0.50573519,-1.2229286,-1.4253981,3,5,4,6,5,4,4,7,8,3,4,6,6,7,3,4,3,8,5,8,-3.7243265,0.28688355,2.2612265,0.64870869,1.6125178
-24.288622,0,2.3360731,0,1,1,24.493245,0.82916321,5.0507261,4.1878763,0.86284983,-1.5937556,-2.131146,-1.513816,-6.8456402,-1.2336211,-2.3753734,-1.3820283,-0.50573519,-1.2229286,-1.4253981,4,6,6,6,4,7,3,7,4,8,6,7,6,7,4,4,2,8,7,8,-3.7243265,0.64644175,3.6460202,2.3569397,1.2890805
-20.829411,0.99918753,0.23036474,3,7,0,24.804074,0.79993732,2.2124453,1.7698176,0.44262775,-1.5954003,-2.0151839,-1.5358042,-5.342811,-1.3239509,-2.2179654,-1.4060734,-0.62179212,-1.3080225,-1.3433004,4,6,2,8,2,7,3,4,5,8,5,5,4,8,4,6,2,7,3,7,-1.080859,0.54643927,2.6830187,1.4661068,1.2169119
-20.047518,0.99908853,0.23942426,3,7,0,21.042648,0.76460848,1.4316594,1.0946589,0.33700047,-1.600478,-1.9365583,-1.5570742,-4.511955,-1.4011531,-2.1023657,-1.4314327,-0.73411881,-1.3783962,-1.3066309,3,3,2,7,6,8,4,7,1,6,4,3,6,8,2,2,3,8,5,7,-0.73129291,0.50194922,3.6352852,1.8247286,1.8105566
-19.078825,0.92851777,0.32295785,3,7,0,21.426838,0.57226686,3.6613034,2.0952426,1.5660608,-1.3924333,-1.6256088,-1.3453321,-4.5671555,-1.4401877,-1.9095214,-1.2486199,-1.193581,-1.3139129,-1.062373,1,5,1,6,4,8,7,7,3,7,3,8,3,5,5,6,3,7,6,8,-1.8705132,0.081097515,2.2188974,0.17994706,2.0389503
-18.973373,1,0.4080402,2,3,0,19.566614,0.53836158,1.032867,0.5560559,0.47681109,-1.5197076,-1.6848964,-1.5221639,-3.3761516,-1.5935265,-1.8017111,-1.436209,-1.2393272,-1.4910878,-1.216827,5,6,4,6,6,5,2,8,6,8,5,4,3,8,4,5,4,8,4,8,-0.73190493,0.84461581,1.6508972,1.3943739,0.25652332
-18.078179,0.9707927,0.69051,2,3,0,18.791589,0.40398383,1.5344722,0.61990196,0.91457023,-1.40507,-1.5289509,-1.4497152,-3.2977442,-1.6955022,-1.662803,-1.401869,-1.5864799,-1.4883856,-1.1394826,3,2,4,6,7,7,5,7,2,8,1,8,3,6,6,7,5,7,6,8,-0.42649462,0.034500644,1.1034576,0.038069999,1.0653876
-18.078179,0.19186784,1.1240721,1,1,0,18.156584,0.40398383,1.5344722,0.61990196,0.91457023,-1.40507,-1.5289509,-1.4497152,-3.2977442,-1.6955022,-1.662803,-1.401869,-1.5864799,-1.4883856,-1.1394826,3,3,5,4,5,7,2,5,6,7,6,6,6,8,4,5,5,8,5,8,-0.42649462,0.19050621,2.6315717,0.50133073,2.1302409
-17.907289,0.99947165,0.16278642,3,7,0,18.161197,0.40012824,2.0767817,0.83097902,1.2458027,-1.3613319,-1.4882587,-1.4044464,-3.4731312,-1.6875211,-1.6588552,-1.3612184,-1.6304748,-1.4565299,-1.0946317,5,3,3,7,3,7,5,7,5,7,4,4,4,6,1,5,6,8,5,8,-0.59469929,0.50674158,2.0817439,1.0549062,1.0268377
-19.190338,0.94970355,0.29959619,3,7,0,19.431322,0.2649971,3.53285,0.936195,2.596655,-1.2644916,-1.3576348,-1.4083966,-3.3023969,-1.9193826,-1.496726,-1.4147593,-2.0899698,-1.5162529,-1.0670356,7,7,4,7,5,4,1,7,4,7,2,5,1,8,6,4,6,8,8,6,-1.9794798,0.76883179,2.2231245,1.7092088,0.51391572
