# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:47:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad5606ccab.json
# init = 2 (Default)
# random
#   seed = 339663483
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201047-2-5cb359.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201047-2-3e5171.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-16.936706,1,0.5,1,1,0,20.937235,0.81296798,0.98031832,0.79696741,0.18335092,-1.4622427,-1.6199235,-1.2349502,-1.2298288,-1.5980098,-1.5310016,-0.67150167,-1.2349502,-1.5617787,-1.5745988,3,5,5,2,4,5,7,7,3,6,7,6,6,2,2,2,4,7,5,5,-1.3145026,0.38261024,2.3148845,0.8856985,1.429186
-16.936706,0,14.38551,0,1,1,17.542151,0.81296798,0.98031832,0.79696741,0.18335092,-1.4622427,-1.6199235,-1.2349502,-1.2298288,-1.5980098,-1.5310016,-0.67150167,-1.2349502,-1.5617787,-1.5745988,2,8,6,1,6,3,6,8,1,6,3,5,8,1,7,5,7,8,3,6,-1.3145026,0.89277597,1.0537646,0.94077569,0.11298888
-16.936706,0,2.4311673,0,1,1,18.288788,0.81296798,0.98031832,0.79696741,0.18335092,-1.4622427,-1.6199235,-1.2349502,-1.2298288,-1.5980098,-1.5310016,-0.67150167,-1.2349502,-1.5617787,-1.5745988,4,5,7,3,4,5,6,6,4,6,4,3,5,5,5,5,7,5,4,6,-1.3145026,0.41855259,1.8659202,0.78098572,1.0849344
-15.580366,0.9894062,0.23979141,2,7,0,18.465515,0.89095616,2.3623258,2.1047287,0.25759708,-1.3423756,-1.5921179,-1.0786666,-1.1272664,-1.4499401,-1.3805877,-0.40360006,-1.0786666,-1.4021332,-1.5726052,1,5,7,3,4,3,6,4,3,8,4,2,6,4,3,5,8,6,3,7,-1.680588,0.87914085,2.8700883,2.5232119,0.34687642
-15.076076,0.97146256,0.3146626,3,7,0,16.164643,0.81725456,2.0986506,1.7151318,0.38351882,-1.3349689,-1.5233526,-1.1074347,-1.2502903,-1.5090639,-1.3971046,-0.58500188,-1.1074347,-1.5182936,-1.5015311,5,5,7,4,3,4,6,7,2,7,2,6,6,1,3,6,8,8,3,7,-1.0814286,0.38290967,2.4791441,0.94928823,1.5298558
-17.016066,0.89695426,0.45135293,2,3,0,17.267257,0.45567208,2.4492653,1.1160618,1.3332035,-1.3211113,-1.3812048,-1.2932728,-1.9212485,-1.837792,-1.6091952,-1.4946404,-1.2932728,-2.2599259,-1.2998733,2,4,4,3,4,7,8,7,3,8,4,5,6,2,6,4,6,8,6,6,-0.80613193,0.62381354,3.7138668,2.3167604,1.3971064
-18.13995,0.95510002,0.55865065,2,3,0,18.42913,0.41270051,1.2082949,0.49866391,0.70963097,-1.4364758,-1.5008225,-1.3923337,-1.8729362,-1.8782758,-1.7128015,-1.5374613,-1.3923337,-2.2352015,-1.4048638,4,6,7,3,4,4,8,5,2,7,2,8,7,1,3,3,8,5,5,6,-0.54840056,0.9403438,1.7152828,1.6129556,0.10232725
-15.195347,1,0.86302734,1,3,0,16.951458,0.76087873,3.3504376,2.5492767,0.8011609,-1.2687454,-1.4325373,-1.0734586,-1.3708373,-1.522238,-1.3537145,-0.6962645,-1.0734586,-1.6104519,-1.4190821,1,4,7,7,5,8,8,6,4,6,3,5,7,2,3,7,7,8,2,6,-1.8795846,0.38593936,1.8259774,0.70471655,1.1212609
-15.757576,0.12214298,1.5802455,1,3,1,16.518437,0.64874761,1.4751742,0.9570157,0.51815845,-1.3672565,-1.4695938,-1.2217242,-1.510699,-1.6627142,-1.5039184,-0.99360545,-1.2217242,-1.8012079,-1.4278936,7,5,6,1,5,4,7,6,2,7,4,4,7,3,5,4,8,6,2,7,-0.48705328,0.58117502,2.5643313,1.4903253,1.074006
-16.171995,0.99600136,0.1841613,3,7,0,16.582232,0.55036254,2.9755537,1.6376333,1.3379204,-1.2766309,-1.3525649,-1.2045528,-1.7622417,-1.7308612,-1.4950092,-1.2477829,-1.2045528,-2.0529911,-1.3021246,2,2,5,2,5,7,6,4,3,6,2,6,5,4,5,7,8,6,3,6,-1.2366212,0.26781422,3.8338179,1.026751,2.807067
