# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:47:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad4c23319b.json
# init = 2 (Default)
# random
#   seed = 1207100056
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201047-2-6377db.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201047-2-6abb84.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.091318,0.96401897,0.5,2,7,0,35.849981,0.18204054,5.0877213,0.92617154,4.1615498,-1.4586776,-1.5376206,-1.236665,-1.4541322,-1.5022565,-1.4297747,-1.3035674,-1.3115817,-1.558965,-1.3115817,8,6,2,1,2,7,4,5,5,3,5,5,3,1,3,5,5,5,1,2,-3.7088577,0.15506362,2.1937556,0.34017169,1.8535839
-18.091318,0,13.474532,0,1,1,18.722009,0.18204054,5.0877213,0.92617154,4.1615498,-1.4586776,-1.5376206,-1.236665,-1.4541322,-1.5022565,-1.4297747,-1.3035674,-1.3115817,-1.558965,-1.3115817,4,6,5,3,7,5,6,3,4,5,8,4,5,2,3,5,4,5,1,6,-3.7088577,0.55190138,0.96118018,0.53047666,0.43070352
-18.091318,1.2898615e-118,2.2334856,1,3,1,19.815918,0.18204054,5.0877213,0.92617154,4.1615498,-1.4586776,-1.5376206,-1.236665,-1.4541322,-1.5022565,-1.4297747,-1.3035674,-1.3115817,-1.558965,-1.3115817,6,8,5,7,4,4,1,5,2,5,6,3,2,5,5,7,6,4,5,4,-3.7088577,0.89688034,2.7244346,2.4434918,0.28094276
-17.81774,0.9986908,0.21786835,4,15,0,18.711756,0.20696309,4.7943966,0.99226313,3.8021335,-1.4329054,-1.5723197,-1.2503713,-1.5251085,-1.549429,-1.4498814,-1.3082647,-1.3124729,-1.5274778,-1.3124729,7,6,4,4,5,7,4,7,2,2,7,6,2,2,4,6,5,7,2,4,-3.3373834,0.82427325,0.65329774,0.53849585,0.11480189
-16.727157,0.99024961,0.29155406,2,3,0,18.056326,0.25728669,2.8033043,0.72125289,2.0820514,-1.4159012,-1.6612664,-1.3217083,-1.6344306,-1.6436382,-1.519232,-1.3649936,-1.3587099,-1.4764984,-1.3587099,4,5,3,5,3,4,3,7,1,2,7,5,2,3,4,3,3,7,2,4,-1.3478574,0.59622403,1.4226263,0.84820398,0.5744223
-16.73403,0.99994613,0.440834,2,3,0,16.763793,0.27780166,1.9972977,0.55485262,1.4424451,-1.4309697,-1.7043083,-1.3723289,-1.6565443,-1.6781067,-1.5615215,-1.4124943,-1.4018873,-1.4673401,-1.4018873,6,4,3,4,7,7,1,4,3,3,7,5,3,3,5,5,5,6,4,2,-0.73213402,0.77409517,1.2830139,0.99317483,0.28983903
-17.143906,0.81275157,0.74743983,1,3,0,17.294454,0.19734636,1.5767932,0.31117439,1.2656188,-1.5131943,-1.6295704,-1.3721217,-1.4250507,-1.5501952,-1.5398134,-1.4386167,-1.4431051,-1.5567934,-1.4431051,4,4,4,3,6,4,4,4,2,6,6,5,2,4,1,6,5,4,3,5,-0.84510592,0.34954416,2.0315827,0.71012786,1.3214548
-16.867712,0.94243363,0.7449552,1,3,0,17.20788,0.27498322,1.7506869,0.48140954,1.2692774,-1.4469853,-1.7079497,-1.3885462,-1.6336496,-1.6722859,-1.5724621,-1.4311772,-1.4217353,-1.4764904,-1.4217353,6,6,4,4,6,7,1,7,1,3,4,5,3,4,4,5,6,3,4,3,-0.64209775,0.88125357,1.5855914,1.397308,0.18828332
-16.867712,4.5104667e-06,1.136694,1,3,1,20.917131,0.27498322,1.7506869,0.48140954,1.2692774,-1.4469853,-1.7079497,-1.3885462,-1.6336496,-1.6722859,-1.5724621,-1.4311772,-1.4217353,-1.4764904,-1.4217353,7,4,4,4,5,5,5,5,4,5,5,7,5,3,4,7,2,5,2,6,-0.64209775,0.47706762,1.1466397,0.54702466,0.59961501
-16.674026,0.99792562,0.089932748,4,31,0,17.733326,0.22802526,2.3392391,0.53340559,1.8058335,-1.4536549,-1.6324648,-1.3278039,-1.5373598,-1.5910386,-1.5143705,-1.3822411,-1.3823927,-1.5129744,-1.3823927,7,5,3,2,1,6,5,5,5,3,6,4,5,2,3,8,7,6,1,4,-1.0700562,0.28892854,1.1235268,0.32461895,0.79890782
