# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:51:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad2717fe18.json
# init = 2 (Default)
# random
#   seed = 977331310
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201051-1-300031.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201051-1-56581f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-32.831771,1.2032885e-06,1,1,3,0,33.372395,0.51090227,0.16216364,0.082849771,0.079313867,-1.7350998,-2.3897186,-2.1912201,-1.9766848,-1.4717565,-2.1440995,-1.3036193,-1.9053993,-1.878951,-2.0043826,5,7,6,2,3,6,3,6,3,5,8,1,7,8,6,2,2,4,2,3,-10.62492,0.1253645,3.4210239,0.42887497,2.9921489
-32.831771,0,2.3350699,0,1,1,33.033536,0.51090227,0.16216364,0.082849771,0.079313867,-1.7350998,-2.3897186,-2.1912201,-1.9766848,-1.4717565,-2.1440995,-1.3036193,-1.9053993,-1.878951,-2.0043826,6,7,1,2,5,7,7,7,6,5,6,5,2,2,6,8,8,7,3,7,-10.62492,0.2547039,2.5070239,0.63854874,1.8684751
-34.819324,0.98605338,0.2302365,3,7,0,38.056076,0.40566892,22.084654,8.9590576,13.125596,-1.2758894,-4.7371875,-3.9394129,-1.6555297,-2.206165,-1.9409471,-1.7458576,-1.165198,-2.0076172,-1.3297451,5,5,3,4,4,6,7,5,1,7,5,4,4,5,4,6,7,8,3,5,-14.488121,0.44547164,1.6166687,0.72018004,0.89648863
-29.512747,1,0.23104423,3,7,0,37.207857,0.28193355,8.264369,2.3300029,5.9343662,-1.4302477,-5.0600741,-4.3841334,-1.905207,-2.4425871,-1.6775561,-2.119992,-1.1986401,-2.2037791,-1.4359228,8,5,4,4,3,5,6,3,1,6,5,7,3,5,4,4,6,5,5,7,-6.1692844,0.48830112,3.7660114,1.8389476,1.9270638
-19.779071,1,0.31166376,3,11,0,28.821957,0.57542374,2.3467471,1.350374,0.99637313,-1.2077609,-3.413927,-2.8363352,-1.4684538,-1.6890833,-2.2658123,-1.1749146,-1.3369556,-1.6896524,-1.3923946,8,5,6,6,1,7,7,8,2,6,4,7,3,4,1,7,6,7,5,2,-0.74749941,0.79031378,3.16649,2.5025207,0.66396933
-20.071741,0.96369477,0.48654978,3,7,0,20.615025,0.66336779,0.89476206,0.59355633,0.30120573,-1.2996242,-2.772556,-2.335944,-1.5328557,-1.4390395,-2.3072642,-0.97819704,-1.5157609,-1.6144827,-1.549664,4,8,6,3,3,6,5,4,4,5,5,5,5,7,5,7,6,7,3,3,-1.115965,0.089400406,2.8835581,0.25779127,2.6257668
-19.891544,1,0.74025157,1,1,0,20.669699,0.69660069,0.91774339,0.63930068,0.27844271,-1.282149,-2.7308657,-2.2767349,-1.5113046,-1.3933823,-2.3784565,-0.90988925,-1.5241599,-1.5852898,-1.5431487,3,6,5,5,3,1,5,5,3,7,8,8,6,3,3,6,8,8,1,6,-1.116077,0.26994376,1.1608919,0.31337552,0.84751636
-20.324268,1,1.3212567,1,1,0,21.231041,0.50731019,1.3121687,0.66567655,0.64649215,-1.3181329,-3.2607506,-2.8234887,-1.591991,-1.7304199,-2.0621772,-1.3206851,-1.4019498,-1.7585626,-1.4937949,5,7,5,3,3,5,5,7,3,6,7,8,6,6,3,7,8,8,4,7,-0.44748833,0.36677695,1.7618426,0.64620327,1.1156394
-20.324268,4.1079758e-09,2.4292531,1,3,1,21.857404,0.50731019,1.3121687,0.66567655,0.64649215,-1.3181329,-3.2607506,-2.8234887,-1.591991,-1.7304199,-2.0621772,-1.3206851,-1.4019498,-1.7585626,-1.4937949,5,7,4,6,3,6,7,7,7,6,7,7,4,2,2,4,6,8,3,6,-0.44748833,0.38411034,1.5757853,0.60527544,0.97050988
-20.465932,0.96514981,0.19290165,3,15,0,22.593824,0.80024712,0.78311222,0.6266833,0.15642892,-1.2845628,-2.5252189,-2.0618112,-1.5082004,-1.2410251,-2.5564277,-0.72581974,-1.5993258,-1.5219958,-1.5822079,6,8,2,3,3,7,6,4,2,6,8,8,4,6,3,8,8,8,4,4,-1.7813483,0.083114975,3.158939,0.26255514,2.8963839
