# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:51:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad4bfc0fc.json
# init = 2 (Default)
# random
#   seed = 770598014
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201051-1-329103.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201051-1-53ac85.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.039937,0.098210515,1,2,3,0,20.961048,0.12734079,2.9105265,0.37062874,2.5398978,-1.2721107,-1.4372362,-1.2721107,-1.592977,-1.2721107,-1.5901199,-1.9292629,-2.9323153,-1.1629497,-1.4689841,6,8,7,5,6,3,6,6,6,3,1,5,3,4,3,5,8,5,2,2,-1.9809948,0.53561213,3.5021893,1.8758151,1.6263742
-19.039937,0,2.7915701,0,1,1,21.094089,0.12734079,2.9105265,0.37062874,2.5398978,-1.2721107,-1.4372362,-1.2721107,-1.592977,-1.2721107,-1.5901199,-1.9292629,-2.9323153,-1.1629497,-1.4689841,3,4,6,3,4,4,5,5,3,4,4,3,2,2,2,5,6,7,1,2,-1.9809948,0.43852045,2.7713099,1.2152761,1.5560339
-19.856852,0.95625647,0.2902053,2,3,0,19.949987,0.13923961,4.4403146,0.61826766,3.822047,-1.2319753,-1.4113046,-1.2319753,-1.5582118,-1.2319753,-1.5588102,-1.9585756,-3.0854112,-1.1932467,-1.4460762,4,7,4,6,6,2,7,7,1,2,3,7,2,4,3,5,6,6,3,5,-3.3185168,0.66875984,1.4403002,0.96321496,0.47708528
-19.557878,0.99967137,0.27724656,3,7,0,20.202167,0.10417435,1.4293842,0.14890517,1.280479,-1.3734357,-1.5127921,-1.3734357,-1.6712185,-1.3734357,-1.6590291,-1.8920358,-2.6480985,-1.1130698,-1.5382354,4,7,5,4,4,4,8,8,5,1,4,5,4,6,4,7,5,5,1,6,-1.3886367,0.68662881,1.6615117,1.1408418,0.52066992
-19.657236,0.96409494,0.37858853,1,3,0,20.695678,0.07237148,2.2791952,0.16494873,2.1142464,-1.3051747,-1.4380722,-1.3051747,-1.6755753,-1.3051747,-1.6764452,-1.8577147,-2.6940458,-1.0645662,-1.4649744,4,6,4,4,3,2,7,7,3,4,2,4,1,4,3,4,8,4,2,5,-1.9930732,0.44779852,1.5399123,0.68957045,0.85034186
-18.903765,0.98078326,0.53554107,1,3,0,20.066143,0.13433237,2.7024199,0.36302246,2.3393974,-1.2804063,-1.4476554,-1.2804063,-1.5889486,-1.2804063,-1.583923,-1.9363349,-2.9340382,-1.1737252,-1.4793014,1,2,6,6,2,7,4,8,2,5,5,8,4,6,2,7,4,5,1,6,-1.7610745,0.1753829,1.749354,0.30680679,1.4425472
-18.903765,0.044602623,0.86078042,1,1,0,19.866013,0.13433237,2.7024199,0.36302246,2.3393974,-1.2804063,-1.4476554,-1.2804063,-1.5889486,-1.2804063,-1.583923,-1.9363349,-2.9340382,-1.1737252,-1.4793014,7,7,5,5,3,2,7,7,4,3,4,5,4,4,4,2,7,8,1,5,-1.7610745,0.67358672,1.9459774,1.3107845,0.63519286
-19.111798,0.99751404,0.078718151,4,31,0,20.562114,0.28457494,1.2865222,0.36611198,0.92041024,-1.4046907,-1.6134119,-1.4046907,-1.5419408,-1.4046907,-1.5005055,-2.0891599,-3.1108064,-1.3909788,-1.6442936,4,8,3,4,3,3,8,8,3,3,5,2,5,3,3,7,1,5,4,4,-0.66693451,0.81131438,2.3455038,1.902941,0.44256283
-18.667817,0.98745949,0.13974706,4,15,0,20.803329,0.16605607,1.8756492,0.31146294,1.5641862,-1.3292086,-1.5026232,-1.3292086,-1.5833661,-1.3292086,-1.5674397,-1.9648604,-2.9141947,-1.2182336,-1.5331625,4,8,2,5,5,2,7,6,3,3,2,6,6,5,2,5,6,8,2,6,-1.0482469,0.54106204,2.6249473,1.4202593,1.204688
-19.046883,0.9868961,0.24743785,3,7,0,19.41997,0.11703707,2.6676685,0.31221611,2.3554524,-1.2823663,-1.4404505,-1.2823663,-1.6104431,-1.2823663,-1.6078246,-1.9137268,-2.8736744,-1.1431332,-1.4710718,6,7,2,4,3,5,7,8,1,4,1,5,2,4,1,4,4,7,3,5,-1.8509278,0.63470986,0.42523561,0.26990123,0.15533437
-18.561259,0.97919239,0.44454114,2,3,0,19.254268,0.1870774,1.9831785,0.37100789,1.6121706,-1.3221569,-1.5070887,-1.3221569,-1.5581421,-1.3221569,-1.5397705,-1.9931751,-3.0013099,-1.2555195,-1.5389032,5,7,4,3,3,3,7,5,6,4,5,6,4,4,4,5,6,4,2,4,-1.0022277,0.49656137,1.4794922,0.73465867,0.74483351
-18.89604,0.93636865,0.78570995,2,3,0,18.937334,0.33115289,2.4959178,0.82653041,1.6693874,-1.3169724,-1.5841551,-1.3169724,-1.4263806,-1.3169724,-1.3846847,-2.2201695,-3.6402592,-1.522801,-1.6197582,4,5,5,4,5,3,4,5,3,6,5,7,4,6,3,6,7,6,2,3,-0.95419608,0.59823523,2.1457122,1.2836406,0.86207157
-18.786956,0.33120526,1.216452,1,3,0,19.012403,0.24716878,1.4891813,0.36807913,1.1211022,-1.3732082,-1.5737801,-1.3732082,-1.5434736,-1.3732082,-1.5104595,-2.0534042,-3.0688458,-1.3410439,-1.6051398,4,8,5,8,5,5,7,8,3,4,1,5,1,6,1,3,6,7,3,3,-0.68781286,0.72375651,2.2019654,1.5936868,0.60827861
-18.607789,1,0.28236825,3,7,0,18.836253,0.28574931,2.172259,0.62072153,1.5515375,-1.3232128,-1.5596597,-1.3232128,-1.4698935,-1.3232128,-1.4353816,-2.1351613,-3.3865894,-1.4309872,-1.5944706,3,6,6,5,5,2,7,7,3,4,5,5,6,5,4,3,7,6,3,5,-0.81261349,0.56268304,2.0978804,1.1804417,0.91743868
-19.202673,0.90210693,0.5372196,2,3,0,19.461817,0.10131904,1.9206826,0.19460171,1.7260808,-1.3263539,-1.4704114,-1.3263539,-1.6501325,-1.3263539,-1.6441534,-1.8895586,-2.7300996,-1.1114369,-1.497896,3,5,5,5,4,2,7,7,2,2,3,5,2,3,6,3,6,3,3,3,-1.4862957,0.4863216,1.8964411,0.92228028,0.97416084
-20.305474,0.9073972,0.75085371,1,3,0,20.412468,0.049138814,2.2574478,0.11092831,2.1465195,-1.3094061,-1.4305786,-1.3094061,-1.7073195,-1.3094061,-1.7107818,-1.8316139,-2.6252397,-1.0254949,-1.455884,6,6,3,5,4,4,6,6,2,5,3,7,2,5,5,6,5,5,2,6,-2.3410845,0.23598888,1.8798398,0.4436213,1.4362185
-20.175918,0.95177512,1.0637967,1,1,0,20.66909,0.054739001,2.6286391,0.14388908,2.48475,-1.2898277,-1.4154379,-1.2898277,-1.6935741,-1.2898277,-1.6989409,-1.8378051,-2.6772136,-1.0350363,-1.4420427,4,6,2,5,3,4,5,5,2,6,3,6,4,3,2,6,6,6,1,4,-2.5113778,0.20536941,1.7912737,0.36787283,1.4234009
