# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:52:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad8f063f0.json
# init = 2 (Default)
# random
#   seed = 316799413
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201052-1-0f7a31.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201052-1-16ff23.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-26.471713,7.5015743e-242,2,1,2,1,26.669384,0.36525625,0.43861998,0.16020869,0.27841129,-1.7336222,-1.1653433,-1.9729701,-2.6734656,-1.7495772,-1.8750655,-3.2886221,-2.6734656,-1.8846346,-1.4933236,5,5,4,6,7,4,7,8,7,8,7,6,5,5,6,4,8,8,7,6,-3.6758109,0.40954117,1.5006302,0.61456984,0.88606034
-26.471713,0,2.3350648,0,1,1,27.064563,0.36525625,0.43861998,0.16020869,0.27841129,-1.7336222,-1.1653433,-1.9729701,-2.6734656,-1.7495772,-1.8750655,-3.2886221,-2.6734656,-1.8846346,-1.4933236,7,5,6,8,3,5,7,7,4,6,2,7,6,4,3,3,8,8,4,6,-3.6758109,0.65434296,0.91506372,0.5987655,0.31629822
-24.520797,1,0.23023585,3,7,0,26.555603,0.40000703,0.61755848,0.24702774,0.37053075,-1.6495745,-1.114265,-1.9214797,-2.7619094,-1.6882911,-1.8489755,-3.5182225,-2.7619094,-1.8066976,-1.3993646,6,7,7,8,5,4,8,7,5,3,5,8,5,7,3,3,4,7,7,6,-2.1410157,0.021738686,3.7074807,0.080595758,3.6268849
-26.253316,0.96136892,0.23979141,2,3,0,27.414626,0.31416389,0.5498562,0.17274496,0.37711123,-1.6699607,-1.2183447,-1.9862698,-2.9031053,-1.7915442,-1.9196421,-3.6541171,-2.9031053,-1.8900605,-1.4785895,2,7,5,6,7,4,4,8,5,8,5,4,2,7,4,5,5,7,6,8,-2.7055213,0.34877935,1.7317431,0.60399624,1.1277469
-25.923122,0.9896412,0.29043925,2,3,0,26.523331,0.34846674,0.51974509,0.18111387,0.33863121,-1.6873074,-1.1790705,-1.9677521,-2.7908182,-1.7554283,-1.8892159,-3.4942574,-2.7908182,-1.8703552,-1.4669307,3,7,6,7,5,2,8,8,7,7,2,7,8,8,6,4,8,8,3,7,-2.8941118,0.18832031,1.1829616,0.22277569,0.96018589
-20.860668,1,0.43827949,2,7,0,25.86369,0.92556387,5.185251,4.799281,0.38597003,-1.6854584,-0.19894633,-1.3994596,-1.9224903,-1.0039043,-1.2812919,-2.8815074,-1.9224903,-1.3102071,-1.6553844,4,5,5,8,5,3,8,8,6,8,5,8,7,3,8,4,5,6,1,8,-4.5701804,0.29198321,2.3158374,0.67618562,1.6396517
-19.149636,1,0.74311467,2,3,0,19.978301,0.9261626,1.9189819,1.7772893,0.14169263,-1.714604,-0.29254835,-1.4856804,-1.9002418,-1.1066702,-1.3366126,-2.6527649,-1.9002418,-1.4142113,-1.5434175,4,8,7,6,6,4,4,7,5,6,3,8,5,4,8,2,5,3,2,8,-1.7718421,0.33315629,3.2487566,1.0823437,2.1664129
-19.149636,0.0040423101,1.3264519,1,1,0,19.78761,0.9261626,1.9189819,1.7772893,0.14169263,-1.714604,-0.29254835,-1.4856804,-1.9002418,-1.1066702,-1.3366126,-2.6527649,-1.9002418,-1.4142113,-1.5434175,6,8,7,5,7,2,8,7,7,6,6,8,7,5,7,2,6,8,3,7,-1.7718421,0.63080503,2.0489965,1.2925173,0.7564792
-18.749468,0.99899257,0.10662396,4,23,0,19.438777,0.8737589,3.0653416,2.6783695,0.38697209,-1.6464945,-0.32150812,-1.4640712,-2.0170448,-1.0649684,-1.3533004,-2.9431245,-2.0170448,-1.3486913,-1.3654844,4,7,5,6,1,2,7,5,3,5,3,7,5,4,7,3,7,7,5,7,-2.1233817,0.38123441,1.6441663,0.62681278,1.0173536
-19.23132,0.99359126,0.19553622,3,7,0,19.566862,0.91987584,2.9191612,2.6852659,0.23389533,-1.6919493,-0.25356709,-1.4439646,-1.9199518,-1.0553461,-1.3127069,-2.7796525,-1.9199518,-1.359681,-1.5591348,5,8,5,8,6,2,7,4,3,8,4,8,1,6,6,4,7,4,2,8,-2.3990162,0.78611503,1.5033472,1.1818038,0.32154336
-22.103958,0.88871436,0.35869557,2,3,0,22.27009,0.97285761,1.0265663,0.99870287,0.027863468,-1.7923901,-0.33564946,-1.5657918,-1.8443797,-1.2101601,-1.3731473,-2.3841721,-1.8443797,-1.5333482,-1.6285707,1,7,7,4,8,3,4,4,6,7,5,8,8,5,8,2,6,3,2,8,-2.9840123,0.71250617,1.4796381,1.0542513,0.42538682
-22.542684,0.9511794,0.4765013,2,3,0,23.920274,0.98012263,3.9564809,3.8778364,0.078644443,-1.7499827,-0.13067872,-1.3906378,-1.8090613,-1.024787,-1.242468,-2.6533185,-1.8090613,-1.3487844,-2.1425561,5,6,5,7,3,7,8,6,4,4,4,8,6,3,8,3,5,5,3,8,-4.6784526,0.29961646,1.0856959,0.32529237,0.76040357
-20.254152,1,0.77411738,2,3,0,21.641151,0.58460462,1.3701721,0.80100893,0.56916316,-1.5365245,-0.82876421,-1.726859,-2.6113097,-1.4060278,-1.6754654,-3.5933611,-2.6113097,-1.5525133,-1.1612104,2,8,7,8,8,3,7,7,4,7,4,7,4,7,6,3,7,7,5,7,-0.45039911,0.84082749,1.7735082,1.4912144,0.28229375
-20.254152,0.0071747484,1.4656976,1,3,0,20.663193,0.58460462,1.3701721,0.80100893,0.56916316,-1.5365245,-0.82876421,-1.726859,-2.6113097,-1.4060278,-1.6754654,-3.5933611,-2.6113097,-1.5525133,-1.1612104,5,8,6,7,8,3,7,5,2,8,5,8,6,7,8,2,7,8,6,5,-0.45039911,0.77570442,7.0442286,5.4642392,1.5799893
-18.741677,0.99968853,0.12503112,3,7,0,20.396465,0.71456145,2.0448421,1.4611653,0.58367677,-1.5522187,-0.60454636,-1.5990468,-2.3562063,-1.2241238,-1.5309707,-3.3552765,-2.3562063,-1.4267948,-1.1216421,6,7,5,6,4,2,8,6,7,6,5,5,7,7,6,3,8,8,5,8,-0.74015055,0.31522084,2.029367,0.63969878,1.3896683
-19.20691,0.9796991,0.23862772,3,15,0,19.593431,0.92486641,2.6306662,2.4330148,0.19765139,-1.7002038,-0.25651844,-1.4513527,-1.9079357,-1.0660846,-1.3145822,-2.738607,-1.9079357,-1.3724959,-1.573724,5,7,7,8,6,4,7,8,5,2,2,7,6,5,5,3,4,3,2,6,-2.2181131,0.34202877,3.3034139,1.1298626,2.1735513
-19.629447,0.9453465,0.42568585,2,3,0,20.285483,0.93595288,1.4968034,1.4009375,0.095865951,-1.7369057,-0.31510549,-1.5152752,-1.88354,-1.1435534,-1.3521076,-2.5601036,-1.88354,-1.4551535,-1.5534918,5,8,5,7,7,4,6,8,7,5,5,8,2,6,6,2,7,4,2,8,-1.8196759,0.40308451,2.1938342,0.88430058,1.3095336
-21.501462,0.73298681,0.67923874,1,3,0,21.993797,0.97677422,2.85854,2.7921481,0.066391834,-1.7504563,-0.16778769,-1.420159,-1.8147648,-1.0556641,-1.2648496,-2.6029261,-1.8147648,-1.3782582,-1.9706836,4,7,5,7,5,1,8,5,4,6,4,8,3,7,8,1,5,6,5,8,-3.5254668,0.32608835,2.2053382,0.71913508,1.4862031
-19.331733,0.9150525,0.56609203,3,7,0,22.344989,0.81399617,1.0418804,0.84808665,0.19379374,-1.6874392,-0.53834102,-1.6221678,-2.0687967,-1.2493611,-1.4813326,-2.7425537,-2.0687967,-1.5181669,-1.2946494,7,7,6,8,5,3,8,8,4,7,6,7,5,6,5,3,6,7,3,8,-1.2133678,0.083118033,2.5125189,0.20883563,2.3036833
-19.510112,0.9990877,0.81865739,1,3,0,19.628772,0.68859154,3.1164589,2.1459672,0.97049167,-1.5005856,-0.62025955,-1.5913128,-2.5033517,-1.2141525,-1.5528135,-3.666169,-2.5033517,-1.3904551,-1.0606414,3,7,6,5,6,2,8,6,5,5,6,8,4,7,7,4,7,6,3,8,-1.5039597,0.48643739,3.8029664,1.849905,1.9530613
-20.23939,0.19973617,1.5129321,1,3,1,22.155332,0.66729476,0.92043528,0.61420164,0.30623364,-1.6348106,-0.74761835,-1.7142768,-2.3176286,-1.3729353,-1.6094859,-3.0632125,-2.3176286,-1.5792787,-1.2339144,8,7,3,8,6,5,8,8,6,7,8,8,6,6,7,6,6,5,5,7,-1.0606702,0.14868011,2.8417159,0.42250663,2.4192092
-18.605014,1,0.26058053,2,3,0,20.385444,0.77374143,1.455153,1.1259121,0.32924084,-1.6237272,-0.54849286,-1.5958265,-2.1711621,-1.2180353,-1.4881885,-2.9941067,-2.1711621,-1.4610368,-1.2117617,2,8,4,7,8,4,6,7,6,6,3,8,4,6,6,4,8,6,4,7,-0.75403124,0.65444227,1.2972465,0.84897294,0.44827356
-20.794166,0.81322308,0.48301358,2,5,0,20.936381,0.96553896,3.00763,2.903984,0.10364605,-1.737621,-0.17964002,-1.4200771,-1.8346508,-1.0490295,-1.2708961,-2.646307,-1.8346508,-1.3688243,-1.8795109,7,8,6,7,6,3,8,8,4,2,5,8,5,6,6,2,3,6,4,8,-3.2711156,0.22111825,0.60777252,0.1343896,0.47338293
-19.307878,0.72527085,0.51505021,2,7,0,22.72982,0.87425603,3.9583721,3.4606306,0.49774142,-1.6381101,-0.30082422,-1.4450209,-2.0282791,-1.0410816,-1.342149,-3.0080183,-2.0282791,-1.3238922,-1.3702928,3,8,6,7,5,2,5,7,7,7,2,8,3,6,7,5,8,6,4,7,-2.9498736,0.68199993,4.2861159,2.9231308,1.3629852
-18.68606,0.9248237,0.42591228,2,3,0,20.540538,0.73676996,1.5560197,1.1464286,0.40959114,-1.5940422,-0.59490441,-1.609986,-2.2591439,-1.2370154,-1.5188276,-3.1412645,-2.2591439,-1.4593378,-1.1719311,3,8,6,6,6,3,7,6,4,8,2,8,6,8,8,4,5,6,6,5,-0.64238765,0.87508869,1.4957257,1.3088926,0.18683305
-18.68606,0.38624161,0.62504601,1,1,0,19.862751,0.73676996,1.5560197,1.1464286,0.40959114,-1.5940422,-0.59490441,-1.609986,-2.2591439,-1.2370154,-1.5188276,-3.1412645,-2.2591439,-1.4593378,-1.1719311,7,6,7,8,1,4,6,8,6,5,5,4,6,6,4,1,6,3,2,7,-0.64238765,0.1271104,1.5797284,0.2007999,1.3789285
-19.277038,0.97186488,0.19821813,2,5,0,20.089962,0.70379001,1.2085563,0.85056988,0.35798646,-1.6082789,-0.66821022,-1.6586435,-2.291433,-1.3003576,-1.5622397,-3.112494,-2.291433,-1.5136103,-1.1929128,5,8,7,6,4,4,4,7,3,8,5,6,5,6,6,3,7,5,4,7,-0.69888929,0.60141756,1.2641547,0.76028483,0.50386986
-19.264567,0.99083344,0.33208446,3,7,0,19.760883,0.90989338,3.2987857,3.0015433,0.29724242,-1.6784374,-0.25791469,-1.4385771,-1.9434526,-1.0450168,-1.31532,-2.8412443,-1.9434526,-1.3450509,-1.5188752,6,6,6,4,7,4,6,5,5,8,1,8,6,8,6,5,7,6,4,8,-2.6295907,0.60278605,2.4840126,1.4973281,0.98668445
-18.873575,1,0.58150965,1,1,0,19.18825,0.90787875,2.5330316,2.2996856,0.23334605,-1.6856101,-0.28662828,-1.4632816,-1.939431,-1.0741708,-1.3319947,-2.7808538,-1.939431,-1.3739823,-1.4899244,6,7,5,6,8,3,6,6,5,7,5,7,8,3,8,2,7,5,5,7,-1.9563895,0.79095466,2.7537493,2.1780909,0.57565847
-18.873575,0.0035401336,1.0346638,1,3,0,20.460625,0.90787875,2.5330316,2.2996856,0.23334605,-1.6856101,-0.28662828,-1.4632816,-1.939431,-1.0741708,-1.3319947,-2.7808538,-1.939431,-1.3739823,-1.4899244,5,7,4,8,6,6,3,8,5,5,1,8,6,8,6,3,8,6,3,8,-1.9563895,0.28097772,4.5840083,1.2880042,3.2960041
-18.843292,0.99959572,0.11904935,4,31,0,19.234847,0.7030351,1.7400347,1.2233055,0.51672924,-1.5620229,-0.63494038,-1.6209242,-2.357389,-1.2532061,-1.5477594,-3.3133156,-2.357389,-1.4540462,-1.136511,3,8,6,8,5,3,5,8,4,7,2,8,8,5,5,3,6,4,4,8,-0.59320347,0.58227734,2.0932828,1.2188711,0.87441165
