# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 09:44:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1300
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad6bfeb028.json
# init = 2 (Default)
# random
#   seed = 923369614
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201144-1-334257.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201144-1-98b4c4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-16.469797,5.4677553e-08,1,1,3,0,23.779384,0.28202206,3.3548387,0.94613855,2.4087002,-1.3192385,-1.3694258,-1.4512508,-1.7221054,-1.8523281,-1.0653907,-1.4790501,-1.2618213,-1.0921129,-1.6937597,6,6,4,2,8,6,5,3,3,8,2,4,4,4,6,7,3,4,3,4,-1.7766306,0.12666423,4.0442288,0.51225911,3.5319697
-16.469797,1.9696118e-123,2.335065,1,1,0,17.726203,0.28202206,3.3548387,0.94613855,2.4087002,-1.3192385,-1.3694258,-1.4512508,-1.7221054,-1.8523281,-1.0653907,-1.4790501,-1.2618213,-1.0921129,-1.6937597,8,4,4,3,5,8,5,1,3,5,5,5,2,1,7,6,6,5,3,5,-1.7766306,0.40662563,2.8153064,1.1447757,1.6705307
-17.28207,0.89708114,0.23023588,3,7,0,20.82505,0.36605034,4.3071452,1.576632,2.7305133,-1.3673429,-1.3980131,-1.6290944,-2.0023724,-1.6845563,-1.0210505,-1.4102889,-1.2344912,-1.1201523,-1.8821646,7,3,1,6,7,5,5,4,2,6,4,4,2,4,6,6,5,1,3,7,-2.5320485,0.48421517,1.7602645,0.85234677,0.90791772
-18.044833,0.98333122,0.18227606,3,7,0,18.623236,0.35271445,5.5057439,1.9419554,3.5637885,-1.3411988,-1.3730355,-1.6168348,-1.9835483,-1.7075048,-1.0058302,-1.4036591,-1.2162373,-1.0968123,-1.8611133,5,3,4,3,7,7,7,1,4,8,5,3,2,4,7,7,7,3,2,7,-3.6677866,0.55403435,2.1770358,1.2061526,0.9708832
-16.234451,0.9984609,0.23046295,2,7,0,18.161399,0.28013335,1.8322491,0.51327408,1.3189751,-1.3850203,-1.4400286,-1.4094219,-1.6526557,-1.8478577,-1.1367297,-1.5340614,-1.3367241,-1.1587859,-1.6814278,5,5,2,5,3,8,6,1,2,6,6,5,1,3,7,7,5,3,1,7,-0.65610352,0.59329277,2.8340887,1.6814443,1.1526443
-16.258982,0.99803661,0.35346568,3,7,0,16.419574,0.21647316,1.9966643,0.43222423,1.5644401,-1.3435629,-1.409466,-1.3057991,-1.4931601,-1.978563,-1.1488402,-1.5654706,-1.3341905,-1.1237687,-1.5736457,6,6,2,4,5,8,6,3,6,5,5,8,1,1,6,8,6,4,3,8,-0.89975406,0.60183426,1.0552054,0.63505877,0.42014665
-17.265779,0.78730672,0.59227188,2,3,0,17.335917,0.24476366,1.1334894,0.27743702,0.85605239,-1.445833,-1.5107726,-1.3211527,-1.5086545,-1.9066751,-1.2258457,-1.6144161,-1.423888,-1.2225052,-1.6307321,6,6,2,2,7,6,4,3,3,2,6,5,2,2,4,7,8,4,3,5,-0.89241836,0.18211541,2.5115285,0.45738805,2.0541405
-17.316753,1,0.54325327,2,3,0,17.490524,0.39135323,4.1505221,1.6243202,2.5262019,-1.3943168,-1.4199957,-1.6768656,-2.0780162,-1.641266,-1.0204791,-1.3993206,-1.2385169,-1.1394212,-1.9391457,4,4,4,2,6,8,6,6,5,4,6,3,4,2,4,8,5,2,3,5,-2.3579818,0.48347951,1.3553706,0.65529393,0.70007671
-16.515243,0.38428488,0.99028857,1,3,0,16.652931,0.28762167,1.5049976,0.43286994,1.0721277,-1.4174135,-1.4728668,-1.4076375,-1.6474176,-1.8355546,-1.1641782,-1.5535393,-1.3673314,-1.1902693,-1.6927753,7,7,1,1,4,6,7,2,2,4,7,6,3,6,7,7,5,2,3,7,-0.58979516,0.3420884,1.5647504,0.53528295,1.0294674
-16.577852,0.97133832,0.26349369,2,3,0,17.073225,0.26012105,1.4620375,0.38030674,1.0817308,-1.4082787,-1.4686752,-1.3608478,-1.5744415,-1.8821989,-1.1773001,-1.5719774,-1.375353,-1.184272,-1.648388,3,3,3,4,7,7,5,2,2,6,6,5,3,3,6,6,6,5,2,3,-0.6580738,0.72972443,2.5750689,1.8790907,0.69597821
-19.109459,0.8559107,0.45069996,2,3,0,19.501843,0.6537977,2.1196301,1.3858093,0.73382081,-1.7674057,-1.7613277,-2.1082941,-2.7732424,-1.4285293,-1.1650447,-1.395712,-1.3839559,-1.3989277,-2.5148592,4,2,4,2,7,8,2,4,5,5,5,6,1,3,4,8,5,4,5,4,-0.67771268,0.89511122,3.1765323,2.8433497,0.3331826
-19.51405,1,0.53965099,1,1,0,19.819316,0.67754985,1.5874792,1.0755963,0.5118829,-1.8069581,-1.804362,-2.0908968,-2.7415668,-1.4601186,-1.2136546,-1.4381783,-1.431619,-1.4390679,-2.5047169,5,5,1,2,6,7,7,2,1,6,6,5,1,4,3,8,6,3,3,5,-0.52397995,0.27869596,2.1969464,0.6122801,1.5846663
-17.160977,0.67802881,1.02203,2,3,0,19.035148,0.41756532,3.6344456,1.5176184,2.1168272,-1.429575,-1.4512048,-1.7184053,-2.1436886,-1.6039272,-1.0301876,-1.3967249,-1.2524389,-1.1666789,-1.9928521,4,7,4,3,3,8,3,2,6,6,3,6,2,1,5,7,6,2,1,4,-1.8518981,0.93641654,1.0661338,0.99834535,0.067788479
-16.773567,0.90412463,0.70430886,2,3,0,17.932895,0.18261156,3.4951955,0.63826311,2.8569324,-1.2673393,-1.3374481,-1.2677557,-1.4381731,-2.1059516,-1.1066644,-1.5532352,-1.2780527,-1.0502935,-1.5072835,6,2,5,2,7,7,1,5,3,5,5,3,1,1,7,8,3,2,1,5,-2.2107246,0.33005972,1.1912643,0.39318835,0.79807594
-16.773567,1.7455645e-05,0.98875793,1,1,0,18.187254,0.18261156,3.4951955,0.63826311,2.8569324,-1.2673393,-1.3374481,-1.2677557,-1.4381731,-2.1059516,-1.1066644,-1.5532352,-1.2780527,-1.0502935,-1.5072835,4,6,2,3,6,8,4,3,1,2,3,5,1,2,6,5,5,4,5,8,-2.2107246,0.50972446,2.4763058,1.2622336,1.2140721
-16.878928,0.999752,0.08413181,3,7,0,16.897953,0.1736779,3.5841534,0.62248823,2.9616652,-1.2622689,-1.3340344,-1.2520421,-1.41413,-2.1345053,-1.1095509,-1.559888,-1.2783323,-1.045546,-1.4912985,6,3,2,2,8,5,3,5,3,7,4,5,2,1,5,6,7,2,1,8,-2.3325308,0.19049273,2.3140936,0.440818,1.8732756
