# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 09:44:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1300
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad4abb9f91.json
# init = 2 (Default)
# random
#   seed = 725353968
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201144-1-5a3121.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201144-1-602772.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.948481,1,1,1,1,0,23.716706,0.64371298,1.8158922,1.1689134,0.64697885,-1.7546147,-1.7524025,-2.0577236,-2.6884357,-1.4538949,-1.1742969,-1.418938,-1.3974484,-1.3998863,-2.4531146,3,4,3,7,5,8,6,5,2,5,6,2,2,6,5,5,4,2,2,4,-0.52178142,0.62389397,1.1809491,0.736787,0.44416206
-18.948481,0,14.38551,0,1,1,19.188029,0.64371298,1.8158922,1.1689134,0.64697885,-1.7546147,-1.7524025,-2.0577236,-2.6884357,-1.4538949,-1.1742969,-1.418938,-1.3974484,-1.3998863,-2.4531146,6,5,1,5,1,8,6,1,4,6,6,3,5,5,5,8,5,2,1,4,-0.52178142,0.58979855,1.0263914,0.60536416,0.42102725
-18.948481,1.7206486e-08,2.4311673,1,3,1,19.127729,0.64371298,1.8158922,1.1689134,0.64697885,-1.7546147,-1.7524025,-2.0577236,-2.6884357,-1.4538949,-1.1742969,-1.418938,-1.3974484,-1.3998863,-2.4531146,4,2,1,3,7,7,6,4,4,6,6,5,3,6,8,8,5,1,3,5,-0.52178142,0.46174874,2.4266436,1.1204996,1.306144
-17.517961,1,0.23979142,2,3,0,19.05178,0.5263844,2.2910536,1.2059749,1.0850787,-1.5847186,-1.5932539,-1.8771114,-2.3959749,-1.5054756,-1.0922949,-1.4060154,-1.3236809,-1.2839492,-2.2063705,4,4,1,5,6,7,7,4,1,3,5,4,1,2,5,8,7,3,6,4,-0.68904484,0.52883914,2.0090191,1.0624479,0.94657116
-17.218064,1,0.32433242,1,1,0,17.501464,0.49585032,2.2833149,1.1321824,1.1511325,-1.5477869,-1.5612271,-1.8189088,-2.3020664,-1.5349287,-1.0859794,-1.4146861,-1.3163491,-1.2606848,-2.1335859,4,5,5,4,6,7,7,5,1,4,7,4,3,2,7,7,4,2,3,3,-0.68112591,0.40169923,1.8128789,0.72823204,1.0846468
-18.217183,0.94588782,0.5072056,2,3,0,18.321914,0.57898455,1.5767367,0.91290618,0.6638305,-1.6724844,-1.6805132,-1.9114219,-2.4477322,-1.5092419,-1.1589859,-1.4490161,-1.3909645,-1.3582648,-2.2683078,5,5,4,4,6,8,7,2,3,5,2,2,1,2,5,7,3,1,1,8,-0.41404247,0.44988943,2.9518305,1.3279973,1.6238331
-18.168763,1,0.73155078,2,7,0,18.231227,0.065053338,1.7638966,0.11474736,1.6491493,-1.3393442,-1.4285569,-1.0519277,-1.1044265,-2.3632788,-1.2449694,-1.6958261,-1.3957084,-1.116491,-1.3630129,1,1,2,3,6,7,6,2,2,6,8,2,2,6,8,6,4,2,2,5,-1.8329325,0.76427802,1.1710618,0.89501681,0.276045
-17.14693,0.56359085,1.3054709,1,1,0,18.777179,0.18146072,4.1178846,0.74723432,3.3706502,-1.252517,-1.3224682,-1.2705646,-1.4430575,-2.1228805,-1.0945668,-1.5466719,-1.2642542,-1.035712,-1.5031815,7,5,2,3,5,6,8,1,4,7,6,3,2,2,8,6,4,4,2,6,-2.7994451,0.44397913,2.3032757,1.0226064,1.2806694
-16.21612,0.95575279,0.60892913,2,3,0,17.369258,0.21728315,2.3286574,0.50597801,1.8226793,-1.3238818,-1.388875,-1.3144666,-1.5078333,-1.9855825,-1.1296851,-1.5517709,-1.3136258,-1.1043134,-1.5726813,6,4,2,3,6,5,5,2,1,5,4,5,1,3,7,4,6,4,2,7,-1.0971579,0.36387992,2.8606943,1.0409492,1.8197451
-16.334694,0.86299709,0.9824198,2,3,0,16.571326,0.28159501,1.6814147,0.473478,1.2079367,-1.3978015,-1.4532907,-1.4057978,-1.6460307,-1.8450999,-1.1488022,-1.5430826,-1.3498091,-1.1714073,-1.6833135,2,3,2,3,7,7,7,3,3,3,7,2,3,3,6,6,6,3,2,6,-0.61188718,0.094427744,3.5242982,0.33279153,3.1915067
