# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 09:44:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1300
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad1e1a5b44.json
# init = 2 (Default)
# random
#   seed = 2140853276
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201144-2-0163b7.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201144-2-067976.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-16.346326,1,0.5,2,3,0,22.036032,0.18961979,2.4680469,0.46799054,2.0000563,-1.306816,-1.37664,-1.2682953,-1.43716,-2.0575705,-1.1361786,-1.5682203,-1.3128158,-1.0889049,-1.5252855,4,2,3,6,7,7,3,2,3,4,4,6,3,4,7,6,6,5,3,5,-1.2988803,0.67398903,1.6358832,1.1025673,0.53331587
-16.346326,0,14.38551,0,1,1,17.706833,0.18961979,2.4680469,0.46799054,2.0000563,-1.306816,-1.37664,-1.2682953,-1.43716,-2.0575705,-1.1361786,-1.5682203,-1.3128158,-1.0889049,-1.5252855,5,6,2,3,6,6,6,4,2,7,7,3,3,2,8,8,8,4,1,7,-1.2988803,0.20538856,2.6094973,0.53596088,2.0735364
-16.346326,1.5856283e-25,2.4311673,1,1,0,16.839371,0.18961979,2.4680469,0.46799054,2.0000563,-1.306816,-1.37664,-1.2682953,-1.43716,-2.0575705,-1.1361786,-1.5682203,-1.3128158,-1.0889049,-1.5252855,1,6,3,6,7,7,5,4,4,1,6,4,1,6,8,7,7,4,2,6,-1.2988803,0.71564988,1.1308708,0.80930757,0.32156326
-17.227852,0.9656456,0.23979141,2,7,0,17.897798,0.38744077,4.0489416,1.5687251,2.4802166,-1.3918502,-1.4185529,-1.6672832,-2.0627203,-1.6483838,-1.0229993,-1.4030706,-1.240399,-1.1384004,-1.928637,6,5,4,4,7,8,4,1,2,3,5,5,2,2,7,8,5,5,1,4,-2.265709,0.75462152,2.3490194,1.7726206,0.57639881
-18.22625,0.93941965,0.29400992,2,3,0,18.506689,0.4264693,5.1262385,2.1861833,2.9400552,-1.4218092,-1.4384886,-1.7630133,-2.2159332,-1.5793548,-1.0022129,-1.3683322,-1.2255905,-1.1525411,-2.0368156,6,1,3,4,5,7,6,4,4,2,3,3,3,2,5,8,3,5,2,3,-3.2483716,0.6042266,3.3232472,2.0079943,1.3152528
-17.303426,1,0.38217387,2,3,0,18.170712,0.36735813,4.3296359,1.5905269,2.739109,-1.3682636,-1.3986164,-1.6320338,-2.0070394,-1.682115,-1.0204072,-1.409221,-1.234087,-1.1206582,-1.8854086,7,6,1,2,7,5,4,1,1,2,7,7,2,6,6,7,4,3,3,5,-2.5517908,0.39791799,1.5760901,0.62715462,0.94893552
-16.447879,1,0.64559573,1,1,0,17.005974,0.36853756,2.7581292,1.0164742,1.741655,-1.4022215,-1.436417,-1.6002556,-1.954914,-1.6895034,-1.0632336,-1.44428,-1.2780857,-1.1569142,-1.8655606,5,4,3,3,7,7,7,4,3,3,4,4,2,5,5,7,5,5,6,5,-1.1131169,0.630302,1.7074158,1.0761876,0.63122821
-16.447879,1.5824652e-17,1.1496958,1,1,0,20.394252,0.36853756,2.7581292,1.0164742,1.741655,-1.4022215,-1.436417,-1.6002556,-1.954914,-1.6895034,-1.0632336,-1.44428,-1.2780857,-1.1569142,-1.8655606,5,3,5,1,6,6,6,1,5,6,5,4,2,3,7,7,4,3,3,6,-1.1131169,0.58633708,0.64163585,0.37621489,0.26542096
-16.485456,0.99926613,0.091123316,4,31,0,17.054999,0.16680345,2.4279252,0.40498631,2.0229389,-1.3023754,-1.3763049,-1.2277484,-1.3748226,-2.1163393,-1.1496705,-1.5876422,-1.3208065,-1.085041,-1.4886372,1,3,2,4,5,8,6,3,5,4,3,4,1,4,5,7,7,2,2,1,-1.3696804,0.88271001,4.0892457,3.6096181,0.47962761
-16.451899,0.99208064,0.16712721,3,11,0,17.132988,0.2369552,1.5974174,0.37851636,1.218901,-1.384244,-1.447905,-1.3284798,-1.5256429,-1.9263492,-1.1716882,-1.5748503,-1.3640192,-1.1624757,-1.6105345,7,3,1,2,8,8,5,3,1,5,5,5,3,4,8,8,2,4,2,6,-0.71377599,0.42154225,0.88372321,0.37252668,0.51119654
-16.304039,0.99867963,0.30505399,2,3,0,16.501695,0.22899972,1.8091164,0.41428716,1.3948293,-1.3623709,-1.4266124,-1.3220561,-1.5172231,-1.9468138,-1.1568132,-1.5665495,-1.3460537,-1.1414838,-1.5957052,3,2,5,3,5,5,4,1,5,3,7,5,3,4,4,6,8,3,1,8,-0.78109514,0.68687154,1.9181702,1.3175365,0.60063368
-17.497466,0.70209681,0.57364754,1,3,0,17.803781,0.33281616,1.0607789,0.35304436,0.70773454,-1.4997184,-1.5516985,-1.4493036,-1.7059091,-1.7845801,-1.2153164,-1.5850308,-1.4294969,-1.2666772,-1.7617175,1,4,2,4,6,7,5,4,1,3,5,7,2,1,8,8,4,3,1,7,-0.80216653,0.35218032,1.4544047,0.5122127,0.94219196
-17.24809,0.99855395,0.4250909,3,7,0,17.980468,0.45862861,3.2354078,1.4838506,1.7515572,-1.4824289,-1.4975122,-1.7885021,-2.2553223,-1.5527128,-1.0422014,-1.3897772,-1.2694892,-1.2050222,-2.0820244,5,3,5,4,6,6,3,3,2,6,6,4,2,3,8,8,1,3,3,4,-1.4640881,0.51679411,5.1299157,2.6511102,2.4788055
-17.637241,0.46164096,0.80334328,2,3,0,21.615831,0.15153314,4.5261017,0.68585438,3.8402473,-1.2367573,-1.3123752,-1.2167055,-1.3606757,-2.2271544,-1.1057706,-1.5712697,-1.2663985,-1.0206363,-1.4488723,3,5,2,3,4,8,5,3,2,5,7,5,3,3,6,5,5,2,4,8,-3.3292111,0.16263979,1.7045361,0.2772254,1.4273107
-16.437395,0.9968438,0.28361198,3,7,0,17.974096,0.28396785,1.5716826,0.44630733,1.1253752,-1.4089337,-1.4646141,-1.404846,-1.6436833,-1.8412604,-1.1583972,-1.5499789,-1.3604592,-1.1822504,-1.6869283,5,2,3,5,3,8,6,1,7,4,4,7,4,1,6,6,7,4,1,5,-0.5952655,0.90470588,1.3924254,1.2597354,0.13268995
-16.28254,0.98144703,0.53377287,2,3,0,16.628843,0.31387244,2.8211832,0.88549164,1.9356915,-1.356743,-1.4016533,-1.5000157,-1.7974477,-1.7855133,-1.0727603,-1.4721806,-1.2770186,-1.1241483,-1.7534222,4,5,3,2,7,6,7,5,2,5,7,7,2,2,6,8,7,4,2,6,-1.2433332,0.24125984,1.5178154,0.36618789,1.1516275
