# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 09:45:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1300
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad4834e73c.json
# init = 2 (Default)
# random
#   seed = 579192982
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201145-1-52394c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201145-1-3a1662.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-23.00046,1.6556614e-06,1,1,3,0,23.641681,0.5786815,0.45993432,0.26615548,0.19377884,-1.805694,-1.8419997,-1.6643533,-2.0140518,-1.7481684,-1.3913805,-1.7182322,-1.6396369,-1.5359757,-2.0634623,2,4,5,3,6,7,3,1,5,4,8,3,7,2,5,6,6,1,3,8,-3.3894639,0.35701057,1.9103199,0.6820044,1.2283155
-23.00046,0,2.3350718,0,1,1,23.17368,0.5786815,0.45993432,0.26615548,0.19377884,-1.805694,-1.8419997,-1.6643533,-2.0140518,-1.7481684,-1.3913805,-1.7182322,-1.6396369,-1.5359757,-2.0634623,8,3,3,5,5,8,2,1,2,4,1,8,6,4,3,5,5,4,4,6,-3.3894639,0.79594244,1.5094371,1.2014251,0.30801204
-23.035076,0.97449497,0.23023675,3,15,0,25.01902,0.15207625,12.820788,1.9497373,10.871051,-1.183302,-1.2580211,-1.2342744,-1.3888012,-2.302438,-1.0611563,-1.5490422,-1.2159088,-0.96782033,-1.4398652,5,4,3,3,2,7,7,3,3,7,5,3,2,1,7,7,6,3,4,4,-9.9371767,0.5778897,2.0915582,1.2086899,0.88286824
-16.964931,0.99418198,0.22403689,3,7,0,23.698065,0.14633614,1.5744061,0.23039251,1.3440136,-1.3605355,-1.4388418,-1.1810643,-1.2991874,-2.1209232,-1.2136242,-1.6372,-1.3860189,-1.1416251,-1.4772457,3,1,3,6,5,8,6,3,2,6,3,4,2,2,8,7,8,4,4,8,-1.0824761,0.39937773,1.8618553,0.74358354,1.1182718
-17.85561,0.96167143,0.2965688,3,7,0,18.739069,0.11370492,4.1787481,0.47514422,3.7036038,-1.2376372,-1.3201623,-1.1447059,-1.2505096,-2.3512193,-1.1355357,-1.6122638,-1.286209,-1.0205021,-1.3871865,4,4,4,2,4,8,3,2,3,4,4,6,1,2,6,4,6,4,1,6,-3.2448361,0.82267118,2.1483304,1.7673695,0.38096089
-18.296515,0.8400476,0.41209764,2,3,0,19.963272,0.16324321,5.6344199,0.91978077,4.7146391,-1.2240945,-1.297156,-1.243691,-1.4025042,-2.207101,-1.0854763,-1.5528523,-1.2477447,-1.008088,-1.4667594,2,3,1,3,7,5,5,1,5,2,5,3,4,4,7,6,6,4,4,5,-4.2992058,0.32791592,1.6285286,0.53402045,1.0945082
-17.444877,1,0.42745107,1,1,0,18.210106,0.1809774,4.5728876,0.82758929,3.7452983,-1.2440585,-1.3138873,-1.2725818,-1.4464473,-2.1326576,-1.0875498,-1.5428648,-1.2562946,-1.0273761,-1.5012238,5,6,1,1,8,8,7,3,2,7,5,5,2,3,6,4,4,4,1,6,-3.2310538,0.232903,5.6654472,1.3194996,4.3459476
-17.662598,0.82968698,0.75602898,1,3,0,18.765887,0.41815602,4.4052426,1.8420787,2.5631639,-1.419512,-1.4391812,-1.7350578,-2.1708787,-1.5966088,-1.0137116,-1.3820815,-1.2359378,-1.1547074,-2.006894,4,3,1,3,5,8,5,3,4,6,5,5,4,3,6,7,5,3,2,4,-2.5773692,0.7224723,1.266733,0.9151795,0.35155349
-17.662598,0.22863754,0.80952596,2,3,0,20.159052,0.41815602,4.4052426,1.8420787,2.5631639,-1.419512,-1.4391812,-1.7350578,-2.1708787,-1.5966088,-1.0137116,-1.3820815,-1.2359378,-1.1547074,-2.006894,8,6,2,1,4,5,3,4,1,3,3,3,3,3,8,6,3,4,3,6,-2.5773692,0.49916157,2.4860694,1.2409503,1.2451191
-16.515944,0.99979082,0.13162925,4,15,0,18.388974,0.21330123,1.6012471,0.34154798,1.2596991,-1.3748727,-1.4425037,-1.2899014,-1.4662071,-1.9734195,-1.1805977,-1.5893349,-1.3678201,-1.1546994,-1.573744,4,4,5,1,4,5,5,4,3,6,7,7,2,2,7,7,7,3,1,5,-0.78866625,0.28768423,1.7025646,0.48980099,1.2127636
